record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13,14,MHz,13.718,9.138269,PASS,PASS,0,1144EA88-6968-40AB-AE10-6C87CF28DEC4,FK2322MRCM2AA003E,2023-07-04 11:17:24,2023-07-04 11:20:29,RTQ237YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,15,40,,30.2826,0.000000,PASS,PASS,0,1144EA88-6968-40AB-AE10-6C87CF28DEC4,FK2322MRCM2AA003E,2023-07-04 11:17:24,2023-07-04 11:20:29,RTQ237YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.320297,PASS,PASS,0,1144EA88-6968-40AB-AE10-6C87CF28DEC4,FK2322MRCM2AA003E,2023-07-04 11:17:24,2023-07-04 11:20:29,RTQ237YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.102354,PASS,PASS,0,1144EA88-6968-40AB-AE10-6C87CF28DEC4,FK2322MRCM2AA003E,2023-07-04 11:17:24,2023-07-04 11:20:29,RTQ237YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,1.022004,PASS,PASS,0,1144EA88-6968-40AB-AE10-6C87CF28DEC4,FK2322MRCM2AA003E,2023-07-04 11:17:24,2023-07-04 11:20:29,RTQ237YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.099461,PASS,PASS,0,1144EA88-6968-40AB-AE10-6C87CF28DEC4,FK2322MRCM2AA003E,2023-07-04 11:17:24,2023-07-04 11:20:29,RTQ237YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,0.856849,PASS,PASS,0,1144EA88-6968-40AB-AE10-6C87CF28DEC4,FK2322MRCM2AA003E,2023-07-04 11:17:24,2023-07-04 11:20:29,RTQ237YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.096436,PASS,PASS,0,1144EA88-6968-40AB-AE10-6C87CF28DEC4,FK2322MRCM2AA003E,2023-07-04 11:17:24,2023-07-04 11:20:29,RTQ237YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,1.512905,PASS,PASS,0,1144EA88-6968-40AB-AE10-6C87CF28DEC4,FK2322MRCM2AA003E,2023-07-04 11:17:24,2023-07-04 11:20:29,RTQ237YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,2.021148,PASS,PASS,0,1144EA88-6968-40AB-AE10-6C87CF28DEC4,FK2322MRCM2AA003E,2023-07-04 11:17:24,2023-07-04 11:20:29,RTQ237YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,0.952504,PASS,PASS,0,1144EA88-6968-40AB-AE10-6C87CF28DEC4,FK2322MRCM2AA003E,2023-07-04 11:17:24,2023-07-04 11:20:29,RTQ237YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.099259,PASS,PASS,0,1144EA88-6968-40AB-AE10-6C87CF28DEC4,FK2322MRCM2AA003E,2023-07-04 11:17:24,2023-07-04 11:20:29,RTQ237YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,1.135933,PASS,PASS,0,1144EA88-6968-40AB-AE10-6C87CF28DEC4,FK2322MRCM2AA003E,2023-07-04 11:17:24,2023-07-04 11:20:29,RTQ237YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.229175,PASS,PASS,0,1144EA88-6968-40AB-AE10-6C87CF28DEC4,FK2322MRCM2AA003E,2023-07-04 11:17:24,2023-07-04 11:20:29,RTQ237YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,29,1.199901,PASS,PASS,0,1144EA88-6968-40AB-AE10-6C87CF28DEC4,FK2322MRCM2AA003E,2023-07-04 11:17:24,2023-07-04 11:20:29,RTQ237YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.106925,PASS,PASS,0,1144EA88-6968-40AB-AE10-6C87CF28DEC4,FK2322MRCM2AA003E,2023-07-04 11:17:24,2023-07-04 11:20:29,RTQ237YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,26,1.152294,PASS,PASS,0,1144EA88-6968-40AB-AE10-6C87CF28DEC4,FK2322MRCM2AA003E,2023-07-04 11:17:24,2023-07-04 11:20:29,RTQ237YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.108303,PASS,PASS,0,1144EA88-6968-40AB-AE10-6C87CF28DEC4,FK2322MRCM2AA003E,2023-07-04 11:17:24,2023-07-04 11:20:29,RTQ237YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,4,350,uA,265.277874,4.287032,PASS,PASS,0,1144EA88-6968-40AB-AE10-6C87CF28DEC4,FK2322MRCM2AA003E,2023-07-04 11:17:24,2023-07-04 11:20:29,RTQ237YM3101,monolith_receiver_ft,10023006
