record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13,14,MHz,13.707,9.271432,PASS,PASS,0,51F8BC52-0E7D-4541-A94C-7B30C66EDFFE,FK2322MRCM2AA01F2,2023-07-04 11:21:10,2023-07-04 11:24:16,RTQ237YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,15,40,,30.7332,0.000000,PASS,PASS,0,51F8BC52-0E7D-4541-A94C-7B30C66EDFFE,FK2322MRCM2AA01F2,2023-07-04 11:21:10,2023-07-04 11:24:16,RTQ237YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.257268,PASS,PASS,0,51F8BC52-0E7D-4541-A94C-7B30C66EDFFE,FK2322MRCM2AA01F2,2023-07-04 11:21:10,2023-07-04 11:24:16,RTQ237YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.105350,PASS,PASS,0,51F8BC52-0E7D-4541-A94C-7B30C66EDFFE,FK2322MRCM2AA01F2,2023-07-04 11:21:10,2023-07-04 11:24:16,RTQ237YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,1.212286,PASS,PASS,0,51F8BC52-0E7D-4541-A94C-7B30C66EDFFE,FK2322MRCM2AA01F2,2023-07-04 11:21:10,2023-07-04 11:24:16,RTQ237YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.101189,PASS,PASS,0,51F8BC52-0E7D-4541-A94C-7B30C66EDFFE,FK2322MRCM2AA01F2,2023-07-04 11:21:10,2023-07-04 11:24:16,RTQ237YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,0.815281,PASS,PASS,0,51F8BC52-0E7D-4541-A94C-7B30C66EDFFE,FK2322MRCM2AA01F2,2023-07-04 11:21:10,2023-07-04 11:24:16,RTQ237YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.096086,PASS,PASS,0,51F8BC52-0E7D-4541-A94C-7B30C66EDFFE,FK2322MRCM2AA01F2,2023-07-04 11:21:10,2023-07-04 11:24:16,RTQ237YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,1.722222,PASS,PASS,0,51F8BC52-0E7D-4541-A94C-7B30C66EDFFE,FK2322MRCM2AA01F2,2023-07-04 11:21:10,2023-07-04 11:24:16,RTQ237YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.102384,PASS,PASS,0,51F8BC52-0E7D-4541-A94C-7B30C66EDFFE,FK2322MRCM2AA01F2,2023-07-04 11:21:10,2023-07-04 11:24:16,RTQ237YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,0.631945,PASS,PASS,0,51F8BC52-0E7D-4541-A94C-7B30C66EDFFE,FK2322MRCM2AA01F2,2023-07-04 11:21:10,2023-07-04 11:24:16,RTQ237YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.101249,PASS,PASS,0,51F8BC52-0E7D-4541-A94C-7B30C66EDFFE,FK2322MRCM2AA01F2,2023-07-04 11:21:10,2023-07-04 11:24:16,RTQ237YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,0.756202,PASS,PASS,0,51F8BC52-0E7D-4541-A94C-7B30C66EDFFE,FK2322MRCM2AA01F2,2023-07-04 11:21:10,2023-07-04 11:24:16,RTQ237YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.224526,PASS,PASS,0,51F8BC52-0E7D-4541-A94C-7B30C66EDFFE,FK2322MRCM2AA01F2,2023-07-04 11:21:10,2023-07-04 11:24:16,RTQ237YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,27,1.154630,PASS,PASS,0,51F8BC52-0E7D-4541-A94C-7B30C66EDFFE,FK2322MRCM2AA01F2,2023-07-04 11:21:10,2023-07-04 11:24:16,RTQ237YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.098581,PASS,PASS,0,51F8BC52-0E7D-4541-A94C-7B30C66EDFFE,FK2322MRCM2AA01F2,2023-07-04 11:21:10,2023-07-04 11:24:16,RTQ237YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,27,1.152240,PASS,PASS,0,51F8BC52-0E7D-4541-A94C-7B30C66EDFFE,FK2322MRCM2AA01F2,2023-07-04 11:21:10,2023-07-04 11:24:16,RTQ237YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.100703,PASS,PASS,0,51F8BC52-0E7D-4541-A94C-7B30C66EDFFE,FK2322MRCM2AA01F2,2023-07-04 11:21:10,2023-07-04 11:24:16,RTQ237YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,4,350,uA,193.519400,4.291221,PASS,PASS,0,51F8BC52-0E7D-4541-A94C-7B30C66EDFFE,FK2322MRCM2AA01F2,2023-07-04 11:21:10,2023-07-04 11:24:16,RTQ237YM3101,monolith_receiver_ft,10023006
