record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13,14,MHz,13.714,10.268738,PASS,FAIL,230032,85225012-97B4-4848-A9F3-95495E3AAD2E,FK2322MRCM2AA01EA,2023-07-04 13:26:41,2023-07-04 13:29:29,RTQ237YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,15,40,,29.556,0.000000,PASS,FAIL,230032,85225012-97B4-4848-A9F3-95495E3AAD2E,FK2322MRCM2AA01EA,2023-07-04 13:26:41,2023-07-04 13:29:29,RTQ237YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.307508,PASS,FAIL,230032,85225012-97B4-4848-A9F3-95495E3AAD2E,FK2322MRCM2AA01EA,2023-07-04 13:26:41,2023-07-04 13:29:29,RTQ237YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.107875,PASS,FAIL,230032,85225012-97B4-4848-A9F3-95495E3AAD2E,FK2322MRCM2AA01EA,2023-07-04 13:26:41,2023-07-04 13:29:29,RTQ237YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,1.364143,PASS,FAIL,230032,85225012-97B4-4848-A9F3-95495E3AAD2E,FK2322MRCM2AA01EA,2023-07-04 13:26:41,2023-07-04 13:29:29,RTQ237YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.107354,PASS,FAIL,230032,85225012-97B4-4848-A9F3-95495E3AAD2E,FK2322MRCM2AA01EA,2023-07-04 13:26:41,2023-07-04 13:29:29,RTQ237YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,1.163893,PASS,FAIL,230032,85225012-97B4-4848-A9F3-95495E3AAD2E,FK2322MRCM2AA01EA,2023-07-04 13:26:41,2023-07-04 13:29:29,RTQ237YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.097000,PASS,FAIL,230032,85225012-97B4-4848-A9F3-95495E3AAD2E,FK2322MRCM2AA01EA,2023-07-04 13:26:41,2023-07-04 13:29:29,RTQ237YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,1.733066,PASS,FAIL,230032,85225012-97B4-4848-A9F3-95495E3AAD2E,FK2322MRCM2AA01EA,2023-07-04 13:26:41,2023-07-04 13:29:29,RTQ237YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.096121,PASS,FAIL,230032,85225012-97B4-4848-A9F3-95495E3AAD2E,FK2322MRCM2AA01EA,2023-07-04 13:26:41,2023-07-04 13:29:29,RTQ237YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,0.816591,PASS,FAIL,230032,85225012-97B4-4848-A9F3-95495E3AAD2E,FK2322MRCM2AA01EA,2023-07-04 13:26:41,2023-07-04 13:29:29,RTQ237YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.109060,PASS,FAIL,230032,85225012-97B4-4848-A9F3-95495E3AAD2E,FK2322MRCM2AA01EA,2023-07-04 13:26:41,2023-07-04 13:29:29,RTQ237YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,0.766837,PASS,FAIL,230032,85225012-97B4-4848-A9F3-95495E3AAD2E,FK2322MRCM2AA01EA,2023-07-04 13:26:41,2023-07-04 13:29:29,RTQ237YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,FAIL,21.093603,FAIL,FAIL,230032,85225012-97B4-4848-A9F3-95495E3AAD2E,FK2322MRCM2AA01EA,2023-07-04 13:26:41,2023-07-04 13:29:29,RTQ237YM3101,monolith_receiver_ft,10023006
