record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13,14,MHz,13.729,9.233974,PASS,PASS,0,445BEF78-7D68-4F13-ACC5-32626D3F54AB,FK2322MRCM2AA01BD,2023-07-04 13:30:13,2023-07-04 13:33:20,RTQ237YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,15,40,,30.991,0.000000,PASS,PASS,0,445BEF78-7D68-4F13-ACC5-32626D3F54AB,FK2322MRCM2AA01BD,2023-07-04 13:30:13,2023-07-04 13:33:20,RTQ237YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.308959,PASS,PASS,0,445BEF78-7D68-4F13-ACC5-32626D3F54AB,FK2322MRCM2AA01BD,2023-07-04 13:30:13,2023-07-04 13:33:20,RTQ237YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.100886,PASS,PASS,0,445BEF78-7D68-4F13-ACC5-32626D3F54AB,FK2322MRCM2AA01BD,2023-07-04 13:30:13,2023-07-04 13:33:20,RTQ237YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,1.007368,PASS,PASS,0,445BEF78-7D68-4F13-ACC5-32626D3F54AB,FK2322MRCM2AA01BD,2023-07-04 13:30:13,2023-07-04 13:33:20,RTQ237YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.200712,PASS,PASS,0,445BEF78-7D68-4F13-ACC5-32626D3F54AB,FK2322MRCM2AA01BD,2023-07-04 13:30:13,2023-07-04 13:33:20,RTQ237YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,1.222562,PASS,PASS,0,445BEF78-7D68-4F13-ACC5-32626D3F54AB,FK2322MRCM2AA01BD,2023-07-04 13:30:13,2023-07-04 13:33:20,RTQ237YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.100094,PASS,PASS,0,445BEF78-7D68-4F13-ACC5-32626D3F54AB,FK2322MRCM2AA01BD,2023-07-04 13:30:13,2023-07-04 13:33:20,RTQ237YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,1.878312,PASS,PASS,0,445BEF78-7D68-4F13-ACC5-32626D3F54AB,FK2322MRCM2AA01BD,2023-07-04 13:30:13,2023-07-04 13:33:20,RTQ237YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.096824,PASS,PASS,0,445BEF78-7D68-4F13-ACC5-32626D3F54AB,FK2322MRCM2AA01BD,2023-07-04 13:30:13,2023-07-04 13:33:20,RTQ237YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,0.890466,PASS,PASS,0,445BEF78-7D68-4F13-ACC5-32626D3F54AB,FK2322MRCM2AA01BD,2023-07-04 13:30:13,2023-07-04 13:33:20,RTQ237YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.094375,PASS,PASS,0,445BEF78-7D68-4F13-ACC5-32626D3F54AB,FK2322MRCM2AA01BD,2023-07-04 13:30:13,2023-07-04 13:33:20,RTQ237YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,0.606339,PASS,PASS,0,445BEF78-7D68-4F13-ACC5-32626D3F54AB,FK2322MRCM2AA01BD,2023-07-04 13:30:13,2023-07-04 13:33:20,RTQ237YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.232584,PASS,PASS,0,445BEF78-7D68-4F13-ACC5-32626D3F54AB,FK2322MRCM2AA01BD,2023-07-04 13:30:13,2023-07-04 13:33:20,RTQ237YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,26,1.202848,PASS,PASS,0,445BEF78-7D68-4F13-ACC5-32626D3F54AB,FK2322MRCM2AA01BD,2023-07-04 13:30:13,2023-07-04 13:33:20,RTQ237YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.103112,PASS,PASS,0,445BEF78-7D68-4F13-ACC5-32626D3F54AB,FK2322MRCM2AA01BD,2023-07-04 13:30:13,2023-07-04 13:33:20,RTQ237YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,27,1.150856,PASS,PASS,0,445BEF78-7D68-4F13-ACC5-32626D3F54AB,FK2322MRCM2AA01BD,2023-07-04 13:30:13,2023-07-04 13:33:20,RTQ237YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.104132,PASS,PASS,0,445BEF78-7D68-4F13-ACC5-32626D3F54AB,FK2322MRCM2AA01BD,2023-07-04 13:30:13,2023-07-04 13:33:20,RTQ237YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,4,350,uA,263.255204,4.288241,PASS,PASS,0,445BEF78-7D68-4F13-ACC5-32626D3F54AB,FK2322MRCM2AA01BD,2023-07-04 13:30:13,2023-07-04 13:33:20,RTQ237YM3101,monolith_receiver_ft,10023006
