record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,opmode_force_dev_mode,PASS,PASS,,PASS,1.215292,PASS,PASS,0,07814C19-A028-49A5-AF70-5AA00B45DD0C,FK2327MFAT2AA00C3,2023-07-04 13:55:55,2023-07-04 13:58:48,STA237YM5102,monolith_bollard_ft,10023020
2,Recovery_port_check,PASS,PASS,,PASS,1.084369,PASS,PASS,0,07814C19-A028-49A5-AF70-5AA00B45DD0C,FK2327MFAT2AA00C3,2023-07-04 13:55:55,2023-07-04 13:58:48,STA237YM5102,monolith_bollard_ft,10023020
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.881494,PASS,PASS,0,07814C19-A028-49A5-AF70-5AA00B45DD0C,FK2327MFAT2AA00C3,2023-07-04 13:55:55,2023-07-04 13:58:48,STA237YM5102,monolith_bollard_ft,10023020
4,NonCharging_SKU_Hw_Version1,Solar,Solar,,Solar,0.906537,PASS,PASS,0,07814C19-A028-49A5-AF70-5AA00B45DD0C,FK2327MFAT2AA00C3,2023-07-04 13:55:55,2023-07-04 13:58:48,STA237YM5102,monolith_bollard_ft,10023020
5,NonCharging_SKU_Hw_Version2,Solar,Solar,,Solar,0.919570,PASS,PASS,0,07814C19-A028-49A5-AF70-5AA00B45DD0C,FK2327MFAT2AA00C3,2023-07-04 13:55:55,2023-07-04 13:58:48,STA237YM5102,monolith_bollard_ft,10023020
6,NonCharging_SKU_Hw_Version3,Solar,Solar,,Solar,0.921483,PASS,PASS,0,07814C19-A028-49A5-AF70-5AA00B45DD0C,FK2327MFAT2AA00C3,2023-07-04 13:55:55,2023-07-04 13:58:48,STA237YM5102,monolith_bollard_ft,10023020
7,BQ_charger_ON,PASS,PASS,,PASS,1.081381,PASS,PASS,0,07814C19-A028-49A5-AF70-5AA00B45DD0C,FK2327MFAT2AA00C3,2023-07-04 13:55:55,2023-07-04 13:58:48,STA237YM5102,monolith_bollard_ft,10023020
8,TST_Battery2,PASS,PASS,,PASS,1.132363,PASS,PASS,0,07814C19-A028-49A5-AF70-5AA00B45DD0C,FK2327MFAT2AA00C3,2023-07-04 13:55:55,2023-07-04 13:58:48,STA237YM5102,monolith_bollard_ft,10023020
9,TST_Battery2_V,2,4.2,V,3.588,0.000000,PASS,PASS,0,07814C19-A028-49A5-AF70-5AA00B45DD0C,FK2327MFAT2AA00C3,2023-07-04 13:55:55,2023-07-04 13:58:48,STA237YM5102,monolith_bollard_ft,10023020
10,TST_Battery2_C,0,200000,uA,091966.0,0.000000,PASS,PASS,0,07814C19-A028-49A5-AF70-5AA00B45DD0C,FK2327MFAT2AA00C3,2023-07-04 13:55:55,2023-07-04 13:58:48,STA237YM5102,monolith_bollard_ft,10023020
11,Status_1,1,1,,1,1.092374,PASS,PASS,0,07814C19-A028-49A5-AF70-5AA00B45DD0C,FK2327MFAT2AA00C3,2023-07-04 13:55:55,2023-07-04 13:58:48,STA237YM5102,monolith_bollard_ft,10023020
12,BQ_charger_OFF,PASS,PASS,,PASS,1.098372,PASS,PASS,0,07814C19-A028-49A5-AF70-5AA00B45DD0C,FK2327MFAT2AA00C3,2023-07-04 13:55:55,2023-07-04 13:58:48,STA237YM5102,monolith_bollard_ft,10023020
13,TST_Battery1,PASS,PASS,,PASS,1.121341,PASS,PASS,0,07814C19-A028-49A5-AF70-5AA00B45DD0C,FK2327MFAT2AA00C3,2023-07-04 13:55:55,2023-07-04 13:58:48,STA237YM5102,monolith_bollard_ft,10023020
14,TST_Battery1_V,2,4.2,V,3.471,0.000000,PASS,PASS,0,07814C19-A028-49A5-AF70-5AA00B45DD0C,FK2327MFAT2AA00C3,2023-07-04 13:55:55,2023-07-04 13:58:48,STA237YM5102,monolith_bollard_ft,10023020
15,TST_Battery1_C,-10000,200000,uA,-00286.0,0.000000,PASS,PASS,0,07814C19-A028-49A5-AF70-5AA00B45DD0C,FK2327MFAT2AA00C3,2023-07-04 13:55:55,2023-07-04 13:58:48,STA237YM5102,monolith_bollard_ft,10023020
16,Status_0,0,0,,0,1.097373,PASS,PASS,0,07814C19-A028-49A5-AF70-5AA00B45DD0C,FK2327MFAT2AA00C3,2023-07-04 13:55:55,2023-07-04 13:58:48,STA237YM5102,monolith_bollard_ft,10023020
17,TST_Solar_L,PASS,PASS,,PASS,1.113362,PASS,PASS,0,07814C19-A028-49A5-AF70-5AA00B45DD0C,FK2327MFAT2AA00C3,2023-07-04 13:55:55,2023-07-04 13:58:48,STA237YM5102,monolith_bollard_ft,10023020
18,TEST_Solar_L_Voltage,1,8,V,3.916,0.000000,PASS,PASS,0,07814C19-A028-49A5-AF70-5AA00B45DD0C,FK2327MFAT2AA00C3,2023-07-04 13:55:55,2023-07-04 13:58:48,STA237YM5102,monolith_bollard_ft,10023020
19,TEST_Solar_L_Current,0,85000,uA,00.000,0.000000,PASS,PASS,0,07814C19-A028-49A5-AF70-5AA00B45DD0C,FK2327MFAT2AA00C3,2023-07-04 13:55:55,2023-07-04 13:58:48,STA237YM5102,monolith_bollard_ft,10023020
20,TST_Solar_R,PASS,PASS,,PASS,1.118361,PASS,PASS,0,07814C19-A028-49A5-AF70-5AA00B45DD0C,FK2327MFAT2AA00C3,2023-07-04 13:55:55,2023-07-04 13:58:48,STA237YM5102,monolith_bollard_ft,10023020
21,TEST_Solar_R_Voltage,1,8,V,3.674,0.000000,PASS,PASS,0,07814C19-A028-49A5-AF70-5AA00B45DD0C,FK2327MFAT2AA00C3,2023-07-04 13:55:55,2023-07-04 13:58:48,STA237YM5102,monolith_bollard_ft,10023020
22,TEST_Solar_R_Current,0,85000,uA,00.000,0.000000,PASS,PASS,0,07814C19-A028-49A5-AF70-5AA00B45DD0C,FK2327MFAT2AA00C3,2023-07-04 13:55:55,2023-07-04 13:58:48,STA237YM5102,monolith_bollard_ft,10023020
23,BQ_charger_ON,PASS,PASS,,PASS,1.088369,PASS,PASS,0,07814C19-A028-49A5-AF70-5AA00B45DD0C,FK2327MFAT2AA00C3,2023-07-04 13:55:55,2023-07-04 13:58:48,STA237YM5102,monolith_bollard_ft,10023020
24,TST_Battery2,PASS,PASS,,PASS,1.126338,PASS,PASS,0,07814C19-A028-49A5-AF70-5AA00B45DD0C,FK2327MFAT2AA00C3,2023-07-04 13:55:55,2023-07-04 13:58:48,STA237YM5102,monolith_bollard_ft,10023020
25,TST_Battery2_V,2,4.2,V,3.579,0.000000,PASS,PASS,0,07814C19-A028-49A5-AF70-5AA00B45DD0C,FK2327MFAT2AA00C3,2023-07-04 13:55:55,2023-07-04 13:58:48,STA237YM5102,monolith_bollard_ft,10023020
26,TST_Battery2_C,0,200000,uA,091820.0,0.000000,PASS,PASS,0,07814C19-A028-49A5-AF70-5AA00B45DD0C,FK2327MFAT2AA00C3,2023-07-04 13:55:55,2023-07-04 13:58:48,STA237YM5102,monolith_bollard_ft,10023020
27,Status_1,1,1,,1,1.092358,PASS,PASS,0,07814C19-A028-49A5-AF70-5AA00B45DD0C,FK2327MFAT2AA00C3,2023-07-04 13:55:55,2023-07-04 13:58:48,STA237YM5102,monolith_bollard_ft,10023020
28,Temp_with_rp_charge,5,35,C,27.000,1.121359,PASS,PASS,0,07814C19-A028-49A5-AF70-5AA00B45DD0C,FK2327MFAT2AA00C3,2023-07-04 13:55:55,2023-07-04 13:58:48,STA237YM5102,monolith_bollard_ft,10023020
29,ClawLock_unlock_cmd_send,PASS,PASS,,PASS,1.090375,PASS,PASS,0,07814C19-A028-49A5-AF70-5AA00B45DD0C,FK2327MFAT2AA00C3,2023-07-04 13:55:55,2023-07-04 13:58:48,STA237YM5102,monolith_bollard_ft,10023020
30,ClawLock_Is_Unlock,PASS,PASS,,PASS,1.131335,PASS,PASS,0,07814C19-A028-49A5-AF70-5AA00B45DD0C,FK2327MFAT2AA00C3,2023-07-04 13:55:55,2023-07-04 13:58:48,STA237YM5102,monolith_bollard_ft,10023020
31,Triangle_NFC_Insert,PASS,PASS,,PASS,5.824131,PASS,PASS,0,07814C19-A028-49A5-AF70-5AA00B45DD0C,FK2327MFAT2AA00C3,2023-07-04 13:55:55,2023-07-04 13:58:48,STA237YM5102,monolith_bollard_ft,10023020
32,ClawLock_lock_cmd_send,PASS,PASS,,PASS,1.094367,PASS,PASS,0,07814C19-A028-49A5-AF70-5AA00B45DD0C,FK2327MFAT2AA00C3,2023-07-04 13:55:55,2023-07-04 13:58:48,STA237YM5102,monolith_bollard_ft,10023020
33,ClawLock_Is_lock,PASS,PASS,,PASS,1.140348,PASS,PASS,0,07814C19-A028-49A5-AF70-5AA00B45DD0C,FK2327MFAT2AA00C3,2023-07-04 13:55:55,2023-07-04 13:58:48,STA237YM5102,monolith_bollard_ft,10023020
34,Human_Check_ClawLOCK_Lock,PASS,PASS,,PASS,3.429630,PASS,PASS,0,07814C19-A028-49A5-AF70-5AA00B45DD0C,FK2327MFAT2AA00C3,2023-07-04 13:55:55,2023-07-04 13:58:48,STA237YM5102,monolith_bollard_ft,10023020
35,TEST_nfc_rideable_run,PASS,PASS,,PASS,1.098373,PASS,PASS,0,07814C19-A028-49A5-AF70-5AA00B45DD0C,FK2327MFAT2AA00C3,2023-07-04 13:55:55,2023-07-04 13:58:48,STA237YM5102,monolith_bollard_ft,10023020
36,TEST_Triangle_NFC,PASS,PASS,,PASS,1.085380,PASS,PASS,0,07814C19-A028-49A5-AF70-5AA00B45DD0C,FK2327MFAT2AA00C3,2023-07-04 13:55:55,2023-07-04 13:58:48,STA237YM5102,monolith_bollard_ft,10023020
