record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13,14,MHz,13.713,9.253281,PASS,PASS,0,C200214F-694C-4992-8903-249832F82185,FK2322MRCM2AA0039,2023-07-04 15:08:48,2023-07-04 15:11:55,RTQ237YM3101,,10023006
2,Q_Factor_Value,15,40,,30.1385,0.000000,PASS,PASS,0,C200214F-694C-4992-8903-249832F82185,FK2322MRCM2AA0039,2023-07-04 15:08:48,2023-07-04 15:11:55,RTQ237YM3101,,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.259140,PASS,PASS,0,C200214F-694C-4992-8903-249832F82185,FK2322MRCM2AA0039,2023-07-04 15:08:48,2023-07-04 15:11:55,RTQ237YM3101,,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.098044,PASS,PASS,0,C200214F-694C-4992-8903-249832F82185,FK2322MRCM2AA0039,2023-07-04 15:08:48,2023-07-04 15:11:55,RTQ237YM3101,,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,0.872638,PASS,PASS,0,C200214F-694C-4992-8903-249832F82185,FK2322MRCM2AA0039,2023-07-04 15:08:48,2023-07-04 15:11:55,RTQ237YM3101,,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.090741,PASS,PASS,0,C200214F-694C-4992-8903-249832F82185,FK2322MRCM2AA0039,2023-07-04 15:08:48,2023-07-04 15:11:55,RTQ237YM3101,,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,1.464126,PASS,PASS,0,C200214F-694C-4992-8903-249832F82185,FK2322MRCM2AA0039,2023-07-04 15:08:48,2023-07-04 15:11:55,RTQ237YM3101,,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.099739,PASS,PASS,0,C200214F-694C-4992-8903-249832F82185,FK2322MRCM2AA0039,2023-07-04 15:08:48,2023-07-04 15:11:55,RTQ237YM3101,,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,1.389042,PASS,PASS,0,C200214F-694C-4992-8903-249832F82185,FK2322MRCM2AA0039,2023-07-04 15:08:48,2023-07-04 15:11:55,RTQ237YM3101,,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.096018,PASS,PASS,0,C200214F-694C-4992-8903-249832F82185,FK2322MRCM2AA0039,2023-07-04 15:08:48,2023-07-04 15:11:55,RTQ237YM3101,,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,2.034223,PASS,PASS,0,C200214F-694C-4992-8903-249832F82185,FK2322MRCM2AA0039,2023-07-04 15:08:48,2023-07-04 15:11:55,RTQ237YM3101,,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.096226,PASS,PASS,0,C200214F-694C-4992-8903-249832F82185,FK2322MRCM2AA0039,2023-07-04 15:08:48,2023-07-04 15:11:55,RTQ237YM3101,,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,0.805017,PASS,PASS,0,C200214F-694C-4992-8903-249832F82185,FK2322MRCM2AA0039,2023-07-04 15:08:48,2023-07-04 15:11:55,RTQ237YM3101,,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,2.146949,PASS,PASS,0,C200214F-694C-4992-8903-249832F82185,FK2322MRCM2AA0039,2023-07-04 15:08:48,2023-07-04 15:11:55,RTQ237YM3101,,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,28,1.097398,PASS,PASS,0,C200214F-694C-4992-8903-249832F82185,FK2322MRCM2AA0039,2023-07-04 15:08:48,2023-07-04 15:11:55,RTQ237YM3101,,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.105840,PASS,PASS,0,C200214F-694C-4992-8903-249832F82185,FK2322MRCM2AA0039,2023-07-04 15:08:48,2023-07-04 15:11:55,RTQ237YM3101,,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,27,1.202200,PASS,PASS,0,C200214F-694C-4992-8903-249832F82185,FK2322MRCM2AA0039,2023-07-04 15:08:48,2023-07-04 15:11:55,RTQ237YM3101,,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.104974,PASS,PASS,0,C200214F-694C-4992-8903-249832F82185,FK2322MRCM2AA0039,2023-07-04 15:08:48,2023-07-04 15:11:55,RTQ237YM3101,,10023006
19,LPCD_Mode_UI_NFC_Current,4,350,uA,309.187522,4.284942,PASS,PASS,0,C200214F-694C-4992-8903-249832F82185,FK2322MRCM2AA0039,2023-07-04 15:08:48,2023-07-04 15:11:55,RTQ237YM3101,,10023006
