record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13,14,MHz,13.749,11.773281,PASS,FAIL,230032,BF8473DE-D720-4A32-AA3D-BA3EF179D502,FK2322MRCM2AA01C4,2023-07-04 15:24:37,2023-07-04 15:27:51,RTQ237YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,15,40,,31.3189,0.000000,PASS,FAIL,230032,BF8473DE-D720-4A32-AA3D-BA3EF179D502,FK2322MRCM2AA01C4,2023-07-04 15:24:37,2023-07-04 15:27:51,RTQ237YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.519083,PASS,FAIL,230032,BF8473DE-D720-4A32-AA3D-BA3EF179D502,FK2322MRCM2AA01C4,2023-07-04 15:24:37,2023-07-04 15:27:51,RTQ237YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.092561,PASS,FAIL,230032,BF8473DE-D720-4A32-AA3D-BA3EF179D502,FK2322MRCM2AA01C4,2023-07-04 15:24:37,2023-07-04 15:27:51,RTQ237YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,1.728789,PASS,FAIL,230032,BF8473DE-D720-4A32-AA3D-BA3EF179D502,FK2322MRCM2AA01C4,2023-07-04 15:24:37,2023-07-04 15:27:51,RTQ237YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.093628,PASS,FAIL,230032,BF8473DE-D720-4A32-AA3D-BA3EF179D502,FK2322MRCM2AA01C4,2023-07-04 15:24:37,2023-07-04 15:27:51,RTQ237YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,1.950856,PASS,FAIL,230032,BF8473DE-D720-4A32-AA3D-BA3EF179D502,FK2322MRCM2AA01C4,2023-07-04 15:24:37,2023-07-04 15:27:51,RTQ237YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.096275,PASS,FAIL,230032,BF8473DE-D720-4A32-AA3D-BA3EF179D502,FK2322MRCM2AA01C4,2023-07-04 15:24:37,2023-07-04 15:27:51,RTQ237YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,1.812727,PASS,FAIL,230032,BF8473DE-D720-4A32-AA3D-BA3EF179D502,FK2322MRCM2AA01C4,2023-07-04 15:24:37,2023-07-04 15:27:51,RTQ237YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.089490,PASS,FAIL,230032,BF8473DE-D720-4A32-AA3D-BA3EF179D502,FK2322MRCM2AA01C4,2023-07-04 15:24:37,2023-07-04 15:27:51,RTQ237YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,2.512905,PASS,FAIL,230032,BF8473DE-D720-4A32-AA3D-BA3EF179D502,FK2322MRCM2AA01C4,2023-07-04 15:24:37,2023-07-04 15:27:51,RTQ237YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.094960,PASS,FAIL,230032,BF8473DE-D720-4A32-AA3D-BA3EF179D502,FK2322MRCM2AA01C4,2023-07-04 15:24:37,2023-07-04 15:27:51,RTQ237YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,3.687718,PASS,FAIL,230032,BF8473DE-D720-4A32-AA3D-BA3EF179D502,FK2322MRCM2AA01C4,2023-07-04 15:24:37,2023-07-04 15:27:51,RTQ237YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,FAIL,21.096166,FAIL,FAIL,230032,BF8473DE-D720-4A32-AA3D-BA3EF179D502,FK2322MRCM2AA01C4,2023-07-04 15:24:37,2023-07-04 15:27:51,RTQ237YM3101,monolith_receiver_ft,10023006
