record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,opmode_force_dev_mode,PASS,PASS,,PASS,1.208302,PASS,FAIL,902051,F0E2B455-2959-4181-881A-C553DDE403B6,FK2327MFAT2AA00CB,2023-07-04 15:29:49,2023-07-04 15:32:29,STA237YM5102,monolith_bollard_ft,10023020
2,Recovery_port_check,PASS,PASS,,PASS,1.096379,PASS,FAIL,902051,F0E2B455-2959-4181-881A-C553DDE403B6,FK2327MFAT2AA00CB,2023-07-04 15:29:49,2023-07-04 15:32:29,STA237YM5102,monolith_bollard_ft,10023020
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.871579,PASS,FAIL,902051,F0E2B455-2959-4181-881A-C553DDE403B6,FK2327MFAT2AA00CB,2023-07-04 15:29:49,2023-07-04 15:32:29,STA237YM5102,monolith_bollard_ft,10023020
4,NonCharging_SKU_Hw_Version1,Solar,Solar,,Solar,0.919460,PASS,FAIL,902051,F0E2B455-2959-4181-881A-C553DDE403B6,FK2327MFAT2AA00CB,2023-07-04 15:29:49,2023-07-04 15:32:29,STA237YM5102,monolith_bollard_ft,10023020
5,NonCharging_SKU_Hw_Version2,Solar,Solar,,Solar,0.920459,PASS,FAIL,902051,F0E2B455-2959-4181-881A-C553DDE403B6,FK2327MFAT2AA00CB,2023-07-04 15:29:49,2023-07-04 15:32:29,STA237YM5102,monolith_bollard_ft,10023020
6,NonCharging_SKU_Hw_Version3,Solar,Solar,,Solar,0.913464,PASS,FAIL,902051,F0E2B455-2959-4181-881A-C553DDE403B6,FK2327MFAT2AA00CB,2023-07-04 15:29:49,2023-07-04 15:32:29,STA237YM5102,monolith_bollard_ft,10023020
7,BQ_charger_ON,PASS,PASS,,PASS,1.087348,PASS,FAIL,902051,F0E2B455-2959-4181-881A-C553DDE403B6,FK2327MFAT2AA00CB,2023-07-04 15:29:49,2023-07-04 15:32:29,STA237YM5102,monolith_bollard_ft,10023020
8,TST_Battery2,PASS,PASS,,PASS,1.136337,PASS,FAIL,902051,F0E2B455-2959-4181-881A-C553DDE403B6,FK2327MFAT2AA00CB,2023-07-04 15:29:49,2023-07-04 15:32:29,STA237YM5102,monolith_bollard_ft,10023020
9,TST_Battery2_V,2,4.2,V,3.585,0.000000,PASS,FAIL,902051,F0E2B455-2959-4181-881A-C553DDE403B6,FK2327MFAT2AA00CB,2023-07-04 15:29:49,2023-07-04 15:32:29,STA237YM5102,monolith_bollard_ft,10023020
10,TST_Battery2_C,0,200000,uA,091966.0,0.000000,PASS,FAIL,902051,F0E2B455-2959-4181-881A-C553DDE403B6,FK2327MFAT2AA00CB,2023-07-04 15:29:49,2023-07-04 15:32:29,STA237YM5102,monolith_bollard_ft,10023020
11,Status_1,1,1,,1,1.562124,PASS,FAIL,902051,F0E2B455-2959-4181-881A-C553DDE403B6,FK2327MFAT2AA00CB,2023-07-04 15:29:49,2023-07-04 15:32:29,STA237YM5102,monolith_bollard_ft,10023020
12,BQ_charger_OFF,PASS,PASS,,PASS,1.074372,PASS,FAIL,902051,F0E2B455-2959-4181-881A-C553DDE403B6,FK2327MFAT2AA00CB,2023-07-04 15:29:49,2023-07-04 15:32:29,STA237YM5102,monolith_bollard_ft,10023020
13,TST_Battery1,PASS,PASS,,PASS,1.124358,PASS,FAIL,902051,F0E2B455-2959-4181-881A-C553DDE403B6,FK2327MFAT2AA00CB,2023-07-04 15:29:49,2023-07-04 15:32:29,STA237YM5102,monolith_bollard_ft,10023020
14,TST_Battery1_V,2,4.2,V,3.491,0.000000,PASS,FAIL,902051,F0E2B455-2959-4181-881A-C553DDE403B6,FK2327MFAT2AA00CB,2023-07-04 15:29:49,2023-07-04 15:32:29,STA237YM5102,monolith_bollard_ft,10023020
15,TST_Battery1_C,-10000,200000,uA,000886.0,0.000000,PASS,FAIL,902051,F0E2B455-2959-4181-881A-C553DDE403B6,FK2327MFAT2AA00CB,2023-07-04 15:29:49,2023-07-04 15:32:29,STA237YM5102,monolith_bollard_ft,10023020
16,Status_0,0,0,,0,1.082382,PASS,FAIL,902051,F0E2B455-2959-4181-881A-C553DDE403B6,FK2327MFAT2AA00CB,2023-07-04 15:29:49,2023-07-04 15:32:29,STA237YM5102,monolith_bollard_ft,10023020
17,TST_Solar_L,PASS,PASS,,PASS,1.127348,PASS,FAIL,902051,F0E2B455-2959-4181-881A-C553DDE403B6,FK2327MFAT2AA00CB,2023-07-04 15:29:49,2023-07-04 15:32:29,STA237YM5102,monolith_bollard_ft,10023020
