record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,opmode_force_dev_mode,PASS,PASS,,PASS,1.227281,PASS,PASS,0,AF265435-23B4-488A-A45D-8CFA66529D04,FK2327MFAT2AA00A0,2023-07-04 16:11:45,2023-07-04 16:14:46,STA237YM5102,monolith_bollard_ft,10023020
2,Recovery_port_check,PASS,PASS,,PASS,1.096369,PASS,PASS,0,AF265435-23B4-488A-A45D-8CFA66529D04,FK2327MFAT2AA00A0,2023-07-04 16:11:45,2023-07-04 16:14:46,STA237YM5102,monolith_bollard_ft,10023020
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.895468,PASS,PASS,0,AF265435-23B4-488A-A45D-8CFA66529D04,FK2327MFAT2AA00A0,2023-07-04 16:11:45,2023-07-04 16:14:46,STA237YM5102,monolith_bollard_ft,10023020
4,NonCharging_SKU_Hw_Version1,Solar,Solar,,Solar,0.929466,PASS,PASS,0,AF265435-23B4-488A-A45D-8CFA66529D04,FK2327MFAT2AA00A0,2023-07-04 16:11:45,2023-07-04 16:14:46,STA237YM5102,monolith_bollard_ft,10023020
5,NonCharging_SKU_Hw_Version2,Solar,Solar,,Solar,0.942461,PASS,PASS,0,AF265435-23B4-488A-A45D-8CFA66529D04,FK2327MFAT2AA00A0,2023-07-04 16:11:45,2023-07-04 16:14:46,STA237YM5102,monolith_bollard_ft,10023020
6,NonCharging_SKU_Hw_Version3,Solar,Solar,,Solar,0.924475,PASS,PASS,0,AF265435-23B4-488A-A45D-8CFA66529D04,FK2327MFAT2AA00A0,2023-07-04 16:11:45,2023-07-04 16:14:46,STA237YM5102,monolith_bollard_ft,10023020
7,BQ_charger_ON,PASS,PASS,,PASS,1.107368,PASS,PASS,0,AF265435-23B4-488A-A45D-8CFA66529D04,FK2327MFAT2AA00A0,2023-07-04 16:11:45,2023-07-04 16:14:46,STA237YM5102,monolith_bollard_ft,10023020
8,TST_Battery2,PASS,PASS,,PASS,1.124339,PASS,PASS,0,AF265435-23B4-488A-A45D-8CFA66529D04,FK2327MFAT2AA00A0,2023-07-04 16:11:45,2023-07-04 16:14:46,STA237YM5102,monolith_bollard_ft,10023020
9,TST_Battery2_V,2,4.2,V,3.612,0.000000,PASS,PASS,0,AF265435-23B4-488A-A45D-8CFA66529D04,FK2327MFAT2AA00A0,2023-07-04 16:11:45,2023-07-04 16:14:46,STA237YM5102,monolith_bollard_ft,10023020
10,TST_Battery2_C,0,200000,uA,091966.0,0.000000,PASS,PASS,0,AF265435-23B4-488A-A45D-8CFA66529D04,FK2327MFAT2AA00A0,2023-07-04 16:11:45,2023-07-04 16:14:46,STA237YM5102,monolith_bollard_ft,10023020
11,Status_1,1,1,,1,1.086380,PASS,PASS,0,AF265435-23B4-488A-A45D-8CFA66529D04,FK2327MFAT2AA00A0,2023-07-04 16:11:45,2023-07-04 16:14:46,STA237YM5102,monolith_bollard_ft,10023020
12,BQ_charger_OFF,PASS,PASS,,PASS,1.854923,PASS,PASS,0,AF265435-23B4-488A-A45D-8CFA66529D04,FK2327MFAT2AA00A0,2023-07-04 16:11:45,2023-07-04 16:14:46,STA237YM5102,monolith_bollard_ft,10023020
13,TST_Battery1,PASS,PASS,,PASS,1.124358,PASS,PASS,0,AF265435-23B4-488A-A45D-8CFA66529D04,FK2327MFAT2AA00A0,2023-07-04 16:11:45,2023-07-04 16:14:46,STA237YM5102,monolith_bollard_ft,10023020
14,TST_Battery1_V,2,4.2,V,3.492,0.000000,PASS,PASS,0,AF265435-23B4-488A-A45D-8CFA66529D04,FK2327MFAT2AA00A0,2023-07-04 16:11:45,2023-07-04 16:14:46,STA237YM5102,monolith_bollard_ft,10023020
15,TST_Battery1_C,-10000,200000,uA,000446.0,0.000000,PASS,PASS,0,AF265435-23B4-488A-A45D-8CFA66529D04,FK2327MFAT2AA00A0,2023-07-04 16:11:45,2023-07-04 16:14:46,STA237YM5102,monolith_bollard_ft,10023020
16,Status_0,0,0,,0,1.094376,PASS,PASS,0,AF265435-23B4-488A-A45D-8CFA66529D04,FK2327MFAT2AA00A0,2023-07-04 16:11:45,2023-07-04 16:14:46,STA237YM5102,monolith_bollard_ft,10023020
17,TST_Solar_L,PASS,PASS,,PASS,1.120361,PASS,PASS,0,AF265435-23B4-488A-A45D-8CFA66529D04,FK2327MFAT2AA00A0,2023-07-04 16:11:45,2023-07-04 16:14:46,STA237YM5102,monolith_bollard_ft,10023020
18,TEST_Solar_L_Voltage,1,8,V,3.974,0.000000,PASS,PASS,0,AF265435-23B4-488A-A45D-8CFA66529D04,FK2327MFAT2AA00A0,2023-07-04 16:11:45,2023-07-04 16:14:46,STA237YM5102,monolith_bollard_ft,10023020
