record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,opmode_force_dev_mode,PASS,PASS,,PASS,1.243270,PASS,FAIL,902063,65CEC7A9-3DEA-47F3-870A-A7E6E08D4D32,FK2327MFAT2AA008D,2023-07-04 17:50:41,2023-07-04 17:52:54,STA237YM5102,monolith_bollard_ft,10023020
2,Recovery_port_check,PASS,PASS,,PASS,1.092358,PASS,FAIL,902063,65CEC7A9-3DEA-47F3-870A-A7E6E08D4D32,FK2327MFAT2AA008D,2023-07-04 17:50:41,2023-07-04 17:52:54,STA237YM5102,monolith_bollard_ft,10023020
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.874496,PASS,FAIL,902063,65CEC7A9-3DEA-47F3-870A-A7E6E08D4D32,FK2327MFAT2AA008D,2023-07-04 17:50:41,2023-07-04 17:52:54,STA237YM5102,monolith_bollard_ft,10023020
4,NonCharging_SKU_Hw_Version1,Solar,Solar,,Solar,0.933474,PASS,FAIL,902063,65CEC7A9-3DEA-47F3-870A-A7E6E08D4D32,FK2327MFAT2AA008D,2023-07-04 17:50:41,2023-07-04 17:52:54,STA237YM5102,monolith_bollard_ft,10023020
5,NonCharging_SKU_Hw_Version2,Solar,Solar,,Solar,1.750005,PASS,FAIL,902063,65CEC7A9-3DEA-47F3-870A-A7E6E08D4D32,FK2327MFAT2AA008D,2023-07-04 17:50:41,2023-07-04 17:52:54,STA237YM5102,monolith_bollard_ft,10023020
6,NonCharging_SKU_Hw_Version3,Solar,Solar,,Solar,0.922494,PASS,FAIL,902063,65CEC7A9-3DEA-47F3-870A-A7E6E08D4D32,FK2327MFAT2AA008D,2023-07-04 17:50:41,2023-07-04 17:52:54,STA237YM5102,monolith_bollard_ft,10023020
7,BQ_charger_ON,PASS,PASS,,PASS,1.094360,PASS,FAIL,902063,65CEC7A9-3DEA-47F3-870A-A7E6E08D4D32,FK2327MFAT2AA008D,2023-07-04 17:50:41,2023-07-04 17:52:54,STA237YM5102,monolith_bollard_ft,10023020
8,TST_Battery2,PASS,PASS,,PASS,1.127337,PASS,FAIL,902063,65CEC7A9-3DEA-47F3-870A-A7E6E08D4D32,FK2327MFAT2AA008D,2023-07-04 17:50:41,2023-07-04 17:52:54,STA237YM5102,monolith_bollard_ft,10023020
9,TST_Battery2_V,2,4.2,V,3.547,0.000000,PASS,FAIL,902063,65CEC7A9-3DEA-47F3-870A-A7E6E08D4D32,FK2327MFAT2AA008D,2023-07-04 17:50:41,2023-07-04 17:52:54,STA237YM5102,monolith_bollard_ft,10023020
10,TST_Battery2_C,0,200000,uA,091966.0,0.000000,PASS,FAIL,902063,65CEC7A9-3DEA-47F3-870A-A7E6E08D4D32,FK2327MFAT2AA008D,2023-07-04 17:50:41,2023-07-04 17:52:54,STA237YM5102,monolith_bollard_ft,10023020
11,Status_1,1,1,,1,1.091358,PASS,FAIL,902063,65CEC7A9-3DEA-47F3-870A-A7E6E08D4D32,FK2327MFAT2AA008D,2023-07-04 17:50:41,2023-07-04 17:52:54,STA237YM5102,monolith_bollard_ft,10023020
12,BQ_charger_OFF,PASS,PASS,,PASS,1.079393,PASS,FAIL,902063,65CEC7A9-3DEA-47F3-870A-A7E6E08D4D32,FK2327MFAT2AA008D,2023-07-04 17:50:41,2023-07-04 17:52:54,STA237YM5102,monolith_bollard_ft,10023020
13,TST_Battery1,PASS,PASS,,PASS,1.151329,PASS,FAIL,902063,65CEC7A9-3DEA-47F3-870A-A7E6E08D4D32,FK2327MFAT2AA008D,2023-07-04 17:50:41,2023-07-04 17:52:54,STA237YM5102,monolith_bollard_ft,10023020
14,TST_Battery1_V,2,4.2,V,3.456,0.000000,PASS,FAIL,902063,65CEC7A9-3DEA-47F3-870A-A7E6E08D4D32,FK2327MFAT2AA008D,2023-07-04 17:50:41,2023-07-04 17:52:54,STA237YM5102,monolith_bollard_ft,10023020
15,TST_Battery1_C,-10000,200000,uA,-00946.0,0.000000,PASS,FAIL,902063,65CEC7A9-3DEA-47F3-870A-A7E6E08D4D32,FK2327MFAT2AA008D,2023-07-04 17:50:41,2023-07-04 17:52:54,STA237YM5102,monolith_bollard_ft,10023020
16,Status_0,0,0,,0,1.105360,PASS,FAIL,902063,65CEC7A9-3DEA-47F3-870A-A7E6E08D4D32,FK2327MFAT2AA008D,2023-07-04 17:50:41,2023-07-04 17:52:54,STA237YM5102,monolith_bollard_ft,10023020
17,TST_Solar_L,PASS,PASS,,PASS,1.135351,PASS,FAIL,902063,65CEC7A9-3DEA-47F3-870A-A7E6E08D4D32,FK2327MFAT2AA008D,2023-07-04 17:50:41,2023-07-04 17:52:54,STA237YM5102,monolith_bollard_ft,10023020
18,TEST_Solar_L_Voltage,1,8,V,3.727,0.000000,PASS,FAIL,902063,65CEC7A9-3DEA-47F3-870A-A7E6E08D4D32,FK2327MFAT2AA008D,2023-07-04 17:50:41,2023-07-04 17:52:54,STA237YM5102,monolith_bollard_ft,10023020
19,TEST_Solar_L_Current,0,85000,uA,00.000,0.000000,PASS,FAIL,902063,65CEC7A9-3DEA-47F3-870A-A7E6E08D4D32,FK2327MFAT2AA008D,2023-07-04 17:50:41,2023-07-04 17:52:54,STA237YM5102,monolith_bollard_ft,10023020
20,TST_Solar_R,PASS,PASS,,PASS,1.129355,PASS,FAIL,902063,65CEC7A9-3DEA-47F3-870A-A7E6E08D4D32,FK2327MFAT2AA008D,2023-07-04 17:50:41,2023-07-04 17:52:54,STA237YM5102,monolith_bollard_ft,10023020
21,TEST_Solar_R_Voltage,1,8,V,3.717,0.000000,PASS,FAIL,902063,65CEC7A9-3DEA-47F3-870A-A7E6E08D4D32,FK2327MFAT2AA008D,2023-07-04 17:50:41,2023-07-04 17:52:54,STA237YM5102,monolith_bollard_ft,10023020
22,TEST_Solar_R_Current,0,85000,uA,00.000,0.000000,PASS,FAIL,902063,65CEC7A9-3DEA-47F3-870A-A7E6E08D4D32,FK2327MFAT2AA008D,2023-07-04 17:50:41,2023-07-04 17:52:54,STA237YM5102,monolith_bollard_ft,10023020
23,BQ_charger_ON,PASS,PASS,,PASS,1.085380,PASS,FAIL,902063,65CEC7A9-3DEA-47F3-870A-A7E6E08D4D32,FK2327MFAT2AA008D,2023-07-04 17:50:41,2023-07-04 17:52:54,STA237YM5102,monolith_bollard_ft,10023020
24,TST_Battery2,PASS,PASS,,PASS,1.123341,PASS,FAIL,902063,65CEC7A9-3DEA-47F3-870A-A7E6E08D4D32,FK2327MFAT2AA008D,2023-07-04 17:50:41,2023-07-04 17:52:54,STA237YM5102,monolith_bollard_ft,10023020
25,TST_Battery2_V,2,4.2,V,3.565,0.000000,PASS,FAIL,902063,65CEC7A9-3DEA-47F3-870A-A7E6E08D4D32,FK2327MFAT2AA008D,2023-07-04 17:50:41,2023-07-04 17:52:54,STA237YM5102,monolith_bollard_ft,10023020
26,TST_Battery2_C,0,200000,uA,091966.0,0.000000,PASS,FAIL,902063,65CEC7A9-3DEA-47F3-870A-A7E6E08D4D32,FK2327MFAT2AA008D,2023-07-04 17:50:41,2023-07-04 17:52:54,STA237YM5102,monolith_bollard_ft,10023020
27,Status_1,1,1,,1,1.099352,PASS,FAIL,902063,65CEC7A9-3DEA-47F3-870A-A7E6E08D4D32,FK2327MFAT2AA008D,2023-07-04 17:50:41,2023-07-04 17:52:54,STA237YM5102,monolith_bollard_ft,10023020
28,Temp_with_rp_charge,5,35,C,27.000,1.140353,PASS,FAIL,902063,65CEC7A9-3DEA-47F3-870A-A7E6E08D4D32,FK2327MFAT2AA008D,2023-07-04 17:50:41,2023-07-04 17:52:54,STA237YM5102,monolith_bollard_ft,10023020
29,ClawLock_unlock_cmd_send,PASS,PASS,,PASS,1.099394,PASS,FAIL,902063,65CEC7A9-3DEA-47F3-870A-A7E6E08D4D32,FK2327MFAT2AA008D,2023-07-04 17:50:41,2023-07-04 17:52:54,STA237YM5102,monolith_bollard_ft,10023020
30,ClawLock_Is_Unlock,PASS,PASS,,PASS,1.142337,PASS,FAIL,902063,65CEC7A9-3DEA-47F3-870A-A7E6E08D4D32,FK2327MFAT2AA008D,2023-07-04 17:50:41,2023-07-04 17:52:54,STA237YM5102,monolith_bollard_ft,10023020
31,Triangle_NFC_Insert,PASS,PASS,,PASS,6.273487,PASS,FAIL,902063,65CEC7A9-3DEA-47F3-870A-A7E6E08D4D32,FK2327MFAT2AA008D,2023-07-04 17:50:41,2023-07-04 17:52:54,STA237YM5102,monolith_bollard_ft,10023020
