record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,opmode_force_dev_mode,PASS,PASS,,PASS,1.213295,PASS,FAIL,902063,6EFFA5D6-2DC7-4EED-A120-B9BC14BBBB6F,FK2327MFAT2AA0058,2023-07-05 09:35:22,2023-07-05 09:37:33,STA237YM5102,,10023020
2,Recovery_port_check,PASS,PASS,,PASS,1.101377,PASS,FAIL,902063,6EFFA5D6-2DC7-4EED-A120-B9BC14BBBB6F,FK2327MFAT2AA0058,2023-07-05 09:35:22,2023-07-05 09:37:33,STA237YM5102,,10023020
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.890493,PASS,FAIL,902063,6EFFA5D6-2DC7-4EED-A120-B9BC14BBBB6F,FK2327MFAT2AA0058,2023-07-05 09:35:22,2023-07-05 09:37:33,STA237YM5102,,10023020
4,NonCharging_SKU_Hw_Version1,Solar,Solar,,Solar,0.928452,PASS,FAIL,902063,6EFFA5D6-2DC7-4EED-A120-B9BC14BBBB6F,FK2327MFAT2AA0058,2023-07-05 09:35:22,2023-07-05 09:37:33,STA237YM5102,,10023020
5,NonCharging_SKU_Hw_Version2,Solar,Solar,,Solar,0.940469,PASS,FAIL,902063,6EFFA5D6-2DC7-4EED-A120-B9BC14BBBB6F,FK2327MFAT2AA0058,2023-07-05 09:35:22,2023-07-05 09:37:33,STA237YM5102,,10023020
6,NonCharging_SKU_Hw_Version3,Solar,Solar,,Solar,0.921474,PASS,FAIL,902063,6EFFA5D6-2DC7-4EED-A120-B9BC14BBBB6F,FK2327MFAT2AA0058,2023-07-05 09:35:22,2023-07-05 09:37:33,STA237YM5102,,10023020
7,BQ_charger_ON,PASS,PASS,,PASS,1.087390,PASS,FAIL,902063,6EFFA5D6-2DC7-4EED-A120-B9BC14BBBB6F,FK2327MFAT2AA0058,2023-07-05 09:35:22,2023-07-05 09:37:33,STA237YM5102,,10023020
8,TST_Battery2,PASS,PASS,,PASS,1.583102,PASS,FAIL,902063,6EFFA5D6-2DC7-4EED-A120-B9BC14BBBB6F,FK2327MFAT2AA0058,2023-07-05 09:35:22,2023-07-05 09:37:33,STA237YM5102,,10023020
9,TST_Battery2_V,2,4.2,V,3.616,0.000000,PASS,FAIL,902063,6EFFA5D6-2DC7-4EED-A120-B9BC14BBBB6F,FK2327MFAT2AA0058,2023-07-05 09:35:22,2023-07-05 09:37:33,STA237YM5102,,10023020
10,TST_Battery2_C,0,200000,uA,091966.0,0.000000,PASS,FAIL,902063,6EFFA5D6-2DC7-4EED-A120-B9BC14BBBB6F,FK2327MFAT2AA0058,2023-07-05 09:35:22,2023-07-05 09:37:33,STA237YM5102,,10023020
11,Status_1,1,1,,1,1.088378,PASS,FAIL,902063,6EFFA5D6-2DC7-4EED-A120-B9BC14BBBB6F,FK2327MFAT2AA0058,2023-07-05 09:35:22,2023-07-05 09:37:33,STA237YM5102,,10023020
12,BQ_charger_OFF,PASS,PASS,,PASS,1.087375,PASS,FAIL,902063,6EFFA5D6-2DC7-4EED-A120-B9BC14BBBB6F,FK2327MFAT2AA0058,2023-07-05 09:35:22,2023-07-05 09:37:33,STA237YM5102,,10023020
13,TST_Battery1,PASS,PASS,,PASS,1.129341,PASS,FAIL,902063,6EFFA5D6-2DC7-4EED-A120-B9BC14BBBB6F,FK2327MFAT2AA0058,2023-07-05 09:35:22,2023-07-05 09:37:33,STA237YM5102,,10023020
14,TST_Battery1_V,2,4.2,V,3.505,0.000000,PASS,FAIL,902063,6EFFA5D6-2DC7-4EED-A120-B9BC14BBBB6F,FK2327MFAT2AA0058,2023-07-05 09:35:22,2023-07-05 09:37:33,STA237YM5102,,10023020
