record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,opmode_force_dev_mode,PASS,PASS,,PASS,1.220290,PASS,FAIL,902062,632F7BF5-DCF0-44B5-B838-DA4DE1C67E74,FK2327MFAT2AA004F,2023-07-05 10:24:19,2023-07-05 10:27:21,STA237YM5102,,10023020
2,Recovery_port_check,PASS,PASS,,PASS,1.095357,PASS,FAIL,902062,632F7BF5-DCF0-44B5-B838-DA4DE1C67E74,FK2327MFAT2AA004F,2023-07-05 10:24:19,2023-07-05 10:27:21,STA237YM5102,,10023020
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.874504,PASS,FAIL,902062,632F7BF5-DCF0-44B5-B838-DA4DE1C67E74,FK2327MFAT2AA004F,2023-07-05 10:24:19,2023-07-05 10:27:21,STA237YM5102,,10023020
4,NonCharging_SKU_Hw_Version1,Solar,Solar,,Solar,0.914478,PASS,FAIL,902062,632F7BF5-DCF0-44B5-B838-DA4DE1C67E74,FK2327MFAT2AA004F,2023-07-05 10:24:19,2023-07-05 10:27:21,STA237YM5102,,10023020
5,NonCharging_SKU_Hw_Version2,Solar,Solar,,Solar,0.920473,PASS,FAIL,902062,632F7BF5-DCF0-44B5-B838-DA4DE1C67E74,FK2327MFAT2AA004F,2023-07-05 10:24:19,2023-07-05 10:27:21,STA237YM5102,,10023020
6,NonCharging_SKU_Hw_Version3,Solar,Solar,,Solar,1.891921,PASS,FAIL,902062,632F7BF5-DCF0-44B5-B838-DA4DE1C67E74,FK2327MFAT2AA004F,2023-07-05 10:24:19,2023-07-05 10:27:21,STA237YM5102,,10023020
7,BQ_charger_ON,PASS,PASS,,PASS,1.086360,PASS,FAIL,902062,632F7BF5-DCF0-44B5-B838-DA4DE1C67E74,FK2327MFAT2AA004F,2023-07-05 10:24:19,2023-07-05 10:27:21,STA237YM5102,,10023020
8,TST_Battery2,PASS,PASS,,PASS,1.125359,PASS,FAIL,902062,632F7BF5-DCF0-44B5-B838-DA4DE1C67E74,FK2327MFAT2AA004F,2023-07-05 10:24:19,2023-07-05 10:27:21,STA237YM5102,,10023020
9,TST_Battery2_V,2,4.2,V,3.616,0.000000,PASS,FAIL,902062,632F7BF5-DCF0-44B5-B838-DA4DE1C67E74,FK2327MFAT2AA004F,2023-07-05 10:24:19,2023-07-05 10:27:21,STA237YM5102,,10023020
10,TST_Battery2_C,0,200000,uA,091966.0,0.000000,PASS,FAIL,902062,632F7BF5-DCF0-44B5-B838-DA4DE1C67E74,FK2327MFAT2AA004F,2023-07-05 10:24:19,2023-07-05 10:27:21,STA237YM5102,,10023020
