record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.005034,PASS,PASS,0,C825AA5F-B201-4DE5-A302-2276E1610D9F,FK2324MMBC1AA0025,2023-07-05 14:18:29,2023-07-05 14:22:28,RTT237R02,monolith_main_bft,10023100
2,Unlock_MCU_Write_Protect,PASS,PASS,,PASS,0.24,PASS,PASS,0,C825AA5F-B201-4DE5-A302-2276E1610D9F,FK2324MMBC1AA0025,2023-07-05 14:18:29,2023-07-05 14:22:28,RTT237R02,monolith_main_bft,10023100
3,Flash_STLink,PASS,PASS,,PASS,8.73,PASS,PASS,0,C825AA5F-B201-4DE5-A302-2276E1610D9F,FK2324MMBC1AA0025,2023-07-05 14:18:29,2023-07-05 14:22:28,RTT237R02,monolith_main_bft,10023100
4,FW_Version,2023.15.105,2023.15.105,,2023.15.105,3.899128,PASS,PASS,0,C825AA5F-B201-4DE5-A302-2276E1610D9F,FK2324MMBC1AA0025,2023-07-05 14:18:29,2023-07-05 14:22:28,RTT237R02,monolith_main_bft,10023100
5,Hw_Version,Solar,Solar,,Solar,2.679999,PASS,PASS,0,C825AA5F-B201-4DE5-A302-2276E1610D9F,FK2324MMBC1AA0025,2023-07-05 14:18:29,2023-07-05 14:22:28,RTT237R02,monolith_main_bft,10023100
6,Vbat,PASS,PASS,,PASS,2.837248,PASS,PASS,0,C825AA5F-B201-4DE5-A302-2276E1610D9F,FK2324MMBC1AA0025,2023-07-05 14:18:29,2023-07-05 14:22:28,RTT237R02,monolith_main_bft,10023100
7,lte_modem_status,PASS,PASS,,PASS,4.311244,PASS,PASS,0,C825AA5F-B201-4DE5-A302-2276E1610D9F,FK2324MMBC1AA0025,2023-07-05 14:18:29,2023-07-05 14:22:28,RTT237R02,monolith_main_bft,10023100
8,temp_by_mcu_sensor_Vbatt,10,40,C,27.000,2.758526,PASS,PASS,0,C825AA5F-B201-4DE5-A302-2276E1610D9F,FK2324MMBC1AA0025,2023-07-05 14:18:29,2023-07-05 14:22:28,RTT237R02,monolith_main_bft,10023100
9,Power_Rail_Enable,PASS,PASS,,PASS,2.583981,PASS,PASS,0,C825AA5F-B201-4DE5-A302-2276E1610D9F,FK2324MMBC1AA0025,2023-07-05 14:18:29,2023-07-05 14:22:28,RTT237R02,monolith_main_bft,10023100
10,Voltage_PP4V2_SYS,3.6,3.8,V,3.684570,0.236336,PASS,PASS,0,C825AA5F-B201-4DE5-A302-2276E1610D9F,FK2324MMBC1AA0025,2023-07-05 14:18:29,2023-07-05 14:22:28,RTT237R02,monolith_main_bft,10023100
11,Voltage_PP1V8_LDO,1.76,1.85,V,1.803660,0.245009,PASS,PASS,0,C825AA5F-B201-4DE5-A302-2276E1610D9F,FK2324MMBC1AA0025,2023-07-05 14:18:29,2023-07-05 14:22:28,RTT237R02,monolith_main_bft,10023100
12,Voltage_PP5V0,4.85,5.15,V,4.994530,0.244303,PASS,PASS,0,C825AA5F-B201-4DE5-A302-2276E1610D9F,FK2324MMBC1AA0025,2023-07-05 14:18:29,2023-07-05 14:22:28,RTT237R02,monolith_main_bft,10023100
13,Voltage_DUT_PP12V0_BOOST,11.493,12.395,V,11.985346,0.245599,PASS,PASS,0,C825AA5F-B201-4DE5-A302-2276E1610D9F,FK2324MMBC1AA0025,2023-07-05 14:18:29,2023-07-05 14:22:28,RTT237R02,monolith_main_bft,10023100
14,Voltage_DUT_PP12V0,11.3,12.3,V,11.636739,0.235194,PASS,PASS,0,C825AA5F-B201-4DE5-A302-2276E1610D9F,FK2324MMBC1AA0025,2023-07-05 14:18:29,2023-07-05 14:22:28,RTT237R02,monolith_main_bft,10023100
15,nor_flash,PASS,PASS,,PASS,2.670217,PASS,PASS,0,C825AA5F-B201-4DE5-A302-2276E1610D9F,FK2324MMBC1AA0025,2023-07-05 14:18:29,2023-07-05 14:22:28,RTT237R02,monolith_main_bft,10023100
16,lock_status,PASS,PASS,,PASS,4.701481,PASS,PASS,0,C825AA5F-B201-4DE5-A302-2276E1610D9F,FK2324MMBC1AA0025,2023-07-05 14:18:29,2023-07-05 14:22:28,RTT237R02,monolith_main_bft,10023100
17,TEST_Clawlock_Lock,PASS,PASS,,PASS,0.315088,PASS,PASS,0,C825AA5F-B201-4DE5-A302-2276E1610D9F,FK2324MMBC1AA0025,2023-07-05 14:18:29,2023-07-05 14:22:28,RTT237R02,monolith_main_bft,10023100
18,unlock_status,PASS,PASS,,PASS,4.446491,PASS,PASS,0,C825AA5F-B201-4DE5-A302-2276E1610D9F,FK2324MMBC1AA0025,2023-07-05 14:18:29,2023-07-05 14:22:28,RTT237R02,monolith_main_bft,10023100
19,TEST_Clawlock_Unlock,PASS,PASS,,PASS,0.320475,PASS,PASS,0,C825AA5F-B201-4DE5-A302-2276E1610D9F,FK2324MMBC1AA0025,2023-07-05 14:18:29,2023-07-05 14:22:28,RTT237R02,monolith_main_bft,10023100
20,triangle_nfc,PASS,PASS,,PASS,2.899944,PASS,PASS,0,C825AA5F-B201-4DE5-A302-2276E1610D9F,FK2324MMBC1AA0025,2023-07-05 14:18:29,2023-07-05 14:22:28,RTT237R02,monolith_main_bft,10023100
21,ui_nfc,PASS,PASS,,PASS,2.657025,PASS,PASS,0,C825AA5F-B201-4DE5-A302-2276E1610D9F,FK2324MMBC1AA0025,2023-07-05 14:18:29,2023-07-05 14:22:28,RTT237R02,monolith_main_bft,10023100
22,speaker,PASS,PASS,,PASS,2.883729,PASS,PASS,0,C825AA5F-B201-4DE5-A302-2276E1610D9F,FK2324MMBC1AA0025,2023-07-05 14:18:29,2023-07-05 14:22:28,RTT237R02,monolith_main_bft,10023100
23,speaker_timeout,PASS,PASS,,PASS,6.437524,PASS,PASS,0,C825AA5F-B201-4DE5-A302-2276E1610D9F,FK2324MMBC1AA0025,2023-07-05 14:18:29,2023-07-05 14:22:28,RTT237R02,monolith_main_bft,10023100
24,flip_dot,PASS,PASS,,PASS,1.023201,PASS,PASS,0,C825AA5F-B201-4DE5-A302-2276E1610D9F,FK2324MMBC1AA0025,2023-07-05 14:18:29,2023-07-05 14:22:28,RTT237R02,monolith_main_bft,10023100
25,flip_dot_timeout,PASS,PASS,,PASS,5.236628,PASS,PASS,0,C825AA5F-B201-4DE5-A302-2276E1610D9F,FK2324MMBC1AA0025,2023-07-05 14:18:29,2023-07-05 14:22:28,RTT237R02,monolith_main_bft,10023100
26,se,PASS,PASS,,PASS,2.792877,PASS,PASS,0,C825AA5F-B201-4DE5-A302-2276E1610D9F,FK2324MMBC1AA0025,2023-07-05 14:18:29,2023-07-05 14:22:28,RTT237R02,monolith_main_bft,10023100
27,Can_Data_Send,PASS,PASS,,PASS,2.935977,PASS,PASS,0,C825AA5F-B201-4DE5-A302-2276E1610D9F,FK2324MMBC1AA0025,2023-07-05 14:18:29,2023-07-05 14:22:28,RTT237R02,monolith_main_bft,10023100
28,Can_Data_Recv,PASS,PASS,,PASS,3.065565,PASS,PASS,0,C825AA5F-B201-4DE5-A302-2276E1610D9F,FK2324MMBC1AA0025,2023-07-05 14:18:29,2023-07-05 14:22:28,RTT237R02,monolith_main_bft,10023100
29,Charge_Can_Data_Send,PASS,PASS,,PASS,3.428399,PASS,PASS,0,C825AA5F-B201-4DE5-A302-2276E1610D9F,FK2324MMBC1AA0025,2023-07-05 14:18:29,2023-07-05 14:22:28,RTT237R02,monolith_main_bft,10023100
30,Charge_Can_Data_Recv,PASS,PASS,,PASS,3.916989,PASS,PASS,0,C825AA5F-B201-4DE5-A302-2276E1610D9F,FK2324MMBC1AA0025,2023-07-05 14:18:29,2023-07-05 14:22:28,RTT237R02,monolith_main_bft,10023100
31,TST_SM_BUS,PASS,PASS,,PASS,5.875787,PASS,PASS,0,C825AA5F-B201-4DE5-A302-2276E1610D9F,FK2324MMBC1AA0025,2023-07-05 14:18:29,2023-07-05 14:22:28,RTT237R02,monolith_main_bft,10023100
32,Voltage_CC_CV_EN_5V,4.85,5.15,V,4.986770,1.244394,PASS,PASS,0,C825AA5F-B201-4DE5-A302-2276E1610D9F,FK2324MMBC1AA0025,2023-07-05 14:18:29,2023-07-05 14:22:28,RTT237R02,monolith_main_bft,10023100
33,rp_charge,PASS,PASS,,PASS,3.66,PASS,PASS,0,C825AA5F-B201-4DE5-A302-2276E1610D9F,FK2324MMBC1AA0025,2023-07-05 14:18:29,2023-07-05 14:22:28,RTT237R02,monolith_main_bft,10023100
34,temp_by_mcu_sensor_Vbatt_and_RP12V,10,40,C,29.000,8.070022,PASS,PASS,0,C825AA5F-B201-4DE5-A302-2276E1610D9F,FK2324MMBC1AA0025,2023-07-05 14:18:29,2023-07-05 14:22:28,RTT237R02,monolith_main_bft,10023100
35,TEST_DC75V_Sense,PASS,PASS,,PASS,0,PASS,PASS,0,C825AA5F-B201-4DE5-A302-2276E1610D9F,FK2324MMBC1AA0025,2023-07-05 14:18:29,2023-07-05 14:22:28,RTT237R02,monolith_main_bft,10023100
36,TEST_Charge_NTC,PASS,PASS,,PASS,0,PASS,PASS,0,C825AA5F-B201-4DE5-A302-2276E1610D9F,FK2324MMBC1AA0025,2023-07-05 14:18:29,2023-07-05 14:22:28,RTT237R02,monolith_main_bft,10023100
37,Voltage_PP12V0_CHG,11.8,12.5,V,12.216165,0.246551,PASS,PASS,0,C825AA5F-B201-4DE5-A302-2276E1610D9F,FK2324MMBC1AA0025,2023-07-05 14:18:29,2023-07-05 14:22:28,RTT237R02,monolith_main_bft,10023100
38,contact_input_charge,PASS,PASS,,PASS,3.62,PASS,PASS,0,C825AA5F-B201-4DE5-A302-2276E1610D9F,FK2324MMBC1AA0025,2023-07-05 14:18:29,2023-07-05 14:22:28,RTT237R02,monolith_main_bft,10023100
39,Voltage_HOOK_OFF_CHGEN_OFF,0,2,V,0.048960,0.236295,PASS,PASS,0,C825AA5F-B201-4DE5-A302-2276E1610D9F,FK2324MMBC1AA0025,2023-07-05 14:18:29,2023-07-05 14:22:28,RTT237R02,monolith_main_bft,10023100
40,Voltage_HOOK_ON_CHGEN_OFF,0,2,V,0.043350,0.236597,PASS,PASS,0,C825AA5F-B201-4DE5-A302-2276E1610D9F,FK2324MMBC1AA0025,2023-07-05 14:18:29,2023-07-05 14:22:28,RTT237R02,monolith_main_bft,10023100
41,Voltage_HOOK_OFF_CHGEN_ON,0,2,V,0.041310,0.236307,PASS,PASS,0,C825AA5F-B201-4DE5-A302-2276E1610D9F,FK2324MMBC1AA0025,2023-07-05 14:18:29,2023-07-05 14:22:28,RTT237R02,monolith_main_bft,10023100
42,Voltage_HOOK_ON_CHGEN_ON,57,57.6,V,57.259740,0.235557,PASS,PASS,0,C825AA5F-B201-4DE5-A302-2276E1610D9F,FK2324MMBC1AA0025,2023-07-05 14:18:29,2023-07-05 14:22:28,RTT237R02,monolith_main_bft,10023100
43,sim_read,PASS,PASS,,PASS,11.502918,PASS,PASS,0,C825AA5F-B201-4DE5-A302-2276E1610D9F,FK2324MMBC1AA0025,2023-07-05 14:18:29,2023-07-05 14:22:28,RTT237R02,monolith_main_bft,10023100
44,IMEI,1.00E+14,1.00E+15,,869965065810446,0.000000,PASS,PASS,0,C825AA5F-B201-4DE5-A302-2276E1610D9F,FK2324MMBC1AA0025,2023-07-05 14:18:29,2023-07-05 14:22:28,RTT237R02,monolith_main_bft,10023100
45,ICCID,1.00E+19,1.00E+20,,89430301722235568266,0.000000,PASS,PASS,0,C825AA5F-B201-4DE5-A302-2276E1610D9F,FK2324MMBC1AA0025,2023-07-05 14:18:29,2023-07-05 14:22:28,RTT237R02,monolith_main_bft,10023100
46,SET_Sleep_mode,PASS,PASS,,PASS,20.424862,PASS,PASS,0,C825AA5F-B201-4DE5-A302-2276E1610D9F,FK2324MMBC1AA0025,2023-07-05 14:18:29,2023-07-05 14:22:28,RTT237R02,monolith_main_bft,10023100
