record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,opmode_force_dev_mode,PASS,PASS,,PASS,1.204464,PASS,PASS,0,43A752D0-E22E-48D4-AD9B-75A9E2E0E3EB,FK2327MFAT2AA0020,2023-07-05 16:19:03,2023-07-05 16:21:58,STA237YM5102,monolith_bollard_ft,10023020
2,Recovery_port_check,PASS,PASS,,PASS,1.067449,PASS,PASS,0,43A752D0-E22E-48D4-AD9B-75A9E2E0E3EB,FK2327MFAT2AA0020,2023-07-05 16:19:03,2023-07-05 16:21:58,STA237YM5102,monolith_bollard_ft,10023020
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.863906,PASS,PASS,0,43A752D0-E22E-48D4-AD9B-75A9E2E0E3EB,FK2327MFAT2AA0020,2023-07-05 16:19:03,2023-07-05 16:21:58,STA237YM5102,monolith_bollard_ft,10023020
4,NonCharging_SKU_Hw_Version1,Solar,Solar,,Solar,0.894478,PASS,PASS,0,43A752D0-E22E-48D4-AD9B-75A9E2E0E3EB,FK2327MFAT2AA0020,2023-07-05 16:19:03,2023-07-05 16:21:58,STA237YM5102,monolith_bollard_ft,10023020
5,NonCharging_SKU_Hw_Version2,Solar,Solar,,Solar,0.929657,PASS,PASS,0,43A752D0-E22E-48D4-AD9B-75A9E2E0E3EB,FK2327MFAT2AA0020,2023-07-05 16:19:03,2023-07-05 16:21:58,STA237YM5102,monolith_bollard_ft,10023020
6,NonCharging_SKU_Hw_Version3,Solar,Solar,,Solar,0.907019,PASS,PASS,0,43A752D0-E22E-48D4-AD9B-75A9E2E0E3EB,FK2327MFAT2AA0020,2023-07-05 16:19:03,2023-07-05 16:21:58,STA237YM5102,monolith_bollard_ft,10023020
7,BQ_charger_ON,PASS,PASS,,PASS,1.070624,PASS,PASS,0,43A752D0-E22E-48D4-AD9B-75A9E2E0E3EB,FK2327MFAT2AA0020,2023-07-05 16:19:03,2023-07-05 16:21:58,STA237YM5102,monolith_bollard_ft,10023020
8,TST_Battery2,PASS,PASS,,PASS,1.097093,PASS,PASS,0,43A752D0-E22E-48D4-AD9B-75A9E2E0E3EB,FK2327MFAT2AA0020,2023-07-05 16:19:03,2023-07-05 16:21:58,STA237YM5102,monolith_bollard_ft,10023020
9,TST_Battery2_V,2,4.2,V,3.595,0.000000,PASS,PASS,0,43A752D0-E22E-48D4-AD9B-75A9E2E0E3EB,FK2327MFAT2AA0020,2023-07-05 16:19:03,2023-07-05 16:21:58,STA237YM5102,monolith_bollard_ft,10023020
10,TST_Battery2_C,0,200000,uA,091966.0,0.000000,PASS,PASS,0,43A752D0-E22E-48D4-AD9B-75A9E2E0E3EB,FK2327MFAT2AA0020,2023-07-05 16:19:03,2023-07-05 16:21:58,STA237YM5102,monolith_bollard_ft,10023020
11,Status_1,1,1,,1,1.058376,PASS,PASS,0,43A752D0-E22E-48D4-AD9B-75A9E2E0E3EB,FK2327MFAT2AA0020,2023-07-05 16:19:03,2023-07-05 16:21:58,STA237YM5102,monolith_bollard_ft,10023020
12,BQ_charger_OFF,PASS,PASS,,PASS,1.072192,PASS,PASS,0,43A752D0-E22E-48D4-AD9B-75A9E2E0E3EB,FK2327MFAT2AA0020,2023-07-05 16:19:03,2023-07-05 16:21:58,STA237YM5102,monolith_bollard_ft,10023020
13,TST_Battery1,PASS,PASS,,PASS,1.096788,PASS,PASS,0,43A752D0-E22E-48D4-AD9B-75A9E2E0E3EB,FK2327MFAT2AA0020,2023-07-05 16:19:03,2023-07-05 16:21:58,STA237YM5102,monolith_bollard_ft,10023020
14,TST_Battery1_V,2,4.2,V,3.473,0.000000,PASS,PASS,0,43A752D0-E22E-48D4-AD9B-75A9E2E0E3EB,FK2327MFAT2AA0020,2023-07-05 16:19:03,2023-07-05 16:21:58,STA237YM5102,monolith_bollard_ft,10023020
15,TST_Battery1_C,-10000,200000,uA,-00213.0,0.000000,PASS,PASS,0,43A752D0-E22E-48D4-AD9B-75A9E2E0E3EB,FK2327MFAT2AA0020,2023-07-05 16:19:03,2023-07-05 16:21:58,STA237YM5102,monolith_bollard_ft,10023020
16,Status_0,0,0,,0,1.067070,PASS,PASS,0,43A752D0-E22E-48D4-AD9B-75A9E2E0E3EB,FK2327MFAT2AA0020,2023-07-05 16:19:03,2023-07-05 16:21:58,STA237YM5102,monolith_bollard_ft,10023020
17,TST_Solar_L,PASS,PASS,,PASS,1.111774,PASS,PASS,0,43A752D0-E22E-48D4-AD9B-75A9E2E0E3EB,FK2327MFAT2AA0020,2023-07-05 16:19:03,2023-07-05 16:21:58,STA237YM5102,monolith_bollard_ft,10023020
18,TEST_Solar_L_Voltage,1,8,V,3.436,0.000000,PASS,PASS,0,43A752D0-E22E-48D4-AD9B-75A9E2E0E3EB,FK2327MFAT2AA0020,2023-07-05 16:19:03,2023-07-05 16:21:58,STA237YM5102,monolith_bollard_ft,10023020
19,TEST_Solar_L_Current,0,85000,uA,00.000,0.000000,PASS,PASS,0,43A752D0-E22E-48D4-AD9B-75A9E2E0E3EB,FK2327MFAT2AA0020,2023-07-05 16:19:03,2023-07-05 16:21:58,STA237YM5102,monolith_bollard_ft,10023020
20,TST_Solar_R,PASS,PASS,,PASS,1.095487,PASS,PASS,0,43A752D0-E22E-48D4-AD9B-75A9E2E0E3EB,FK2327MFAT2AA0020,2023-07-05 16:19:03,2023-07-05 16:21:58,STA237YM5102,monolith_bollard_ft,10023020
21,TEST_Solar_R_Voltage,1,8,V,3.446,0.000000,PASS,PASS,0,43A752D0-E22E-48D4-AD9B-75A9E2E0E3EB,FK2327MFAT2AA0020,2023-07-05 16:19:03,2023-07-05 16:21:58,STA237YM5102,monolith_bollard_ft,10023020
22,TEST_Solar_R_Current,0,85000,uA,00.000,0.000000,PASS,PASS,0,43A752D0-E22E-48D4-AD9B-75A9E2E0E3EB,FK2327MFAT2AA0020,2023-07-05 16:19:03,2023-07-05 16:21:58,STA237YM5102,monolith_bollard_ft,10023020
23,BQ_charger_ON,PASS,PASS,,PASS,1.071576,PASS,PASS,0,43A752D0-E22E-48D4-AD9B-75A9E2E0E3EB,FK2327MFAT2AA0020,2023-07-05 16:19:03,2023-07-05 16:21:58,STA237YM5102,monolith_bollard_ft,10023020
24,TST_Battery2,PASS,PASS,,PASS,1.103079,PASS,PASS,0,43A752D0-E22E-48D4-AD9B-75A9E2E0E3EB,FK2327MFAT2AA0020,2023-07-05 16:19:03,2023-07-05 16:21:58,STA237YM5102,monolith_bollard_ft,10023020
25,TST_Battery2_V,2,4.2,V,3.594,0.000000,PASS,PASS,0,43A752D0-E22E-48D4-AD9B-75A9E2E0E3EB,FK2327MFAT2AA0020,2023-07-05 16:19:03,2023-07-05 16:21:58,STA237YM5102,monolith_bollard_ft,10023020
26,TST_Battery2_C,0,200000,uA,091966.0,0.000000,PASS,PASS,0,43A752D0-E22E-48D4-AD9B-75A9E2E0E3EB,FK2327MFAT2AA0020,2023-07-05 16:19:03,2023-07-05 16:21:58,STA237YM5102,monolith_bollard_ft,10023020
27,Status_1,1,1,,1,1.068559,PASS,PASS,0,43A752D0-E22E-48D4-AD9B-75A9E2E0E3EB,FK2327MFAT2AA0020,2023-07-05 16:19:03,2023-07-05 16:21:58,STA237YM5102,monolith_bollard_ft,10023020
28,Temp_with_rp_charge,5,35,C,25.000,1.097012,PASS,PASS,0,43A752D0-E22E-48D4-AD9B-75A9E2E0E3EB,FK2327MFAT2AA0020,2023-07-05 16:19:03,2023-07-05 16:21:58,STA237YM5102,monolith_bollard_ft,10023020
29,ClawLock_unlock_cmd_send,PASS,PASS,,PASS,1.115459,PASS,PASS,0,43A752D0-E22E-48D4-AD9B-75A9E2E0E3EB,FK2327MFAT2AA0020,2023-07-05 16:19:03,2023-07-05 16:21:58,STA237YM5102,monolith_bollard_ft,10023020
30,ClawLock_Is_Unlock,PASS,PASS,,PASS,1.121087,PASS,PASS,0,43A752D0-E22E-48D4-AD9B-75A9E2E0E3EB,FK2327MFAT2AA0020,2023-07-05 16:19:03,2023-07-05 16:21:58,STA237YM5102,monolith_bollard_ft,10023020
31,Triangle_NFC_Insert,PASS,PASS,,PASS,5.804772,PASS,PASS,0,43A752D0-E22E-48D4-AD9B-75A9E2E0E3EB,FK2327MFAT2AA0020,2023-07-05 16:19:03,2023-07-05 16:21:58,STA237YM5102,monolith_bollard_ft,10023020
32,ClawLock_lock_cmd_send,PASS,PASS,,PASS,1.125777,PASS,PASS,0,43A752D0-E22E-48D4-AD9B-75A9E2E0E3EB,FK2327MFAT2AA0020,2023-07-05 16:19:03,2023-07-05 16:21:58,STA237YM5102,monolith_bollard_ft,10023020
33,ClawLock_Is_lock,PASS,PASS,,PASS,1.116578,PASS,PASS,0,43A752D0-E22E-48D4-AD9B-75A9E2E0E3EB,FK2327MFAT2AA0020,2023-07-05 16:19:03,2023-07-05 16:21:58,STA237YM5102,monolith_bollard_ft,10023020
34,Human_Check_ClawLOCK_Lock,PASS,PASS,,PASS,1.484238,PASS,PASS,0,43A752D0-E22E-48D4-AD9B-75A9E2E0E3EB,FK2327MFAT2AA0020,2023-07-05 16:19:03,2023-07-05 16:21:58,STA237YM5102,monolith_bollard_ft,10023020
35,TEST_nfc_rideable_run,PASS,PASS,,PASS,1.076014,PASS,PASS,0,43A752D0-E22E-48D4-AD9B-75A9E2E0E3EB,FK2327MFAT2AA0020,2023-07-05 16:19:03,2023-07-05 16:21:58,STA237YM5102,monolith_bollard_ft,10023020
36,TEST_Triangle_NFC,PASS,PASS,,PASS,1.077537,PASS,PASS,0,43A752D0-E22E-48D4-AD9B-75A9E2E0E3EB,FK2327MFAT2AA0020,2023-07-05 16:19:03,2023-07-05 16:21:58,STA237YM5102,monolith_bollard_ft,10023020
37,ClawLock_unlock_cmd_send,PASS,PASS,,PASS,1.063077,PASS,PASS,0,43A752D0-E22E-48D4-AD9B-75A9E2E0E3EB,FK2327MFAT2AA0020,2023-07-05 16:19:03,2023-07-05 16:21:58,STA237YM5102,monolith_bollard_ft,10023020
38,ClawLock_Is_Unlock,PASS,PASS,,PASS,1.125018,PASS,PASS,0,43A752D0-E22E-48D4-AD9B-75A9E2E0E3EB,FK2327MFAT2AA0020,2023-07-05 16:19:03,2023-07-05 16:21:58,STA237YM5102,monolith_bollard_ft,10023020
39,Triangle_NFC_Pull_Out,PASS,PASS,,PASS,3.338459,PASS,PASS,0,43A752D0-E22E-48D4-AD9B-75A9E2E0E3EB,FK2327MFAT2AA0020,2023-07-05 16:19:03,2023-07-05 16:21:58,STA237YM5102,monolith_bollard_ft,10023020
40,Human_Check_Sound_On,PASS,PASS,,PASS,1.734567,PASS,PASS,0,43A752D0-E22E-48D4-AD9B-75A9E2E0E3EB,FK2327MFAT2AA0020,2023-07-05 16:19:03,2023-07-05 16:21:58,STA237YM5102,monolith_bollard_ft,10023020
41,Human_Check_Sound_Off,PASS,PASS,,PASS,1.232650,PASS,PASS,0,43A752D0-E22E-48D4-AD9B-75A9E2E0E3EB,FK2327MFAT2AA0020,2023-07-05 16:19:03,2023-07-05 16:21:58,STA237YM5102,monolith_bollard_ft,10023020
42,Human_Check_FlipDot_On,PASS,PASS,,PASS,1.190601,PASS,PASS,0,43A752D0-E22E-48D4-AD9B-75A9E2E0E3EB,FK2327MFAT2AA0020,2023-07-05 16:19:03,2023-07-05 16:21:58,STA237YM5102,monolith_bollard_ft,10023020
43,Human_Check_FlipDot_Off,PASS,PASS,,PASS,0.973802,PASS,PASS,0,43A752D0-E22E-48D4-AD9B-75A9E2E0E3EB,FK2327MFAT2AA0020,2023-07-05 16:19:03,2023-07-05 16:21:58,STA237YM5102,monolith_bollard_ft,10023020
44,TEST_bike_key_nfc_user_run,PASS,PASS,,PASS,1.074474,PASS,PASS,0,43A752D0-E22E-48D4-AD9B-75A9E2E0E3EB,FK2327MFAT2AA0020,2023-07-05 16:19:03,2023-07-05 16:21:58,STA237YM5102,monolith_bollard_ft,10023020
45,TEST_bike_key_total_detect,PASS,PASS,,PASS,1.075069,PASS,PASS,0,43A752D0-E22E-48D4-AD9B-75A9E2E0E3EB,FK2327MFAT2AA0020,2023-07-05 16:19:03,2023-07-05 16:21:58,STA237YM5102,monolith_bollard_ft,10023020
46,TEST_transit_card_nfc_user_run,PASS,PASS,,PASS,1.072198,PASS,PASS,0,43A752D0-E22E-48D4-AD9B-75A9E2E0E3EB,FK2327MFAT2AA0020,2023-07-05 16:19:03,2023-07-05 16:21:58,STA237YM5102,monolith_bollard_ft,10023020
47,TEST_transit_card_total_detect,PASS,PASS,,PASS,1.683389,PASS,PASS,0,43A752D0-E22E-48D4-AD9B-75A9E2E0E3EB,FK2327MFAT2AA0020,2023-07-05 16:19:03,2023-07-05 16:21:58,STA237YM5102,monolith_bollard_ft,10023020
48,TEST_set_modem_on,PASS,PASS,,PASS,1.067605,PASS,PASS,0,43A752D0-E22E-48D4-AD9B-75A9E2E0E3EB,FK2327MFAT2AA0020,2023-07-05 16:19:03,2023-07-05 16:21:58,STA237YM5102,monolith_bollard_ft,10023020
49,TEST_modem_connected,PASS,PASS,,PASS,1.068778,PASS,PASS,0,43A752D0-E22E-48D4-AD9B-75A9E2E0E3EB,FK2327MFAT2AA0020,2023-07-05 16:19:03,2023-07-05 16:21:58,STA237YM5102,monolith_bollard_ft,10023020
50,TEST_network_connected,PASS,PASS,,PASS,1.070384,PASS,PASS,0,43A752D0-E22E-48D4-AD9B-75A9E2E0E3EB,FK2327MFAT2AA0020,2023-07-05 16:19:03,2023-07-05 16:21:58,STA237YM5102,monolith_bollard_ft,10023020
51,ICCID,1.00E+19,1.00E+20,,89430301722230455360,0.863946,PASS,PASS,0,43A752D0-E22E-48D4-AD9B-75A9E2E0E3EB,FK2327MFAT2AA0020,2023-07-05 16:19:03,2023-07-05 16:21:58,STA237YM5102,monolith_bollard_ft,10023020
52,IMEI,1.00E+14,1.00E+15,,869965065811451,0.859392,PASS,PASS,0,43A752D0-E22E-48D4-AD9B-75A9E2E0E3EB,FK2327MFAT2AA0020,2023-07-05 16:19:03,2023-07-05 16:21:58,STA237YM5102,monolith_bollard_ft,10023020
53,opmode_clear_forced_state,PASS,PASS,,PASS,1.074568,PASS,PASS,0,43A752D0-E22E-48D4-AD9B-75A9E2E0E3EB,FK2327MFAT2AA0020,2023-07-05 16:19:03,2023-07-05 16:21:58,STA237YM5102,monolith_bollard_ft,10023020
54,ship_mode,PASS,PASS,,PASS,1.078872,PASS,PASS,0,43A752D0-E22E-48D4-AD9B-75A9E2E0E3EB,FK2327MFAT2AA0020,2023-07-05 16:19:03,2023-07-05 16:21:58,STA237YM5102,monolith_bollard_ft,10023020
55,FlipDot_Red_On,PASS,PASS,,PASS,6.179010,PASS,PASS,0,43A752D0-E22E-48D4-AD9B-75A9E2E0E3EB,FK2327MFAT2AA0020,2023-07-05 16:19:03,2023-07-05 16:21:58,STA237YM5102,monolith_bollard_ft,10023020
