record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.008189,PASS,FAIL,101072,5245F299-32F0-4EC4-B043-F23ED9698578,FK2324MMBC1AA0183,2023-07-06 08:13:13,2023-07-06 08:15:20,RTT237R02,,10023100
2,Unlock_MCU_Write_Protect,PASS,PASS,,PASS,0.24,PASS,FAIL,101072,5245F299-32F0-4EC4-B043-F23ED9698578,FK2324MMBC1AA0183,2023-07-06 08:13:13,2023-07-06 08:15:20,RTT237R02,,10023100
3,Flash_STLink,PASS,PASS,,PASS,8.79,PASS,FAIL,101072,5245F299-32F0-4EC4-B043-F23ED9698578,FK2324MMBC1AA0183,2023-07-06 08:13:13,2023-07-06 08:15:20,RTT237R02,,10023100
4,FW_Version,2023.15.105,2023.15.105,,2023.15.105,3.891586,PASS,FAIL,101072,5245F299-32F0-4EC4-B043-F23ED9698578,FK2324MMBC1AA0183,2023-07-06 08:13:13,2023-07-06 08:15:20,RTT237R02,,10023100
5,Hw_Version,Solar,Solar,,Solar,2.626483,PASS,FAIL,101072,5245F299-32F0-4EC4-B043-F23ED9698578,FK2324MMBC1AA0183,2023-07-06 08:13:13,2023-07-06 08:15:20,RTT237R02,,10023100
6,Vbat,PASS,PASS,,PASS,2.884557,PASS,FAIL,101072,5245F299-32F0-4EC4-B043-F23ED9698578,FK2324MMBC1AA0183,2023-07-06 08:13:13,2023-07-06 08:15:20,RTT237R02,,10023100
7,lte_modem_status,PASS,PASS,,PASS,4.302171,PASS,FAIL,101072,5245F299-32F0-4EC4-B043-F23ED9698578,FK2324MMBC1AA0183,2023-07-06 08:13:13,2023-07-06 08:15:20,RTT237R02,,10023100
8,temp_by_mcu_sensor_Vbatt,10,40,C,29.000,2.759294,PASS,FAIL,101072,5245F299-32F0-4EC4-B043-F23ED9698578,FK2324MMBC1AA0183,2023-07-06 08:13:13,2023-07-06 08:15:20,RTT237R02,,10023100
9,Power_Rail_Enable,PASS,PASS,,PASS,2.630505,PASS,FAIL,101072,5245F299-32F0-4EC4-B043-F23ED9698578,FK2324MMBC1AA0183,2023-07-06 08:13:13,2023-07-06 08:15:20,RTT237R02,,10023100
10,Voltage_PP4V2_SYS,3.6,3.8,V,3.686180,0.236165,PASS,FAIL,101072,5245F299-32F0-4EC4-B043-F23ED9698578,FK2324MMBC1AA0183,2023-07-06 08:13:13,2023-07-06 08:15:20,RTT237R02,,10023100
11,Voltage_PP1V8_LDO,1.76,1.85,V,1.802950,0.246367,PASS,FAIL,101072,5245F299-32F0-4EC4-B043-F23ED9698578,FK2324MMBC1AA0183,2023-07-06 08:13:13,2023-07-06 08:15:20,RTT237R02,,10023100
12,Voltage_PP5V0,4.85,5.15,V,4.998000,0.245014,PASS,FAIL,101072,5245F299-32F0-4EC4-B043-F23ED9698578,FK2324MMBC1AA0183,2023-07-06 08:13:13,2023-07-06 08:15:20,RTT237R02,,10023100
13,Voltage_DUT_PP12V0_BOOST,11.493,12.395,V,11.983293,0.245788,PASS,FAIL,101072,5245F299-32F0-4EC4-B043-F23ED9698578,FK2324MMBC1AA0183,2023-07-06 08:13:13,2023-07-06 08:15:20,RTT237R02,,10023100
14,Voltage_DUT_PP12V0,11.3,12.3,V,11.626723,0.244655,PASS,FAIL,101072,5245F299-32F0-4EC4-B043-F23ED9698578,FK2324MMBC1AA0183,2023-07-06 08:13:13,2023-07-06 08:15:20,RTT237R02,,10023100
15,nor_flash,PASS,PASS,,PASS,2.584622,PASS,FAIL,101072,5245F299-32F0-4EC4-B043-F23ED9698578,FK2324MMBC1AA0183,2023-07-06 08:13:13,2023-07-06 08:15:20,RTT237R02,,10023100
16,lock_status,PASS,PASS,,PASS,4.750085,PASS,FAIL,101072,5245F299-32F0-4EC4-B043-F23ED9698578,FK2324MMBC1AA0183,2023-07-06 08:13:13,2023-07-06 08:15:20,RTT237R02,,10023100
17,TEST_Clawlock_Lock,PASS,PASS,,PASS,0.316528,PASS,FAIL,101072,5245F299-32F0-4EC4-B043-F23ED9698578,FK2324MMBC1AA0183,2023-07-06 08:13:13,2023-07-06 08:15:20,RTT237R02,,10023100
18,unlock_status,PASS,PASS,,PASS,4.444834,PASS,FAIL,101072,5245F299-32F0-4EC4-B043-F23ED9698578,FK2324MMBC1AA0183,2023-07-06 08:13:13,2023-07-06 08:15:20,RTT237R02,,10023100
19,TEST_Clawlock_Unlock,PASS,PASS,,PASS,0.320117,PASS,FAIL,101072,5245F299-32F0-4EC4-B043-F23ED9698578,FK2324MMBC1AA0183,2023-07-06 08:13:13,2023-07-06 08:15:20,RTT237R02,,10023100
20,triangle_nfc,PASS,PASS,,PASS,2.847972,PASS,FAIL,101072,5245F299-32F0-4EC4-B043-F23ED9698578,FK2324MMBC1AA0183,2023-07-06 08:13:13,2023-07-06 08:15:20,RTT237R02,,10023100
21,ui_nfc,PASS,PASS,,PASS,2.418823,PASS,FAIL,101072,5245F299-32F0-4EC4-B043-F23ED9698578,FK2324MMBC1AA0183,2023-07-06 08:13:13,2023-07-06 08:15:20,RTT237R02,,10023100
22,speaker,PASS,PASS,,PASS,2.727222,PASS,FAIL,101072,5245F299-32F0-4EC4-B043-F23ED9698578,FK2324MMBC1AA0183,2023-07-06 08:13:13,2023-07-06 08:15:20,RTT237R02,,10023100
23,speaker_timeout,PASS,PASS,,PASS,6.538790,PASS,FAIL,101072,5245F299-32F0-4EC4-B043-F23ED9698578,FK2324MMBC1AA0183,2023-07-06 08:13:13,2023-07-06 08:15:20,RTT237R02,,10023100
24,flip_dot,PASS,PASS,,PASS,0.924514,PASS,FAIL,101072,5245F299-32F0-4EC4-B043-F23ED9698578,FK2324MMBC1AA0183,2023-07-06 08:13:13,2023-07-06 08:15:20,RTT237R02,,10023100
25,flip_dot_timeout,PASS,PASS,,PASS,5.335450,PASS,FAIL,101072,5245F299-32F0-4EC4-B043-F23ED9698578,FK2324MMBC1AA0183,2023-07-06 08:13:13,2023-07-06 08:15:20,RTT237R02,,10023100
26,se,PASS,PASS,,PASS,2.842051,PASS,FAIL,101072,5245F299-32F0-4EC4-B043-F23ED9698578,FK2324MMBC1AA0183,2023-07-06 08:13:13,2023-07-06 08:15:20,RTT237R02,,10023100
27,Can_Data_Send,PASS,PASS,,PASS,2.939057,PASS,FAIL,101072,5245F299-32F0-4EC4-B043-F23ED9698578,FK2324MMBC1AA0183,2023-07-06 08:13:13,2023-07-06 08:15:20,RTT237R02,,10023100
28,Can_Data_Recv,PASS,PASS,,FAIL,15.919534,FAIL,FAIL,101072,5245F299-32F0-4EC4-B043-F23ED9698578,FK2324MMBC1AA0183,2023-07-06 08:13:13,2023-07-06 08:15:20,RTT237R02,,10023100
