record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.010119,PASS,PASS,0,86359DC2-6A29-40EA-A352-4E394E5BFD50,FK2324MMBC1AA0158,2023-07-06 13:26:11,2023-07-06 13:30:19,RTT237R02,,10023100
2,Unlock_MCU_Write_Protect,PASS,PASS,,PASS,0.23,PASS,PASS,0,86359DC2-6A29-40EA-A352-4E394E5BFD50,FK2324MMBC1AA0158,2023-07-06 13:26:11,2023-07-06 13:30:19,RTT237R02,,10023100
3,Flash_STLink,PASS,PASS,,PASS,8.74,PASS,PASS,0,86359DC2-6A29-40EA-A352-4E394E5BFD50,FK2324MMBC1AA0158,2023-07-06 13:26:11,2023-07-06 13:30:19,RTT237R02,,10023100
4,FW_Version,2023.15.105,2023.15.105,,2023.15.105,3.895813,PASS,PASS,0,86359DC2-6A29-40EA-A352-4E394E5BFD50,FK2324MMBC1AA0158,2023-07-06 13:26:11,2023-07-06 13:30:19,RTT237R02,,10023100
5,Hw_Version,Solar,Solar,,Solar,2.674244,PASS,PASS,0,86359DC2-6A29-40EA-A352-4E394E5BFD50,FK2324MMBC1AA0158,2023-07-06 13:26:11,2023-07-06 13:30:19,RTT237R02,,10023100
6,Vbat,PASS,PASS,,PASS,2.840732,PASS,PASS,0,86359DC2-6A29-40EA-A352-4E394E5BFD50,FK2324MMBC1AA0158,2023-07-06 13:26:11,2023-07-06 13:30:19,RTT237R02,,10023100
7,lte_modem_status,PASS,PASS,,PASS,4.356183,PASS,PASS,0,86359DC2-6A29-40EA-A352-4E394E5BFD50,FK2324MMBC1AA0158,2023-07-06 13:26:11,2023-07-06 13:30:19,RTT237R02,,10023100
8,temp_by_mcu_sensor_Vbatt,10,40,C,28.000,2.764416,PASS,PASS,0,86359DC2-6A29-40EA-A352-4E394E5BFD50,FK2324MMBC1AA0158,2023-07-06 13:26:11,2023-07-06 13:30:19,RTT237R02,,10023100
9,Power_Rail_Enable,PASS,PASS,,PASS,2.582107,PASS,PASS,0,86359DC2-6A29-40EA-A352-4E394E5BFD50,FK2324MMBC1AA0158,2023-07-06 13:26:11,2023-07-06 13:30:19,RTT237R02,,10023100
10,Voltage_PP4V2_SYS,3.6,3.8,V,3.684830,0.245869,PASS,PASS,0,86359DC2-6A29-40EA-A352-4E394E5BFD50,FK2324MMBC1AA0158,2023-07-06 13:26:11,2023-07-06 13:30:19,RTT237R02,,10023100
11,Voltage_PP1V8_LDO,1.76,1.85,V,1.796860,0.246711,PASS,PASS,0,86359DC2-6A29-40EA-A352-4E394E5BFD50,FK2324MMBC1AA0158,2023-07-06 13:26:11,2023-07-06 13:30:19,RTT237R02,,10023100
12,Voltage_PP5V0,4.85,5.15,V,5.006650,0.245871,PASS,PASS,0,86359DC2-6A29-40EA-A352-4E394E5BFD50,FK2324MMBC1AA0158,2023-07-06 13:26:11,2023-07-06 13:30:19,RTT237R02,,10023100
13,Voltage_DUT_PP12V0_BOOST,11.493,12.395,V,11.967968,0.236031,PASS,PASS,0,86359DC2-6A29-40EA-A352-4E394E5BFD50,FK2324MMBC1AA0158,2023-07-06 13:26:11,2023-07-06 13:30:19,RTT237R02,,10023100
14,Voltage_DUT_PP12V0,11.3,12.3,V,11.622967,0.244760,PASS,PASS,0,86359DC2-6A29-40EA-A352-4E394E5BFD50,FK2324MMBC1AA0158,2023-07-06 13:26:11,2023-07-06 13:30:19,RTT237R02,,10023100
15,nor_flash,PASS,PASS,,PASS,2.632192,PASS,PASS,0,86359DC2-6A29-40EA-A352-4E394E5BFD50,FK2324MMBC1AA0158,2023-07-06 13:26:11,2023-07-06 13:30:19,RTT237R02,,10023100
16,lock_status,PASS,PASS,,PASS,4.748303,PASS,PASS,0,86359DC2-6A29-40EA-A352-4E394E5BFD50,FK2324MMBC1AA0158,2023-07-06 13:26:11,2023-07-06 13:30:19,RTT237R02,,10023100
17,TEST_Clawlock_Lock,PASS,PASS,,PASS,0.324987,PASS,PASS,0,86359DC2-6A29-40EA-A352-4E394E5BFD50,FK2324MMBC1AA0158,2023-07-06 13:26:11,2023-07-06 13:30:19,RTT237R02,,10023100
18,unlock_status,PASS,PASS,,PASS,4.702767,PASS,PASS,0,86359DC2-6A29-40EA-A352-4E394E5BFD50,FK2324MMBC1AA0158,2023-07-06 13:26:11,2023-07-06 13:30:19,RTT237R02,,10023100
19,TEST_Clawlock_Unlock,PASS,PASS,,PASS,0.320109,PASS,PASS,0,86359DC2-6A29-40EA-A352-4E394E5BFD50,FK2324MMBC1AA0158,2023-07-06 13:26:11,2023-07-06 13:30:19,RTT237R02,,10023100
20,triangle_nfc,PASS,PASS,,PASS,2.545888,PASS,PASS,0,86359DC2-6A29-40EA-A352-4E394E5BFD50,FK2324MMBC1AA0158,2023-07-06 13:26:11,2023-07-06 13:30:19,RTT237R02,,10023100
21,ui_nfc,PASS,PASS,,PASS,2.412050,PASS,PASS,0,86359DC2-6A29-40EA-A352-4E394E5BFD50,FK2324MMBC1AA0158,2023-07-06 13:26:11,2023-07-06 13:30:19,RTT237R02,,10023100
22,speaker,PASS,PASS,,PASS,2.729064,PASS,PASS,0,86359DC2-6A29-40EA-A352-4E394E5BFD50,FK2324MMBC1AA0158,2023-07-06 13:26:11,2023-07-06 13:30:19,RTT237R02,,10023100
23,speaker_timeout,PASS,PASS,,PASS,6.545360,PASS,PASS,0,86359DC2-6A29-40EA-A352-4E394E5BFD50,FK2324MMBC1AA0158,2023-07-06 13:26:11,2023-07-06 13:30:19,RTT237R02,,10023100
24,flip_dot,PASS,PASS,,PASS,2.083972,PASS,PASS,0,86359DC2-6A29-40EA-A352-4E394E5BFD50,FK2324MMBC1AA0158,2023-07-06 13:26:11,2023-07-06 13:30:19,RTT237R02,,10023100
25,flip_dot_timeout,PASS,PASS,,PASS,4.189826,PASS,PASS,0,86359DC2-6A29-40EA-A352-4E394E5BFD50,FK2324MMBC1AA0158,2023-07-06 13:26:11,2023-07-06 13:30:19,RTT237R02,,10023100
26,se,PASS,PASS,,PASS,2.843061,PASS,PASS,0,86359DC2-6A29-40EA-A352-4E394E5BFD50,FK2324MMBC1AA0158,2023-07-06 13:26:11,2023-07-06 13:30:19,RTT237R02,,10023100
27,Can_Data_Send,PASS,PASS,,PASS,2.940526,PASS,PASS,0,86359DC2-6A29-40EA-A352-4E394E5BFD50,FK2324MMBC1AA0158,2023-07-06 13:26:11,2023-07-06 13:30:19,RTT237R02,,10023100
28,Can_Data_Recv,PASS,PASS,,PASS,3.231305,PASS,PASS,0,86359DC2-6A29-40EA-A352-4E394E5BFD50,FK2324MMBC1AA0158,2023-07-06 13:26:11,2023-07-06 13:30:19,RTT237R02,,10023100
29,Charge_Can_Data_Send,PASS,PASS,,PASS,3.438156,PASS,PASS,0,86359DC2-6A29-40EA-A352-4E394E5BFD50,FK2324MMBC1AA0158,2023-07-06 13:26:11,2023-07-06 13:30:19,RTT237R02,,10023100
30,Charge_Can_Data_Recv,PASS,PASS,,PASS,3.528136,PASS,PASS,0,86359DC2-6A29-40EA-A352-4E394E5BFD50,FK2324MMBC1AA0158,2023-07-06 13:26:11,2023-07-06 13:30:19,RTT237R02,,10023100
31,TST_SM_BUS,PASS,PASS,,PASS,5.754289,PASS,PASS,0,86359DC2-6A29-40EA-A352-4E394E5BFD50,FK2324MMBC1AA0158,2023-07-06 13:26:11,2023-07-06 13:30:19,RTT237R02,,10023100
32,Voltage_CC_CV_EN_5V,4.85,5.15,V,5.001090,1.246546,PASS,PASS,0,86359DC2-6A29-40EA-A352-4E394E5BFD50,FK2324MMBC1AA0158,2023-07-06 13:26:11,2023-07-06 13:30:19,RTT237R02,,10023100
33,rp_charge,PASS,PASS,,PASS,3.67,PASS,PASS,0,86359DC2-6A29-40EA-A352-4E394E5BFD50,FK2324MMBC1AA0158,2023-07-06 13:26:11,2023-07-06 13:30:19,RTT237R02,,10023100
34,temp_by_mcu_sensor_Vbatt_and_RP12V,10,40,C,28.000,8.076756,PASS,PASS,0,86359DC2-6A29-40EA-A352-4E394E5BFD50,FK2324MMBC1AA0158,2023-07-06 13:26:11,2023-07-06 13:30:19,RTT237R02,,10023100
35,TEST_DC75V_Sense,PASS,PASS,,PASS,0,PASS,PASS,0,86359DC2-6A29-40EA-A352-4E394E5BFD50,FK2324MMBC1AA0158,2023-07-06 13:26:11,2023-07-06 13:30:19,RTT237R02,,10023100
36,TEST_Charge_NTC,PASS,PASS,,PASS,0,PASS,PASS,0,86359DC2-6A29-40EA-A352-4E394E5BFD50,FK2324MMBC1AA0158,2023-07-06 13:26:11,2023-07-06 13:30:19,RTT237R02,,10023100
37,Voltage_PP12V0_CHG,11.8,12.5,V,12.237399,0.252256,PASS,PASS,0,86359DC2-6A29-40EA-A352-4E394E5BFD50,FK2324MMBC1AA0158,2023-07-06 13:26:11,2023-07-06 13:30:19,RTT237R02,,10023100
38,contact_input_charge,PASS,PASS,,PASS,3.58,PASS,PASS,0,86359DC2-6A29-40EA-A352-4E394E5BFD50,FK2324MMBC1AA0158,2023-07-06 13:26:11,2023-07-06 13:30:19,RTT237R02,,10023100
39,Voltage_HOOK_OFF_CHGEN_OFF,0,2,V,0.041310,0.235059,PASS,PASS,0,86359DC2-6A29-40EA-A352-4E394E5BFD50,FK2324MMBC1AA0158,2023-07-06 13:26:11,2023-07-06 13:30:19,RTT237R02,,10023100
