record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.003008,PASS,FAIL,101051,A6AFC012-D95D-4AB0-A2BB-FFC6A8EAA49C,FK2324MMBC1AA0068,2023-07-12 11:44:32,2023-07-12 14:17:47,20230712,monolith_main_bft,10023100
2,Unlock_MCU_Write_Protect,PASS,PASS,,PASS,0.24,PASS,FAIL,101051,A6AFC012-D95D-4AB0-A2BB-FFC6A8EAA49C,FK2324MMBC1AA0068,2023-07-12 11:44:32,2023-07-12 14:17:47,20230712,monolith_main_bft,10023100
3,Flash_STLink,PASS,PASS,,PASS,8.76,PASS,FAIL,101051,A6AFC012-D95D-4AB0-A2BB-FFC6A8EAA49C,FK2324MMBC1AA0068,2023-07-12 11:44:32,2023-07-12 14:17:47,20230712,monolith_main_bft,10023100
4,FW_Version,2023.15.105,2023.15.105,,2023.15.105,4.955030,PASS,FAIL,101051,A6AFC012-D95D-4AB0-A2BB-FFC6A8EAA49C,FK2324MMBC1AA0068,2023-07-12 11:44:32,2023-07-12 14:17:47,20230712,monolith_main_bft,10023100
5,Hw_Version,Solar,Solar,,Solar,2.693797,PASS,FAIL,101051,A6AFC012-D95D-4AB0-A2BB-FFC6A8EAA49C,FK2324MMBC1AA0068,2023-07-12 11:44:32,2023-07-12 14:17:47,20230712,monolith_main_bft,10023100
6,Vbat,PASS,PASS,,PASS,2.886562,PASS,FAIL,101051,A6AFC012-D95D-4AB0-A2BB-FFC6A8EAA49C,FK2324MMBC1AA0068,2023-07-12 11:44:32,2023-07-12 14:17:47,20230712,monolith_main_bft,10023100
7,lte_modem_status,PASS,PASS,,PASS,4.308285,PASS,FAIL,101051,A6AFC012-D95D-4AB0-A2BB-FFC6A8EAA49C,FK2324MMBC1AA0068,2023-07-12 11:44:32,2023-07-12 14:17:47,20230712,monolith_main_bft,10023100
8,temp_by_mcu_sensor_Vbatt,10,40,C,29.000,2.515395,PASS,FAIL,101051,A6AFC012-D95D-4AB0-A2BB-FFC6A8EAA49C,FK2324MMBC1AA0068,2023-07-12 11:44:32,2023-07-12 14:17:47,20230712,monolith_main_bft,10023100
9,Power_Rail_Enable,PASS,PASS,,PASS,2.589605,PASS,FAIL,101051,A6AFC012-D95D-4AB0-A2BB-FFC6A8EAA49C,FK2324MMBC1AA0068,2023-07-12 11:44:32,2023-07-12 14:17:47,20230712,monolith_main_bft,10023100
10,Voltage_PP4V2_SYS,3.6,3.8,V,3.683570,0.249390,PASS,FAIL,101051,A6AFC012-D95D-4AB0-A2BB-FFC6A8EAA49C,FK2324MMBC1AA0068,2023-07-12 11:44:32,2023-07-12 14:17:47,20230712,monolith_main_bft,10023100
11,Voltage_PP1V8_LDO,1.76,1.85,V,1.798030,0.249497,PASS,FAIL,101051,A6AFC012-D95D-4AB0-A2BB-FFC6A8EAA49C,FK2324MMBC1AA0068,2023-07-12 11:44:32,2023-07-12 14:17:47,20230712,monolith_main_bft,10023100
12,Voltage_PP5V0,4.85,5.15,V,5.013060,0.246072,PASS,FAIL,101051,A6AFC012-D95D-4AB0-A2BB-FFC6A8EAA49C,FK2324MMBC1AA0068,2023-07-12 11:44:32,2023-07-12 14:17:47,20230712,monolith_main_bft,10023100
13,Voltage_DUT_PP12V0_BOOST,11.493,12.395,V,11.961107,0.245754,PASS,FAIL,101051,A6AFC012-D95D-4AB0-A2BB-FFC6A8EAA49C,FK2324MMBC1AA0068,2023-07-12 11:44:32,2023-07-12 14:17:47,20230712,monolith_main_bft,10023100
14,Voltage_DUT_PP12V0,11.3,12.3,V,11.612651,0.244912,PASS,FAIL,101051,A6AFC012-D95D-4AB0-A2BB-FFC6A8EAA49C,FK2324MMBC1AA0068,2023-07-12 11:44:32,2023-07-12 14:17:47,20230712,monolith_main_bft,10023100
15,nor_flash,PASS,PASS,,PASS,2.721323,PASS,FAIL,101051,A6AFC012-D95D-4AB0-A2BB-FFC6A8EAA49C,FK2324MMBC1AA0068,2023-07-12 11:44:32,2023-07-12 14:17:47,20230712,monolith_main_bft,10023100
16,lock_status,PASS,PASS,,PASS,4.747249,PASS,FAIL,101051,A6AFC012-D95D-4AB0-A2BB-FFC6A8EAA49C,FK2324MMBC1AA0068,2023-07-12 11:44:32,2023-07-12 14:17:47,20230712,monolith_main_bft,10023100
17,TEST_Clawlock_Lock,PASS,PASS,,PASS,0.330944,PASS,FAIL,101051,A6AFC012-D95D-4AB0-A2BB-FFC6A8EAA49C,FK2324MMBC1AA0068,2023-07-12 11:44:32,2023-07-12 14:17:47,20230712,monolith_main_bft,10023100
18,unlock_status,PASS,PASS,,PASS,4.501909,PASS,FAIL,101051,A6AFC012-D95D-4AB0-A2BB-FFC6A8EAA49C,FK2324MMBC1AA0068,2023-07-12 11:44:32,2023-07-12 14:17:47,20230712,monolith_main_bft,10023100
19,TEST_Clawlock_Unlock,PASS,PASS,,PASS,0.327620,PASS,FAIL,101051,A6AFC012-D95D-4AB0-A2BB-FFC6A8EAA49C,FK2324MMBC1AA0068,2023-07-12 11:44:32,2023-07-12 14:17:47,20230712,monolith_main_bft,10023100
20,triangle_nfc,PASS,PASS,,PASS,2.541932,PASS,FAIL,101051,A6AFC012-D95D-4AB0-A2BB-FFC6A8EAA49C,FK2324MMBC1AA0068,2023-07-12 11:44:32,2023-07-12 14:17:47,20230712,monolith_main_bft,10023100
21,ui_nfc,PASS,PASS,,PASS,2.406068,PASS,FAIL,101051,A6AFC012-D95D-4AB0-A2BB-FFC6A8EAA49C,FK2324MMBC1AA0068,2023-07-12 11:44:32,2023-07-12 14:17:47,20230712,monolith_main_bft,10023100
22,speaker,PASS,PASS,,FAIL,10.151740,FAIL,FAIL,101051,A6AFC012-D95D-4AB0-A2BB-FFC6A8EAA49C,FK2324MMBC1AA0068,2023-07-12 11:44:32,2023-07-12 14:17:47,20230712,monolith_main_bft,10023100
