record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,Human_Check_Solar_L_ON,PASS,PASS,,PASS,2.611491,PASS,PASS,0,E6C4733A-EC3D-4CB3-9F95-1C2A2CBD9C76,FK2408MFAT4AC0195,2024-02-19 11:20:19,2024-02-19 11:24:29,1111,monolith_bollard_ft,10023020
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.385199,PASS,PASS,0,E6C4733A-EC3D-4CB3-9F95-1C2A2CBD9C76,FK2408MFAT4AC0195,2024-02-19 11:20:19,2024-02-19 11:24:29,1111,monolith_bollard_ft,10023020
3,opmode_get_state,PASS,PASS,,PASS,1.256274,PASS,PASS,0,E6C4733A-EC3D-4CB3-9F95-1C2A2CBD9C76,FK2408MFAT4AC0195,2024-02-19 11:20:19,2024-02-19 11:24:29,1111,monolith_bollard_ft,10023020
4,Recovery_port_check,PASS,PASS,,PASS,1.272247,PASS,PASS,0,E6C4733A-EC3D-4CB3-9F95-1C2A2CBD9C76,FK2408MFAT4AC0195,2024-02-19 11:20:19,2024-02-19 11:24:29,1111,monolith_bollard_ft,10023020
5,FW_Version,2023.34.102,2023.34.102,,2023.34.102,1.053381,PASS,PASS,0,E6C4733A-EC3D-4CB3-9F95-1C2A2CBD9C76,FK2408MFAT4AC0195,2024-02-19 11:20:19,2024-02-19 11:24:29,1111,monolith_bollard_ft,10023020
6,NonCharging_SKU_Hw_Version1,Solar,Solar,,Solar,1.145330,PASS,PASS,0,E6C4733A-EC3D-4CB3-9F95-1C2A2CBD9C76,FK2408MFAT4AC0195,2024-02-19 11:20:19,2024-02-19 11:24:29,1111,monolith_bollard_ft,10023020
7,TST_Solar_L,PASS,PASS,,PASS,1.304249,PASS,PASS,0,E6C4733A-EC3D-4CB3-9F95-1C2A2CBD9C76,FK2408MFAT4AC0195,2024-02-19 11:20:19,2024-02-19 11:24:29,1111,monolith_bollard_ft,10023020
8,TEST_Solar_L_Voltage,5,8,V,6.394,0.000000,PASS,PASS,0,E6C4733A-EC3D-4CB3-9F95-1C2A2CBD9C76,FK2408MFAT4AC0195,2024-02-19 11:20:19,2024-02-19 11:24:29,1111,monolith_bollard_ft,10023020
9,TEST_Solar_L_Current,13000,70000,uA,45848.000,0.000000,PASS,PASS,0,E6C4733A-EC3D-4CB3-9F95-1C2A2CBD9C76,FK2408MFAT4AC0195,2024-02-19 11:20:19,2024-02-19 11:24:29,1111,monolith_bollard_ft,10023020
10,Human_Check_Solar_L_OFF,PASS,PASS,,PASS,4.259545,PASS,PASS,0,E6C4733A-EC3D-4CB3-9F95-1C2A2CBD9C76,FK2408MFAT4AC0195,2024-02-19 11:20:19,2024-02-19 11:24:29,1111,monolith_bollard_ft,10023020
11,Human_Check_Solar_R_ON,PASS,PASS,,PASS,1.824945,PASS,PASS,0,E6C4733A-EC3D-4CB3-9F95-1C2A2CBD9C76,FK2408MFAT4AC0195,2024-02-19 11:20:19,2024-02-19 11:24:29,1111,monolith_bollard_ft,10023020
12,TST_Solar_R,PASS,PASS,,PASS,1.297238,PASS,PASS,0,E6C4733A-EC3D-4CB3-9F95-1C2A2CBD9C76,FK2408MFAT4AC0195,2024-02-19 11:20:19,2024-02-19 11:24:29,1111,monolith_bollard_ft,10023020
13,TEST_Solar_R_Voltage,5,8,V,5.005,0.000000,PASS,PASS,0,E6C4733A-EC3D-4CB3-9F95-1C2A2CBD9C76,FK2408MFAT4AC0195,2024-02-19 11:20:19,2024-02-19 11:24:29,1111,monolith_bollard_ft,10023020
