record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,I2C2Temp,20,35,C,26.9,0.9,PASS,PASS,0,5999837E-6FE0-441E-B3F7-08E10F5B48AA,12345678901234567,2024-04-30 11:56:37,2024-04-30 11:57:09,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
2,I2C2Tempoff,-3,3,C,PASS,0,PASS,PASS,0,5999837E-6FE0-441E-B3F7-08E10F5B48AA,12345678901234567,2024-04-30 11:56:37,2024-04-30 11:57:09,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
3,I2C2Humidity,10,90,%,44,0,PASS,PASS,0,5999837E-6FE0-441E-B3F7-08E10F5B48AA,12345678901234567,2024-04-30 11:56:37,2024-04-30 11:57:09,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
4,WEKE_DET_ADC,2400,2700,mV,2585,0.2,PASS,PASS,0,5999837E-6FE0-441E-B3F7-08E10F5B48AA,12345678901234567,2024-04-30 11:56:37,2024-04-30 11:57:09,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
5,NTC9Temp,20,35,C,25,0.5,PASS,PASS,0,5999837E-6FE0-441E-B3F7-08E10F5B48AA,12345678901234567,2024-04-30 11:56:37,2024-04-30 11:57:09,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
6,NTC9Tempoff,-3,3,C,0.629999999999999,0,PASS,PASS,0,5999837E-6FE0-441E-B3F7-08E10F5B48AA,12345678901234567,2024-04-30 11:56:37,2024-04-30 11:57:09,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
7,NTC9_LOW,0,30,mV,0,0.4,PASS,PASS,0,5999837E-6FE0-441E-B3F7-08E10F5B48AA,12345678901234567,2024-04-30 11:56:37,2024-04-30 11:57:09,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
8,NTC8_LOW,0,30,mV,0,0.4,PASS,PASS,0,5999837E-6FE0-441E-B3F7-08E10F5B48AA,12345678901234567,2024-04-30 11:56:37,2024-04-30 11:57:09,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
9,NTC7Temp,20,35,C,25,0.5,PASS,PASS,0,5999837E-6FE0-441E-B3F7-08E10F5B48AA,12345678901234567,2024-04-30 11:56:37,2024-04-30 11:57:09,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
10,NTC7Tempoff,-3,3,C,0.640000000000001,0,PASS,PASS,0,5999837E-6FE0-441E-B3F7-08E10F5B48AA,12345678901234567,2024-04-30 11:56:37,2024-04-30 11:57:09,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
