record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,Human_Check_Solar_L_ON,PASS,PASS,,PASS,6.041534,PASS,PASS,0,0432F018-9F27-41EF-8D30-C017A17D12FF,FK2338MFAT3AA0059,2023-12-05 14:13:20,2023-12-05 14:17:04,te,monolith_bollard_ft,10023020
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.284267,PASS,PASS,0,0432F018-9F27-41EF-8D30-C017A17D12FF,FK2338MFAT3AA0059,2023-12-05 14:13:20,2023-12-05 14:17:04,te,monolith_bollard_ft,10023020
3,opmode_get_state,PASS,PASS,,PASS,1.154328,PASS,PASS,0,0432F018-9F27-41EF-8D30-C017A17D12FF,FK2338MFAT3AA0059,2023-12-05 14:13:20,2023-12-05 14:17:04,te,monolith_bollard_ft,10023020
4,Recovery_port_check,PASS,PASS,,PASS,1.161318,PASS,PASS,0,0432F018-9F27-41EF-8D30-C017A17D12FF,FK2338MFAT3AA0059,2023-12-05 14:13:20,2023-12-05 14:17:04,te,monolith_bollard_ft,10023020
5,FW_Version,2023.34.104,2023.34.104,,2023.34.104,0.956452,PASS,PASS,0,0432F018-9F27-41EF-8D30-C017A17D12FF,FK2338MFAT3AA0059,2023-12-05 14:13:20,2023-12-05 14:17:04,te,monolith_bollard_ft,10023020
6,NonCharging_SKU_Hw_Version1,Solar,Solar,,Solar,1.009422,PASS,PASS,0,0432F018-9F27-41EF-8D30-C017A17D12FF,FK2338MFAT3AA0059,2023-12-05 14:13:20,2023-12-05 14:17:04,te,monolith_bollard_ft,10023020
7,TST_Solar_L,PASS,PASS,,PASS,1.192322,PASS,PASS,0,0432F018-9F27-41EF-8D30-C017A17D12FF,FK2338MFAT3AA0059,2023-12-05 14:13:20,2023-12-05 14:17:04,te,monolith_bollard_ft,10023020
8,TEST_Solar_L_Voltage,5,8,V,6.665,0.000000,PASS,PASS,0,0432F018-9F27-41EF-8D30-C017A17D12FF,FK2338MFAT3AA0059,2023-12-05 14:13:20,2023-12-05 14:17:04,te,monolith_bollard_ft,10023020
9,TEST_Solar_L_Current,13000,70000,uA,36828.000,0.000000,PASS,PASS,0,0432F018-9F27-41EF-8D30-C017A17D12FF,FK2338MFAT3AA0059,2023-12-05 14:13:20,2023-12-05 14:17:04,te,monolith_bollard_ft,10023020
10,Human_Check_Solar_L_OFF,PASS,PASS,,PASS,10.661621,PASS,PASS,0,0432F018-9F27-41EF-8D30-C017A17D12FF,FK2338MFAT3AA0059,2023-12-05 14:13:20,2023-12-05 14:17:04,te,monolith_bollard_ft,10023020
11,Human_Check_Solar_R_ON,PASS,PASS,,PASS,4.726305,PASS,PASS,0,0432F018-9F27-41EF-8D30-C017A17D12FF,FK2338MFAT3AA0059,2023-12-05 14:13:20,2023-12-05 14:17:04,te,monolith_bollard_ft,10023020
12,TST_Solar_R,PASS,PASS,,PASS,1.316269,PASS,PASS,0,0432F018-9F27-41EF-8D30-C017A17D12FF,FK2338MFAT3AA0059,2023-12-05 14:13:20,2023-12-05 14:17:04,te,monolith_bollard_ft,10023020
13,TEST_Solar_R_Voltage,5,8,V,6.607,0.000000,PASS,PASS,0,0432F018-9F27-41EF-8D30-C017A17D12FF,FK2338MFAT3AA0059,2023-12-05 14:13:20,2023-12-05 14:17:04,te,monolith_bollard_ft,10023020
14,TEST_Solar_R_Current,13000,70000,uA,36894.000,0.000000,PASS,PASS,0,0432F018-9F27-41EF-8D30-C017A17D12FF,FK2338MFAT3AA0059,2023-12-05 14:13:20,2023-12-05 14:17:04,te,monolith_bollard_ft,10023020
15,Human_Check_Solar_R_OFF,PASS,PASS,,PASS,5.492250,PASS,PASS,0,0432F018-9F27-41EF-8D30-C017A17D12FF,FK2338MFAT3AA0059,2023-12-05 14:13:20,2023-12-05 14:17:04,te,monolith_bollard_ft,10023020
16,BQ_charger_ON,PASS,PASS,,PASS,1.200306,PASS,PASS,0,0432F018-9F27-41EF-8D30-C017A17D12FF,FK2338MFAT3AA0059,2023-12-05 14:13:20,2023-12-05 14:17:04,te,monolith_bollard_ft,10023020
17,TST_Battery2,PASS,PASS,,PASS,1.182324,PASS,PASS,0,0432F018-9F27-41EF-8D30-C017A17D12FF,FK2338MFAT3AA0059,2023-12-05 14:13:20,2023-12-05 14:17:04,te,monolith_bollard_ft,10023020
