record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.015997,PASS,PASS,0,5CA745D6-F4E9-4641-8BFE-152020C7035B,FK2336MCAM3AA0001,2023-09-06 08:50:09,2023-09-06 08:52:14,STQ239YM4101,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.267222,PASS,PASS,0,5CA745D6-F4E9-4641-8BFE-152020C7035B,FK2336MCAM3AA0001,2023-09-06 08:50:09,2023-09-06 08:52:14,STQ239YM4101,monolith_cassette_ft,10023023
3,opmode_get_state,PASS,PASS,,PASS,1.134344,PASS,PASS,0,5CA745D6-F4E9-4641-8BFE-152020C7035B,FK2336MCAM3AA0001,2023-09-06 08:50:09,2023-09-06 08:52:14,STQ239YM4101,monolith_cassette_ft,10023023
4,FW_Version,2023.34.102,2023.34.102,,2023.34.102,0.935471,PASS,PASS,0,5CA745D6-F4E9-4641-8BFE-152020C7035B,FK2336MCAM3AA0001,2023-09-06 08:50:09,2023-09-06 08:52:14,STQ239YM4101,monolith_cassette_ft,10023023
5,HW_Version,Solar,Solar,,Solar,0.982419,PASS,PASS,0,5CA745D6-F4E9-4641-8BFE-152020C7035B,FK2336MCAM3AA0001,2023-09-06 08:50:09,2023-09-06 08:52:14,STQ239YM4101,monolith_cassette_ft,10023023
6,BQ_charger_ON,PASS,PASS,,PASS,1.130352,PASS,PASS,0,5CA745D6-F4E9-4641-8BFE-152020C7035B,FK2336MCAM3AA0001,2023-09-06 08:50:09,2023-09-06 08:52:14,STQ239YM4101,monolith_cassette_ft,10023023
7,TST_Battery2_V,3.7,4.3,V,4.201,0.000000,PASS,PASS,0,5CA745D6-F4E9-4641-8BFE-152020C7035B,FK2336MCAM3AA0001,2023-09-06 08:50:09,2023-09-06 08:52:14,STQ239YM4101,monolith_cassette_ft,10023023
8,TST_Battery2_C,-10000,200000,uA,091380.0,0.000000,PASS,PASS,0,5CA745D6-F4E9-4641-8BFE-152020C7035B,FK2336MCAM3AA0001,2023-09-06 08:50:09,2023-09-06 08:52:14,STQ239YM4101,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,40,C,27.000,1.163373,PASS,PASS,0,5CA745D6-F4E9-4641-8BFE-152020C7035B,FK2336MCAM3AA0001,2023-09-06 08:50:09,2023-09-06 08:52:14,STQ239YM4101,monolith_cassette_ft,10023023
10,Speaker_Measurement,80,100,dB,94.300000,0.694137,PASS,PASS,0,5CA745D6-F4E9-4641-8BFE-152020C7035B,FK2336MCAM3AA0001,2023-09-06 08:50:09,2023-09-06 08:52:14,STQ239YM4101,monolith_cassette_ft,10023023
11,modem_disable_status,PASS,PASS,,PASS,2.999528,PASS,PASS,0,5CA745D6-F4E9-4641-8BFE-152020C7035B,FK2336MCAM3AA0001,2023-09-06 08:50:09,2023-09-06 08:52:14,STQ239YM4101,monolith_cassette_ft,10023023
12,factory_mode_on,PASS,PASS,,PASS,11.399172,PASS,PASS,0,5CA745D6-F4E9-4641-8BFE-152020C7035B,FK2336MCAM3AA0001,2023-09-06 08:50:09,2023-09-06 08:52:14,STQ239YM4101,monolith_cassette_ft,10023023
13,LTE_19199_Power,-32,-6,dBm,-15.985136,3.069282,PASS,PASS,0,5CA745D6-F4E9-4641-8BFE-152020C7035B,FK2336MCAM3AA0001,2023-09-06 08:50:09,2023-09-06 08:52:14,STQ239YM4101,monolith_cassette_ft,10023023
14,LTE_19199_Frequency,1.9095,1.9105,GHz,1.910000,0.000000,PASS,PASS,0,5CA745D6-F4E9-4641-8BFE-152020C7035B,FK2336MCAM3AA0001,2023-09-06 08:50:09,2023-09-06 08:52:14,STQ239YM4101,monolith_cassette_ft,10023023
15,LTE_23010_Power,-28,-8,dBm,-25.138145,3.027769,PASS,PASS,0,5CA745D6-F4E9-4641-8BFE-152020C7035B,FK2336MCAM3AA0001,2023-09-06 08:50:09,2023-09-06 08:52:14,STQ239YM4101,monolith_cassette_ft,10023023
16,LTE_23010_Frequency,0.6985,0.6995,GHz,0.699100,0.000968,PASS,PASS,0,5CA745D6-F4E9-4641-8BFE-152020C7035B,FK2336MCAM3AA0001,2023-09-06 08:50:09,2023-09-06 08:52:14,STQ239YM4101,monolith_cassette_ft,10023023
17,factory_mode_off,PASS,PASS,,PASS,2.999653,PASS,PASS,0,5CA745D6-F4E9-4641-8BFE-152020C7035B,FK2336MCAM3AA0001,2023-09-06 08:50:09,2023-09-06 08:52:14,STQ239YM4101,monolith_cassette_ft,10023023
18,modem_enable_status,PASS,PASS,,PASS,0.932475,PASS,PASS,0,5CA745D6-F4E9-4641-8BFE-152020C7035B,FK2336MCAM3AA0001,2023-09-06 08:50:09,2023-09-06 08:52:14,STQ239YM4101,monolith_cassette_ft,10023023
19,NFC_IN_Status,PASS,PASS,,PASS,0.101992,PASS,PASS,0,5CA745D6-F4E9-4641-8BFE-152020C7035B,FK2336MCAM3AA0001,2023-09-06 08:50:09,2023-09-06 08:52:14,STQ239YM4101,monolith_cassette_ft,10023023
20,Triangle_NFC_Run_Test,PASS,PASS,,PASS,1.141334,PASS,PASS,0,5CA745D6-F4E9-4641-8BFE-152020C7035B,FK2336MCAM3AA0001,2023-09-06 08:50:09,2023-09-06 08:52:14,STQ239YM4101,monolith_cassette_ft,10023023
