record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.014994,PASS,PASS,0,BBA9AF28-3C49-43A9-AEE6-A71F8FD7B8CE,FK2336MCAM3AA000A,2023-09-06 09:02:42,2023-09-06 09:04:42,STQ239YM4101,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.800970,PASS,PASS,0,BBA9AF28-3C49-43A9-AEE6-A71F8FD7B8CE,FK2336MCAM3AA000A,2023-09-06 09:02:42,2023-09-06 09:04:42,STQ239YM4101,monolith_cassette_ft,10023023
3,opmode_get_state,PASS,PASS,,PASS,1.653054,PASS,PASS,0,BBA9AF28-3C49-43A9-AEE6-A71F8FD7B8CE,FK2336MCAM3AA000A,2023-09-06 09:02:42,2023-09-06 09:04:42,STQ239YM4101,monolith_cassette_ft,10023023
4,FW_Version,2023.34.102,2023.34.102,,2023.34.102,1.908906,PASS,PASS,0,BBA9AF28-3C49-43A9-AEE6-A71F8FD7B8CE,FK2336MCAM3AA000A,2023-09-06 09:02:42,2023-09-06 09:04:42,STQ239YM4101,monolith_cassette_ft,10023023
5,HW_Version,Solar,Solar,,Solar,1.751997,PASS,PASS,0,BBA9AF28-3C49-43A9-AEE6-A71F8FD7B8CE,FK2336MCAM3AA000A,2023-09-06 09:02:42,2023-09-06 09:04:42,STQ239YM4101,monolith_cassette_ft,10023023
6,BQ_charger_ON,PASS,PASS,,PASS,1.597086,PASS,PASS,0,BBA9AF28-3C49-43A9-AEE6-A71F8FD7B8CE,FK2336MCAM3AA000A,2023-09-06 09:02:42,2023-09-06 09:04:42,STQ239YM4101,monolith_cassette_ft,10023023
7,TST_Battery2_V,3.7,4.3,V,4.019,0.000000,PASS,PASS,0,BBA9AF28-3C49-43A9-AEE6-A71F8FD7B8CE,FK2336MCAM3AA000A,2023-09-06 09:02:42,2023-09-06 09:04:42,STQ239YM4101,monolith_cassette_ft,10023023
8,TST_Battery2_C,-10000,200000,uA,091966.0,0.000000,PASS,PASS,0,BBA9AF28-3C49-43A9-AEE6-A71F8FD7B8CE,FK2336MCAM3AA000A,2023-09-06 09:02:42,2023-09-06 09:04:42,STQ239YM4101,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,40,C,27.000,1.212294,PASS,PASS,0,BBA9AF28-3C49-43A9-AEE6-A71F8FD7B8CE,FK2336MCAM3AA000A,2023-09-06 09:02:42,2023-09-06 09:04:42,STQ239YM4101,monolith_cassette_ft,10023023
10,Speaker_Measurement,80,100,dB,94.100000,0.693618,PASS,PASS,0,BBA9AF28-3C49-43A9-AEE6-A71F8FD7B8CE,FK2336MCAM3AA000A,2023-09-06 09:02:42,2023-09-06 09:04:42,STQ239YM4101,monolith_cassette_ft,10023023
11,modem_disable_status,PASS,PASS,,PASS,3.000265,PASS,PASS,0,BBA9AF28-3C49-43A9-AEE6-A71F8FD7B8CE,FK2336MCAM3AA000A,2023-09-06 09:02:42,2023-09-06 09:04:42,STQ239YM4101,monolith_cassette_ft,10023023
12,factory_mode_on,PASS,PASS,,PASS,3.000296,PASS,PASS,0,BBA9AF28-3C49-43A9-AEE6-A71F8FD7B8CE,FK2336MCAM3AA000A,2023-09-06 09:02:42,2023-09-06 09:04:42,STQ239YM4101,monolith_cassette_ft,10023023
13,LTE_19199_Power,-32,-6,dBm,-16.283848,3.061244,PASS,PASS,0,BBA9AF28-3C49-43A9-AEE6-A71F8FD7B8CE,FK2336MCAM3AA000A,2023-09-06 09:02:42,2023-09-06 09:04:42,STQ239YM4101,monolith_cassette_ft,10023023
14,LTE_19199_Frequency,1.9095,1.9105,GHz,1.910000,0.000000,PASS,PASS,0,BBA9AF28-3C49-43A9-AEE6-A71F8FD7B8CE,FK2336MCAM3AA000A,2023-09-06 09:02:42,2023-09-06 09:04:42,STQ239YM4101,monolith_cassette_ft,10023023
15,LTE_23010_Power,-28,-8,dBm,-24.008392,3.061235,PASS,PASS,0,BBA9AF28-3C49-43A9-AEE6-A71F8FD7B8CE,FK2336MCAM3AA000A,2023-09-06 09:02:42,2023-09-06 09:04:42,STQ239YM4101,monolith_cassette_ft,10023023
16,LTE_23010_Frequency,0.6985,0.6995,GHz,0.699100,0.000000,PASS,PASS,0,BBA9AF28-3C49-43A9-AEE6-A71F8FD7B8CE,FK2336MCAM3AA000A,2023-09-06 09:02:42,2023-09-06 09:04:42,STQ239YM4101,monolith_cassette_ft,10023023
17,factory_mode_off,PASS,PASS,,PASS,3.000278,PASS,PASS,0,BBA9AF28-3C49-43A9-AEE6-A71F8FD7B8CE,FK2336MCAM3AA000A,2023-09-06 09:02:42,2023-09-06 09:04:42,STQ239YM4101,monolith_cassette_ft,10023023
18,modem_enable_status,PASS,PASS,,PASS,0.976445,PASS,PASS,0,BBA9AF28-3C49-43A9-AEE6-A71F8FD7B8CE,FK2336MCAM3AA000A,2023-09-06 09:02:42,2023-09-06 09:04:42,STQ239YM4101,monolith_cassette_ft,10023023
19,NFC_IN_Status,PASS,PASS,,PASS,0.100943,PASS,PASS,0,BBA9AF28-3C49-43A9-AEE6-A71F8FD7B8CE,FK2336MCAM3AA000A,2023-09-06 09:02:42,2023-09-06 09:04:42,STQ239YM4101,monolith_cassette_ft,10023023
20,Triangle_NFC_Run_Test,PASS,PASS,,PASS,1.154338,PASS,PASS,0,BBA9AF28-3C49-43A9-AEE6-A71F8FD7B8CE,FK2336MCAM3AA000A,2023-09-06 09:02:42,2023-09-06 09:04:42,STQ239YM4101,monolith_cassette_ft,10023023
21,NFC_Detect_Measurement,PASS,PASS,,PASS,1.162339,PASS,PASS,0,BBA9AF28-3C49-43A9-AEE6-A71F8FD7B8CE,FK2336MCAM3AA000A,2023-09-06 09:02:42,2023-09-06 09:04:42,STQ239YM4101,monolith_cassette_ft,10023023
22,IMEI,1.00E+14,1.00E+15,,869965065815957,1.007424,PASS,PASS,0,BBA9AF28-3C49-43A9-AEE6-A71F8FD7B8CE,FK2336MCAM3AA000A,2023-09-06 09:02:42,2023-09-06 09:04:42,STQ239YM4101,monolith_cassette_ft,10023023
