record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.040030,PASS,PASS,0,10ADF04E-25E6-4588-814C-6F431D36A8B9,FK2337MCAM3NC0002,2023-09-14 09:46:35,2023-09-14 09:48:38,STQ239YM4201,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.283222,PASS,PASS,0,10ADF04E-25E6-4588-814C-6F431D36A8B9,FK2337MCAM3NC0002,2023-09-14 09:46:35,2023-09-14 09:48:38,STQ239YM4201,monolith_cassette_ft,10023023
3,opmode_get_state,PASS,PASS,,PASS,1.156285,PASS,PASS,0,10ADF04E-25E6-4588-814C-6F431D36A8B9,FK2337MCAM3NC0002,2023-09-14 09:46:35,2023-09-14 09:48:38,STQ239YM4201,monolith_cassette_ft,10023023
4,FW_Version,2023.34.102,2023.34.102,,2023.34.102,0.948442,PASS,PASS,0,10ADF04E-25E6-4588-814C-6F431D36A8B9,FK2337MCAM3NC0002,2023-09-14 09:46:35,2023-09-14 09:48:38,STQ239YM4201,monolith_cassette_ft,10023023
5,HW_Version,Solar,Solar,,Solar,0.972443,PASS,PASS,0,10ADF04E-25E6-4588-814C-6F431D36A8B9,FK2337MCAM3NC0002,2023-09-14 09:46:35,2023-09-14 09:48:38,STQ239YM4201,monolith_cassette_ft,10023023
6,BQ_charger_ON,PASS,PASS,,PASS,1.144350,PASS,PASS,0,10ADF04E-25E6-4588-814C-6F431D36A8B9,FK2337MCAM3NC0002,2023-09-14 09:46:35,2023-09-14 09:48:38,STQ239YM4201,monolith_cassette_ft,10023023
7,TST_Battery2_V,3.7,4.1,V,4.032,0.000000,PASS,PASS,0,10ADF04E-25E6-4588-814C-6F431D36A8B9,FK2337MCAM3NC0002,2023-09-14 09:46:35,2023-09-14 09:48:38,STQ239YM4201,monolith_cassette_ft,10023023
8,TST_Battery2_C,-10000,200000,uA,091966.0,0.000000,PASS,PASS,0,10ADF04E-25E6-4588-814C-6F431D36A8B9,FK2337MCAM3NC0002,2023-09-14 09:46:35,2023-09-14 09:48:38,STQ239YM4201,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,40,C,25.000,1.184321,PASS,PASS,0,10ADF04E-25E6-4588-814C-6F431D36A8B9,FK2337MCAM3NC0002,2023-09-14 09:46:35,2023-09-14 09:48:38,STQ239YM4201,monolith_cassette_ft,10023023
10,Speaker_Measurement,80,100,dB,94.000000,0.696103,PASS,PASS,0,10ADF04E-25E6-4588-814C-6F431D36A8B9,FK2337MCAM3NC0002,2023-09-14 09:46:35,2023-09-14 09:48:38,STQ239YM4201,monolith_cassette_ft,10023023
