record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,Test_voltage,7.5,8.5,V,7.755701,0.445807,PASS,FAIL,903306,151C6B7A-12C8-49DE-9F64-81E3A28E5F2E,PF2334MDOL3AA0334,2023-09-15 08:08:55,2023-09-15 08:09:16,STQ239YML201,monolith_solar_panel_left_ft,10023215
2,Test_first_temp_1,23,30,C,23.8,0.000000,PASS,FAIL,903306,151C6B7A-12C8-49DE-9F64-81E3A28E5F2E,PF2334MDOL3AA0334,2023-09-15 08:08:55,2023-09-15 08:09:16,STQ239YML201,monolith_solar_panel_left_ft,10023215
3,Test_first_temp_2,23,30,C,24.0,0.000000,PASS,FAIL,903306,151C6B7A-12C8-49DE-9F64-81E3A28E5F2E,PF2334MDOL3AA0334,2023-09-15 08:08:55,2023-09-15 08:09:16,STQ239YML201,monolith_solar_panel_left_ft,10023215
4,Test_Current,0.1,0.15,A,0.113303,4.287529,PASS,FAIL,903306,151C6B7A-12C8-49DE-9F64-81E3A28E5F2E,PF2334MDOL3AA0334,2023-09-15 08:08:55,2023-09-15 08:09:16,STQ239YML201,monolith_solar_panel_left_ft,10023215
5,Test_Count_Power,0.8,1.2,W,0.878746,0.000000,PASS,FAIL,903306,151C6B7A-12C8-49DE-9F64-81E3A28E5F2E,PF2334MDOL3AA0334,2023-09-15 08:08:55,2023-09-15 08:09:16,STQ239YML201,monolith_solar_panel_left_ft,10023215
6,Test_second_temp_1,23,30,C,23.8,0.000000,PASS,FAIL,903306,151C6B7A-12C8-49DE-9F64-81E3A28E5F2E,PF2334MDOL3AA0334,2023-09-15 08:08:55,2023-09-15 08:09:16,STQ239YML201,monolith_solar_panel_left_ft,10023215
7,Test_second_temp_2,23,30,C,24.0,0.000000,PASS,FAIL,903306,151C6B7A-12C8-49DE-9F64-81E3A28E5F2E,PF2334MDOL3AA0334,2023-09-15 08:08:55,2023-09-15 08:09:16,STQ239YML201,monolith_solar_panel_left_ft,10023215
8,Read_MES_Flat_TEMP1,23,30,C,26.9,0.000000,PASS,FAIL,903306,151C6B7A-12C8-49DE-9F64-81E3A28E5F2E,PF2334MDOL3AA0334,2023-09-15 08:08:55,2023-09-15 08:09:16,STQ239YML201,monolith_solar_panel_left_ft,10023215
9,Read_MES_Flat_TEMP2,23,30,C,0,0.000000,FAIL,FAIL,903306,151C6B7A-12C8-49DE-9F64-81E3A28E5F2E,PF2334MDOL3AA0334,2023-09-15 08:08:55,2023-09-15 08:09:16,STQ239YML201,monolith_solar_panel_left_ft,10023215
10,Read_MES_Flat_Voltage,7.5,9,V,26.100000,0.000000,FAIL,FAIL,903306,151C6B7A-12C8-49DE-9F64-81E3A28E5F2E,PF2334MDOL3AA0334,2023-09-15 08:08:55,2023-09-15 08:09:16,STQ239YML201,monolith_solar_panel_left_ft,10023215
11,Read_MES_Flat_Current,0.11,0.15,A,7.699350,0.000000,FAIL,FAIL,903306,151C6B7A-12C8-49DE-9F64-81E3A28E5F2E,PF2334MDOL3AA0334,2023-09-15 08:08:55,2023-09-15 08:09:16,STQ239YML201,monolith_solar_panel_left_ft,10023215
12,Power_difference,0,0.06,W,200.074289,0.000000,FAIL,FAIL,903306,151C6B7A-12C8-49DE-9F64-81E3A28E5F2E,PF2334MDOL3AA0334,2023-09-15 08:08:55,2023-09-15 08:09:16,STQ239YML201,monolith_solar_panel_left_ft,10023215
13,Power_percentage_drop,0,0.06,,227.681514,0.000000,FAIL,FAIL,903306,151C6B7A-12C8-49DE-9F64-81E3A28E5F2E,PF2334MDOL3AA0334,2023-09-15 08:08:55,2023-09-15 08:09:16,STQ239YML201,monolith_solar_panel_left_ft,10023215
