record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.016073,PASS,FAIL,201045,A8091D57-1F8F-4543-A714-E2EEBFF00682,FK2338MCAM3CC0187,2023-09-20 09:09:56,2023-09-20 09:11:26,STQ239YM4301,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.256226,PASS,FAIL,201045,A8091D57-1F8F-4543-A714-E2EEBFF00682,FK2338MCAM3CC0187,2023-09-20 09:09:56,2023-09-20 09:11:26,STQ239YM4301,monolith_cassette_ft,10023023
3,opmode_get_state,PASS,PASS,,PASS,1.136321,PASS,FAIL,201045,A8091D57-1F8F-4543-A714-E2EEBFF00682,FK2338MCAM3CC0187,2023-09-20 09:09:56,2023-09-20 09:11:26,STQ239YM4301,monolith_cassette_ft,10023023
4,FW_Version,2023.34.102,2023.34.102,,2023.34.102,0.918461,PASS,FAIL,201045,A8091D57-1F8F-4543-A714-E2EEBFF00682,FK2338MCAM3CC0187,2023-09-20 09:09:56,2023-09-20 09:11:26,STQ239YM4301,monolith_cassette_ft,10023023
5,HW_Version,Solar,Solar,,Solar,0.964467,PASS,FAIL,201045,A8091D57-1F8F-4543-A714-E2EEBFF00682,FK2338MCAM3CC0187,2023-09-20 09:09:56,2023-09-20 09:11:26,STQ239YM4301,monolith_cassette_ft,10023023
6,BQ_charger_ON,PASS,PASS,,PASS,1.121340,PASS,FAIL,201045,A8091D57-1F8F-4543-A714-E2EEBFF00682,FK2338MCAM3CC0187,2023-09-20 09:09:56,2023-09-20 09:11:26,STQ239YM4301,monolith_cassette_ft,10023023
7,TST_Battery2_V,3.7,4.1,V,3.934,0.000000,PASS,FAIL,201045,A8091D57-1F8F-4543-A714-E2EEBFF00682,FK2338MCAM3CC0187,2023-09-20 09:09:56,2023-09-20 09:11:26,STQ239YM4301,monolith_cassette_ft,10023023
8,TST_Battery2_C,-10000,200000,uA,-00213.0,0.000000,PASS,FAIL,201045,A8091D57-1F8F-4543-A714-E2EEBFF00682,FK2338MCAM3CC0187,2023-09-20 09:09:56,2023-09-20 09:11:26,STQ239YM4301,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,40,C,29.000,1.173326,PASS,FAIL,201045,A8091D57-1F8F-4543-A714-E2EEBFF00682,FK2338MCAM3CC0187,2023-09-20 09:09:56,2023-09-20 09:11:26,STQ239YM4301,monolith_cassette_ft,10023023
10,Speaker_Measurement,80,100,dB,94.000000,0.702566,PASS,FAIL,201045,A8091D57-1F8F-4543-A714-E2EEBFF00682,FK2338MCAM3CC0187,2023-09-20 09:09:56,2023-09-20 09:11:26,STQ239YM4301,monolith_cassette_ft,10023023
11,modem_disable_status,PASS,PASS,,PASS,3.000156,PASS,FAIL,201045,A8091D57-1F8F-4543-A714-E2EEBFF00682,FK2338MCAM3CC0187,2023-09-20 09:09:56,2023-09-20 09:11:26,STQ239YM4301,monolith_cassette_ft,10023023
12,factory_mode_on,PASS,PASS,,PASS,10.579866,PASS,FAIL,201045,A8091D57-1F8F-4543-A714-E2EEBFF00682,FK2338MCAM3CC0187,2023-09-20 09:09:56,2023-09-20 09:11:26,STQ239YM4301,monolith_cassette_ft,10023023
13,LTE_19199_Power,-28,-8,dBm,-21.279133,3.057392,PASS,FAIL,201045,A8091D57-1F8F-4543-A714-E2EEBFF00682,FK2338MCAM3CC0187,2023-09-20 09:09:56,2023-09-20 09:11:26,STQ239YM4301,monolith_cassette_ft,10023023
14,LTE_19199_Frequency,1.9095,1.9105,GHz,1.910000,0.000000,PASS,FAIL,201045,A8091D57-1F8F-4543-A714-E2EEBFF00682,FK2338MCAM3CC0187,2023-09-20 09:09:56,2023-09-20 09:11:26,STQ239YM4301,monolith_cassette_ft,10023023
15,LTE_23010_Power,-30,-13,dBm,-30.529953,3.052295,FAIL,FAIL,201045,A8091D57-1F8F-4543-A714-E2EEBFF00682,FK2338MCAM3CC0187,2023-09-20 09:09:56,2023-09-20 09:11:26,STQ239YM4301,monolith_cassette_ft,10023023
