record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.022222,PASS,FAIL,101086,A525D895-7E97-4A0E-B43D-3F1ABD56AB98,FK2336MMBP3AA0592,2023-09-20 21:13:26,2023-09-20 21:15:59,STT239MM01,monolith_main_bft,10023100
2,Unlock_MCU_Write_Protect,PASS,PASS,,PASS,0.23,PASS,FAIL,101086,A525D895-7E97-4A0E-B43D-3F1ABD56AB98,FK2336MMBP3AA0592,2023-09-20 21:13:26,2023-09-20 21:15:59,STT239MM01,monolith_main_bft,10023100
3,Flash_STLink,PASS,PASS,,PASS,9.13,PASS,FAIL,101086,A525D895-7E97-4A0E-B43D-3F1ABD56AB98,FK2336MMBP3AA0592,2023-09-20 21:13:26,2023-09-20 21:15:59,STT239MM01,monolith_main_bft,10023100
4,FW_Version,2023.34.102,2023.34.102,,2023.34.102,2.603826,PASS,FAIL,101086,A525D895-7E97-4A0E-B43D-3F1ABD56AB98,FK2336MMBP3AA0592,2023-09-20 21:13:26,2023-09-20 21:15:59,STT239MM01,monolith_main_bft,10023100
5,Hw_Version,Solar,Solar,,Solar,2.694505,PASS,FAIL,101086,A525D895-7E97-4A0E-B43D-3F1ABD56AB98,FK2336MMBP3AA0592,2023-09-20 21:13:26,2023-09-20 21:15:59,STT239MM01,monolith_main_bft,10023100
6,Vbat,PASS,PASS,,PASS,2.878997,PASS,FAIL,101086,A525D895-7E97-4A0E-B43D-3F1ABD56AB98,FK2336MMBP3AA0592,2023-09-20 21:13:26,2023-09-20 21:15:59,STT239MM01,monolith_main_bft,10023100
7,lte_modem_status,PASS,PASS,,PASS,3.045860,PASS,FAIL,101086,A525D895-7E97-4A0E-B43D-3F1ABD56AB98,FK2336MMBP3AA0592,2023-09-20 21:13:26,2023-09-20 21:15:59,STT239MM01,monolith_main_bft,10023100
8,temp_by_mcu_sensor_Vbatt,10,40,C,28.000,2.760509,PASS,FAIL,101086,A525D895-7E97-4A0E-B43D-3F1ABD56AB98,FK2336MMBP3AA0592,2023-09-20 21:13:26,2023-09-20 21:15:59,STT239MM01,monolith_main_bft,10023100
9,Power_Rail_Enable,PASS,PASS,,PASS,2.835589,PASS,FAIL,101086,A525D895-7E97-4A0E-B43D-3F1ABD56AB98,FK2336MMBP3AA0592,2023-09-20 21:13:26,2023-09-20 21:15:59,STT239MM01,monolith_main_bft,10023100
10,Voltage_PP4V2_SYS,3.6,3.8,V,3.691880,0.249648,PASS,FAIL,101086,A525D895-7E97-4A0E-B43D-3F1ABD56AB98,FK2336MMBP3AA0592,2023-09-20 21:13:26,2023-09-20 21:15:59,STT239MM01,monolith_main_bft,10023100
11,Voltage_PP1V8_LDO,1.75,1.85,V,1.801530,0.256143,PASS,FAIL,101086,A525D895-7E97-4A0E-B43D-3F1ABD56AB98,FK2336MMBP3AA0592,2023-09-20 21:13:26,2023-09-20 21:15:59,STT239MM01,monolith_main_bft,10023100
12,Voltage_PP5V0,4.85,5.15,V,5.006610,0.245760,PASS,FAIL,101086,A525D895-7E97-4A0E-B43D-3F1ABD56AB98,FK2336MMBP3AA0592,2023-09-20 21:13:26,2023-09-20 21:15:59,STT239MM01,monolith_main_bft,10023100
13,Voltage_DUT_PP12V0_BOOST,11.493,12.395,V,12.061017,0.245651,PASS,FAIL,101086,A525D895-7E97-4A0E-B43D-3F1ABD56AB98,FK2336MMBP3AA0592,2023-09-20 21:13:26,2023-09-20 21:15:59,STT239MM01,monolith_main_bft,10023100
14,Voltage_DUT_PP12V0,11.3,12.3,V,11.796394,0.246644,PASS,FAIL,101086,A525D895-7E97-4A0E-B43D-3F1ABD56AB98,FK2336MMBP3AA0592,2023-09-20 21:13:26,2023-09-20 21:15:59,STT239MM01,monolith_main_bft,10023100
15,nor_flash,PASS,PASS,,PASS,2.527030,PASS,FAIL,101086,A525D895-7E97-4A0E-B43D-3F1ABD56AB98,FK2336MMBP3AA0592,2023-09-20 21:13:26,2023-09-20 21:15:59,STT239MM01,monolith_main_bft,10023100
16,lock_status,PASS,PASS,,PASS,4.793904,PASS,FAIL,101086,A525D895-7E97-4A0E-B43D-3F1ABD56AB98,FK2336MMBP3AA0592,2023-09-20 21:13:26,2023-09-20 21:15:59,STT239MM01,monolith_main_bft,10023100
17,TEST_Clawlock_Lock,PASS,PASS,,PASS,0.318991,PASS,FAIL,101086,A525D895-7E97-4A0E-B43D-3F1ABD56AB98,FK2336MMBP3AA0592,2023-09-20 21:13:26,2023-09-20 21:15:59,STT239MM01,monolith_main_bft,10023100
18,unlock_status,PASS,PASS,,PASS,4.438440,PASS,FAIL,101086,A525D895-7E97-4A0E-B43D-3F1ABD56AB98,FK2336MMBP3AA0592,2023-09-20 21:13:26,2023-09-20 21:15:59,STT239MM01,monolith_main_bft,10023100
19,TEST_Clawlock_Unlock,PASS,PASS,,PASS,0.320585,PASS,FAIL,101086,A525D895-7E97-4A0E-B43D-3F1ABD56AB98,FK2336MMBP3AA0592,2023-09-20 21:13:26,2023-09-20 21:15:59,STT239MM01,monolith_main_bft,10023100
20,triangle_nfc,PASS,PASS,,PASS,2.593842,PASS,FAIL,101086,A525D895-7E97-4A0E-B43D-3F1ABD56AB98,FK2336MMBP3AA0592,2023-09-20 21:13:26,2023-09-20 21:15:59,STT239MM01,monolith_main_bft,10023100
21,ui_nfc,PASS,PASS,,PASS,2.402739,PASS,FAIL,101086,A525D895-7E97-4A0E-B43D-3F1ABD56AB98,FK2336MMBP3AA0592,2023-09-20 21:13:26,2023-09-20 21:15:59,STT239MM01,monolith_main_bft,10023100
22,speaker,PASS,PASS,,PASS,2.114806,PASS,FAIL,101086,A525D895-7E97-4A0E-B43D-3F1ABD56AB98,FK2336MMBP3AA0592,2023-09-20 21:13:26,2023-09-20 21:15:59,STT239MM01,monolith_main_bft,10023100
23,speaker_timeout,PASS,PASS,,PASS,5.129191,PASS,FAIL,101086,A525D895-7E97-4A0E-B43D-3F1ABD56AB98,FK2336MMBP3AA0592,2023-09-20 21:13:26,2023-09-20 21:15:59,STT239MM01,monolith_main_bft,10023100
