record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.018106,PASS,PASS,0,6153A511-0800-432D-A6A8-967CC7322B10,FK2336MMBP3AA0945,2023-09-21 18:00:02,2023-09-21 18:03:11,STT239MM01,monolith_main_bft,10023100
2,Unlock_MCU_Write_Protect,PASS,PASS,,PASS,0.23,PASS,PASS,0,6153A511-0800-432D-A6A8-967CC7322B10,FK2336MMBP3AA0945,2023-09-21 18:00:02,2023-09-21 18:03:11,STT239MM01,monolith_main_bft,10023100
3,Flash_STLink,PASS,PASS,,PASS,9.15,PASS,PASS,0,6153A511-0800-432D-A6A8-967CC7322B10,FK2336MMBP3AA0945,2023-09-21 18:00:02,2023-09-21 18:03:11,STT239MM01,monolith_main_bft,10023100
4,FW_Version,2023.34.102,2023.34.102,,2023.34.102,2.593335,PASS,PASS,0,6153A511-0800-432D-A6A8-967CC7322B10,FK2336MMBP3AA0945,2023-09-21 18:00:02,2023-09-21 18:03:11,STT239MM01,monolith_main_bft,10023100
5,Hw_Version,Solar,Solar,,Solar,2.683040,PASS,PASS,0,6153A511-0800-432D-A6A8-967CC7322B10,FK2336MMBP3AA0945,2023-09-21 18:00:02,2023-09-21 18:03:11,STT239MM01,monolith_main_bft,10023100
6,Vbat,PASS,PASS,,PASS,2.892100,PASS,PASS,0,6153A511-0800-432D-A6A8-967CC7322B10,FK2336MMBP3AA0945,2023-09-21 18:00:02,2023-09-21 18:03:11,STT239MM01,monolith_main_bft,10023100
7,lte_modem_status,PASS,PASS,,PASS,3.006369,PASS,PASS,0,6153A511-0800-432D-A6A8-967CC7322B10,FK2336MMBP3AA0945,2023-09-21 18:00:02,2023-09-21 18:03:11,STT239MM01,monolith_main_bft,10023100
8,temp_by_mcu_sensor_Vbatt,10,40,C,25.000,2.512662,PASS,PASS,0,6153A511-0800-432D-A6A8-967CC7322B10,FK2336MMBP3AA0945,2023-09-21 18:00:02,2023-09-21 18:03:11,STT239MM01,monolith_main_bft,10023100
9,Power_Rail_Enable,PASS,PASS,,PASS,2.837438,PASS,PASS,0,6153A511-0800-432D-A6A8-967CC7322B10,FK2336MMBP3AA0945,2023-09-21 18:00:02,2023-09-21 18:03:11,STT239MM01,monolith_main_bft,10023100
10,Voltage_PP4V2_SYS,3.6,3.8,V,3.687610,0.240092,PASS,PASS,0,6153A511-0800-432D-A6A8-967CC7322B10,FK2336MMBP3AA0945,2023-09-21 18:00:02,2023-09-21 18:03:11,STT239MM01,monolith_main_bft,10023100
11,Voltage_PP1V8_LDO,1.75,1.85,V,1.801740,0.245525,PASS,PASS,0,6153A511-0800-432D-A6A8-967CC7322B10,FK2336MMBP3AA0945,2023-09-21 18:00:02,2023-09-21 18:03:11,STT239MM01,monolith_main_bft,10023100
12,Voltage_PP5V0,4.85,5.15,V,4.997410,0.247135,PASS,PASS,0,6153A511-0800-432D-A6A8-967CC7322B10,FK2336MMBP3AA0945,2023-09-21 18:00:02,2023-09-21 18:03:11,STT239MM01,monolith_main_bft,10023100
13,Voltage_DUT_PP12V0_BOOST,11.493,12.395,V,12.003725,0.245505,PASS,PASS,0,6153A511-0800-432D-A6A8-967CC7322B10,FK2336MMBP3AA0945,2023-09-21 18:00:02,2023-09-21 18:03:11,STT239MM01,monolith_main_bft,10023100
14,Voltage_DUT_PP12V0,11.3,12.3,V,11.756030,0.247167,PASS,PASS,0,6153A511-0800-432D-A6A8-967CC7322B10,FK2336MMBP3AA0945,2023-09-21 18:00:02,2023-09-21 18:03:11,STT239MM01,monolith_main_bft,10023100
15,nor_flash,PASS,PASS,,PASS,2.937181,PASS,PASS,0,6153A511-0800-432D-A6A8-967CC7322B10,FK2336MMBP3AA0945,2023-09-21 18:00:02,2023-09-21 18:03:11,STT239MM01,monolith_main_bft,10023100
16,lock_status,PASS,PASS,,PASS,4.695757,PASS,PASS,0,6153A511-0800-432D-A6A8-967CC7322B10,FK2336MMBP3AA0945,2023-09-21 18:00:02,2023-09-21 18:03:11,STT239MM01,monolith_main_bft,10023100
17,TEST_Clawlock_Lock,PASS,PASS,,PASS,0.319765,PASS,PASS,0,6153A511-0800-432D-A6A8-967CC7322B10,FK2336MMBP3AA0945,2023-09-21 18:00:02,2023-09-21 18:03:11,STT239MM01,monolith_main_bft,10023100
18,unlock_status,PASS,PASS,,PASS,4.754498,PASS,PASS,0,6153A511-0800-432D-A6A8-967CC7322B10,FK2336MMBP3AA0945,2023-09-21 18:00:02,2023-09-21 18:03:11,STT239MM01,monolith_main_bft,10023100
19,TEST_Clawlock_Unlock,PASS,PASS,,PASS,0.323110,PASS,PASS,0,6153A511-0800-432D-A6A8-967CC7322B10,FK2336MMBP3AA0945,2023-09-21 18:00:02,2023-09-21 18:03:11,STT239MM01,monolith_main_bft,10023100
20,triangle_nfc,PASS,PASS,,PASS,2.606114,PASS,PASS,0,6153A511-0800-432D-A6A8-967CC7322B10,FK2336MMBP3AA0945,2023-09-21 18:00:02,2023-09-21 18:03:11,STT239MM01,monolith_main_bft,10023100
21,ui_nfc,PASS,PASS,,PASS,2.669937,PASS,PASS,0,6153A511-0800-432D-A6A8-967CC7322B10,FK2336MMBP3AA0945,2023-09-21 18:00:02,2023-09-21 18:03:11,STT239MM01,monolith_main_bft,10023100
22,speaker,PASS,PASS,,PASS,0.882686,PASS,PASS,0,6153A511-0800-432D-A6A8-967CC7322B10,FK2336MMBP3AA0945,2023-09-21 18:00:02,2023-09-21 18:03:11,STT239MM01,monolith_main_bft,10023100
23,speaker_timeout,PASS,PASS,,PASS,5.131511,PASS,PASS,0,6153A511-0800-432D-A6A8-967CC7322B10,FK2336MMBP3AA0945,2023-09-21 18:00:02,2023-09-21 18:03:11,STT239MM01,monolith_main_bft,10023100
24,flip_dot,PASS,PASS,,PASS,0.765439,PASS,PASS,0,6153A511-0800-432D-A6A8-967CC7322B10,FK2336MMBP3AA0945,2023-09-21 18:00:02,2023-09-21 18:03:11,STT239MM01,monolith_main_bft,10023100
25,flip_dot_timeout,PASS,PASS,,PASS,5.127390,PASS,PASS,0,6153A511-0800-432D-A6A8-967CC7322B10,FK2336MMBP3AA0945,2023-09-21 18:00:02,2023-09-21 18:03:11,STT239MM01,monolith_main_bft,10023100
26,se,PASS,PASS,,PASS,4.820334,PASS,PASS,0,6153A511-0800-432D-A6A8-967CC7322B10,FK2336MMBP3AA0945,2023-09-21 18:00:02,2023-09-21 18:03:11,STT239MM01,monolith_main_bft,10023100
27,Can_Data_Send,PASS,PASS,,PASS,2.932932,PASS,PASS,0,6153A511-0800-432D-A6A8-967CC7322B10,FK2336MMBP3AA0945,2023-09-21 18:00:02,2023-09-21 18:03:11,STT239MM01,monolith_main_bft,10023100
28,Can_Data_Recv,PASS,PASS,,PASS,2.630229,PASS,PASS,0,6153A511-0800-432D-A6A8-967CC7322B10,FK2336MMBP3AA0945,2023-09-21 18:00:02,2023-09-21 18:03:11,STT239MM01,monolith_main_bft,10023100
29,TST_SOLAR_L,PASS,PASS,,PASS,2.730042,PASS,PASS,0,6153A511-0800-432D-A6A8-967CC7322B10,FK2336MMBP3AA0945,2023-09-21 18:00:02,2023-09-21 18:03:11,STT239MM01,monolith_main_bft,10023100
30,SOLAR_L_Voltage,7,7.5,V,7.21,0.000000,PASS,PASS,0,6153A511-0800-432D-A6A8-967CC7322B10,FK2336MMBP3AA0945,2023-09-21 18:00:02,2023-09-21 18:03:11,STT239MM01,monolith_main_bft,10023100
31,SOLAR_L_Current,20000,70000,uA,46926.00,0.004998,PASS,PASS,0,6153A511-0800-432D-A6A8-967CC7322B10,FK2336MMBP3AA0945,2023-09-21 18:00:02,2023-09-21 18:03:11,STT239MM01,monolith_main_bft,10023100
32,TST_SOLAR_R,PASS,PASS,,PASS,2.847064,PASS,PASS,0,6153A511-0800-432D-A6A8-967CC7322B10,FK2336MMBP3AA0945,2023-09-21 18:00:02,2023-09-21 18:03:11,STT239MM01,monolith_main_bft,10023100
33,SOLAR_R_Voltage,7,7.5,V,7.19,0.000000,PASS,PASS,0,6153A511-0800-432D-A6A8-967CC7322B10,FK2336MMBP3AA0945,2023-09-21 18:00:02,2023-09-21 18:03:11,STT239MM01,monolith_main_bft,10023100
34,SOLAR_R_Current,20000,70000,uA,46926.00,0.004998,PASS,PASS,0,6153A511-0800-432D-A6A8-967CC7322B10,FK2336MMBP3AA0945,2023-09-21 18:00:02,2023-09-21 18:03:11,STT239MM01,monolith_main_bft,10023100
35,rp_charge,PASS,PASS,,PASS,3.64,PASS,PASS,0,6153A511-0800-432D-A6A8-967CC7322B10,FK2336MMBP3AA0945,2023-09-21 18:00:02,2023-09-21 18:03:11,STT239MM01,monolith_main_bft,10023100
36,temp_by_mcu_sensor_Vbatt_and_RP12V,10,40,C,27.000,5.062290,PASS,PASS,0,6153A511-0800-432D-A6A8-967CC7322B10,FK2336MMBP3AA0945,2023-09-21 18:00:02,2023-09-21 18:03:11,STT239MM01,monolith_main_bft,10023100
37,sim_read,PASS,PASS,,PASS,2.639911,PASS,PASS,0,6153A511-0800-432D-A6A8-967CC7322B10,FK2336MMBP3AA0945,2023-09-21 18:00:02,2023-09-21 18:03:11,STT239MM01,monolith_main_bft,10023100
38,IMEI,1.00E+14,1.00E+15,,869965067447668,0.000000,PASS,PASS,0,6153A511-0800-432D-A6A8-967CC7322B10,FK2336MMBP3AA0945,2023-09-21 18:00:02,2023-09-21 18:03:11,STT239MM01,monolith_main_bft,10023100
39,ICCID,1.00E+19,1.00E+20,,89430301722336189111,0.000000,PASS,PASS,0,6153A511-0800-432D-A6A8-967CC7322B10,FK2336MMBP3AA0945,2023-09-21 18:00:02,2023-09-21 18:03:11,STT239MM01,monolith_main_bft,10023100
40,SET_Sleep_mode,PASS,PASS,,PASS,15.441285,PASS,PASS,0,6153A511-0800-432D-A6A8-967CC7322B10,FK2336MMBP3AA0945,2023-09-21 18:00:02,2023-09-21 18:03:11,STT239MM01,monolith_main_bft,10023100
41,Sleep_Mode_Current,0,1,mA,0.750000,20.030921,PASS,PASS,0,6153A511-0800-432D-A6A8-967CC7322B10,FK2336MMBP3AA0945,2023-09-21 18:00:02,2023-09-21 18:03:11,STT239MM01,monolith_main_bft,10023100
