record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.014043,PASS,PASS,0,CBB21763-1008-4561-94A7-3CA9F2DE1CBA,FK2338MCAM3CC0033,2023-09-23 08:37:43,2023-09-23 08:39:47,STQ239YM4301,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.272269,PASS,PASS,0,CBB21763-1008-4561-94A7-3CA9F2DE1CBA,FK2338MCAM3CC0033,2023-09-23 08:37:43,2023-09-23 08:39:47,STQ239YM4301,monolith_cassette_ft,10023023
3,opmode_get_state,PASS,PASS,,PASS,1.143301,PASS,PASS,0,CBB21763-1008-4561-94A7-3CA9F2DE1CBA,FK2338MCAM3CC0033,2023-09-23 08:37:43,2023-09-23 08:39:47,STQ239YM4301,monolith_cassette_ft,10023023
4,FW_Version,2023.34.102,2023.34.102,,2023.34.102,0.922460,PASS,PASS,0,CBB21763-1008-4561-94A7-3CA9F2DE1CBA,FK2338MCAM3CC0033,2023-09-23 08:37:43,2023-09-23 08:39:47,STQ239YM4301,monolith_cassette_ft,10023023
5,HW_Version,Solar,Solar,,Solar,0.981425,PASS,PASS,0,CBB21763-1008-4561-94A7-3CA9F2DE1CBA,FK2338MCAM3CC0033,2023-09-23 08:37:43,2023-09-23 08:39:47,STQ239YM4301,monolith_cassette_ft,10023023
6,BQ_charger_ON,PASS,PASS,,PASS,1.130351,PASS,PASS,0,CBB21763-1008-4561-94A7-3CA9F2DE1CBA,FK2338MCAM3CC0033,2023-09-23 08:37:43,2023-09-23 08:39:47,STQ239YM4301,monolith_cassette_ft,10023023
7,TST_Battery2_V,3.7,4.1,V,3.940,0.000000,PASS,PASS,0,CBB21763-1008-4561-94A7-3CA9F2DE1CBA,FK2338MCAM3CC0033,2023-09-23 08:37:43,2023-09-23 08:39:47,STQ239YM4301,monolith_cassette_ft,10023023
8,TST_Battery2_C,-10000,200000,uA,000079.0,0.000000,PASS,PASS,0,CBB21763-1008-4561-94A7-3CA9F2DE1CBA,FK2338MCAM3CC0033,2023-09-23 08:37:43,2023-09-23 08:39:47,STQ239YM4301,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,40,C,24.000,1.170332,PASS,PASS,0,CBB21763-1008-4561-94A7-3CA9F2DE1CBA,FK2338MCAM3CC0033,2023-09-23 08:37:43,2023-09-23 08:39:47,STQ239YM4301,monolith_cassette_ft,10023023
10,Speaker_Measurement,80,100,dB,94.300000,0.694129,PASS,PASS,0,CBB21763-1008-4561-94A7-3CA9F2DE1CBA,FK2338MCAM3CC0033,2023-09-23 08:37:43,2023-09-23 08:39:47,STQ239YM4301,monolith_cassette_ft,10023023
11,modem_disable_status,PASS,PASS,,PASS,3.000175,PASS,PASS,0,CBB21763-1008-4561-94A7-3CA9F2DE1CBA,FK2338MCAM3CC0033,2023-09-23 08:37:43,2023-09-23 08:39:47,STQ239YM4301,monolith_cassette_ft,10023023
12,factory_mode_on,PASS,PASS,,PASS,10.185400,PASS,PASS,0,CBB21763-1008-4561-94A7-3CA9F2DE1CBA,FK2338MCAM3CC0033,2023-09-23 08:37:43,2023-09-23 08:39:47,STQ239YM4301,monolith_cassette_ft,10023023
13,LTE_19199_Power,-28,-8,dBm,-20.885696,3.064954,PASS,PASS,0,CBB21763-1008-4561-94A7-3CA9F2DE1CBA,FK2338MCAM3CC0033,2023-09-23 08:37:43,2023-09-23 08:39:47,STQ239YM4301,monolith_cassette_ft,10023023
14,LTE_19199_Frequency,1.9095,1.9105,GHz,1.910000,0.000947,PASS,PASS,0,CBB21763-1008-4561-94A7-3CA9F2DE1CBA,FK2338MCAM3CC0033,2023-09-23 08:37:43,2023-09-23 08:39:47,STQ239YM4301,monolith_cassette_ft,10023023
15,LTE_23010_Power,-30,-13,dBm,-23.415443,3.060811,PASS,PASS,0,CBB21763-1008-4561-94A7-3CA9F2DE1CBA,FK2338MCAM3CC0033,2023-09-23 08:37:43,2023-09-23 08:39:47,STQ239YM4301,monolith_cassette_ft,10023023
16,LTE_23010_Frequency,0.6985,0.6995,GHz,0.699050,0.000353,PASS,PASS,0,CBB21763-1008-4561-94A7-3CA9F2DE1CBA,FK2338MCAM3CC0033,2023-09-23 08:37:43,2023-09-23 08:39:47,STQ239YM4301,monolith_cassette_ft,10023023
