record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13.5,13.9,MHz,13.659,9.434839,PASS,FAIL,230032,CD05AF01-9BB4-4E9B-AE60-844C3F67CC75,FK2338MRCM3AA0223,2023-09-23 09:18:41,2023-09-23 09:21:21,STQ239YM3302,monolith_receiver_ft,10023006
2,Q_Factor_Value,23,38,,28.8165,0.000000,PASS,FAIL,230032,CD05AF01-9BB4-4E9B-AE60-844C3F67CC75,FK2338MRCM3AA0223,2023-09-23 09:18:41,2023-09-23 09:21:21,STQ239YM3302,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.368811,PASS,FAIL,230032,CD05AF01-9BB4-4E9B-AE60-844C3F67CC75,FK2338MRCM3AA0223,2023-09-23 09:18:41,2023-09-23 09:21:21,STQ239YM3302,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.187318,PASS,FAIL,230032,CD05AF01-9BB4-4E9B-AE60-844C3F67CC75,FK2338MRCM3AA0223,2023-09-23 09:18:41,2023-09-23 09:21:21,STQ239YM3302,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,2.272874,PASS,FAIL,230032,CD05AF01-9BB4-4E9B-AE60-844C3F67CC75,FK2338MRCM3AA0223,2023-09-23 09:18:41,2023-09-23 09:21:21,STQ239YM3302,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.169311,PASS,FAIL,230032,CD05AF01-9BB4-4E9B-AE60-844C3F67CC75,FK2338MRCM3AA0223,2023-09-23 09:18:41,2023-09-23 09:21:21,STQ239YM3302,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,1.583093,PASS,FAIL,230032,CD05AF01-9BB4-4E9B-AE60-844C3F67CC75,FK2338MRCM3AA0223,2023-09-23 09:18:41,2023-09-23 09:21:21,STQ239YM3302,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.192315,PASS,FAIL,230032,CD05AF01-9BB4-4E9B-AE60-844C3F67CC75,FK2338MRCM3AA0223,2023-09-23 09:18:41,2023-09-23 09:21:21,STQ239YM3302,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,2.249711,PASS,FAIL,230032,CD05AF01-9BB4-4E9B-AE60-844C3F67CC75,FK2338MRCM3AA0223,2023-09-23 09:18:41,2023-09-23 09:21:21,STQ239YM3302,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.175325,PASS,FAIL,230032,CD05AF01-9BB4-4E9B-AE60-844C3F67CC75,FK2338MRCM3AA0223,2023-09-23 09:18:41,2023-09-23 09:21:21,STQ239YM3302,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,2.168348,PASS,FAIL,230032,CD05AF01-9BB4-4E9B-AE60-844C3F67CC75,FK2338MRCM3AA0223,2023-09-23 09:18:41,2023-09-23 09:21:21,STQ239YM3302,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.163333,PASS,FAIL,230032,CD05AF01-9BB4-4E9B-AE60-844C3F67CC75,FK2338MRCM3AA0223,2023-09-23 09:18:41,2023-09-23 09:21:21,STQ239YM3302,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,1.117360,PASS,FAIL,230032,CD05AF01-9BB4-4E9B-AE60-844C3F67CC75,FK2338MRCM3AA0223,2023-09-23 09:18:41,2023-09-23 09:21:21,STQ239YM3302,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,FAIL,21.156601,FAIL,FAIL,230032,CD05AF01-9BB4-4E9B-AE60-844C3F67CC75,FK2338MRCM3AA0223,2023-09-23 09:18:41,2023-09-23 09:21:21,STQ239YM3302,monolith_receiver_ft,10023006
