record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13.5,13.9,MHz,13.718,9.430726,PASS,PASS,0,0BE27408-BD89-47EF-BCA8-447177E73895,FK2338MRCM3AA0211,2023-09-23 11:14:36,2023-09-23 11:17:20,STQ239YM3302,monolith_receiver_ft,10023006
2,Q_Factor_Value,23,38,,33.9554,0.000022,PASS,PASS,0,0BE27408-BD89-47EF-BCA8-447177E73895,FK2338MRCM3AA0211,2023-09-23 11:14:36,2023-09-23 11:17:20,STQ239YM3302,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.403823,PASS,PASS,0,0BE27408-BD89-47EF-BCA8-447177E73895,FK2338MRCM3AA0211,2023-09-23 11:14:36,2023-09-23 11:17:20,STQ239YM3302,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.745376,PASS,PASS,0,0BE27408-BD89-47EF-BCA8-447177E73895,FK2338MRCM3AA0211,2023-09-23 11:14:36,2023-09-23 11:17:20,STQ239YM3302,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,1.342734,PASS,PASS,0,0BE27408-BD89-47EF-BCA8-447177E73895,FK2338MRCM3AA0211,2023-09-23 11:14:36,2023-09-23 11:17:20,STQ239YM3302,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.196461,PASS,PASS,0,0BE27408-BD89-47EF-BCA8-447177E73895,FK2338MRCM3AA0211,2023-09-23 11:14:36,2023-09-23 11:17:20,STQ239YM3302,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,1.177079,PASS,PASS,0,0BE27408-BD89-47EF-BCA8-447177E73895,FK2338MRCM3AA0211,2023-09-23 11:14:36,2023-09-23 11:17:20,STQ239YM3302,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.172326,PASS,PASS,0,0BE27408-BD89-47EF-BCA8-447177E73895,FK2338MRCM3AA0211,2023-09-23 11:14:36,2023-09-23 11:17:20,STQ239YM3302,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,1.191319,PASS,PASS,0,0BE27408-BD89-47EF-BCA8-447177E73895,FK2338MRCM3AA0211,2023-09-23 11:14:36,2023-09-23 11:17:20,STQ239YM3302,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.166329,PASS,PASS,0,0BE27408-BD89-47EF-BCA8-447177E73895,FK2338MRCM3AA0211,2023-09-23 11:14:36,2023-09-23 11:17:20,STQ239YM3302,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,1.481138,PASS,PASS,0,0BE27408-BD89-47EF-BCA8-447177E73895,FK2338MRCM3AA0211,2023-09-23 11:14:36,2023-09-23 11:17:20,STQ239YM3302,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.192322,PASS,PASS,0,0BE27408-BD89-47EF-BCA8-447177E73895,FK2338MRCM3AA0211,2023-09-23 11:14:36,2023-09-23 11:17:20,STQ239YM3302,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,1.575058,PASS,PASS,0,0BE27408-BD89-47EF-BCA8-447177E73895,FK2338MRCM3AA0211,2023-09-23 11:14:36,2023-09-23 11:17:20,STQ239YM3302,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.297243,PASS,PASS,0,0BE27408-BD89-47EF-BCA8-447177E73895,FK2338MRCM3AA0211,2023-09-23 11:14:36,2023-09-23 11:17:20,STQ239YM3302,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,38,1.170314,PASS,PASS,0,0BE27408-BD89-47EF-BCA8-447177E73895,FK2338MRCM3AA0211,2023-09-23 11:14:36,2023-09-23 11:17:20,STQ239YM3302,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.174336,PASS,PASS,0,0BE27408-BD89-47EF-BCA8-447177E73895,FK2338MRCM3AA0211,2023-09-23 11:14:36,2023-09-23 11:17:20,STQ239YM3302,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,36,1.267962,PASS,PASS,0,0BE27408-BD89-47EF-BCA8-447177E73895,FK2338MRCM3AA0211,2023-09-23 11:14:36,2023-09-23 11:17:20,STQ239YM3302,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.188315,PASS,PASS,0,0BE27408-BD89-47EF-BCA8-447177E73895,FK2338MRCM3AA0211,2023-09-23 11:14:36,2023-09-23 11:17:20,STQ239YM3302,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,56,530,uA,270.867923,4.336514,PASS,PASS,0,0BE27408-BD89-47EF-BCA8-447177E73895,FK2338MRCM3AA0211,2023-09-23 11:14:36,2023-09-23 11:17:20,STQ239YM3302,monolith_receiver_ft,10023006
