record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,Human_Check_Solar_L_ON,PASS,PASS,,PASS,2.780362,PASS,PASS,0,159F2840-7979-4B90-BF6D-979C80CA64BA,FK2338MFAT3AA0059,2023-09-26 15:37:53,2023-09-26 15:40:55,STA239YM5301,monolith_bollard_ft,10023020
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.292249,PASS,PASS,0,159F2840-7979-4B90-BF6D-979C80CA64BA,FK2338MFAT3AA0059,2023-09-26 15:37:53,2023-09-26 15:40:55,STA239YM5301,monolith_bollard_ft,10023020
3,opmode_get_state,PASS,PASS,,PASS,1.162337,PASS,PASS,0,159F2840-7979-4B90-BF6D-979C80CA64BA,FK2338MFAT3AA0059,2023-09-26 15:37:53,2023-09-26 15:40:55,STA239YM5301,monolith_bollard_ft,10023020
4,Recovery_port_check,PASS,PASS,,PASS,1.161318,PASS,PASS,0,159F2840-7979-4B90-BF6D-979C80CA64BA,FK2338MFAT3AA0059,2023-09-26 15:37:53,2023-09-26 15:40:55,STA239YM5301,monolith_bollard_ft,10023020
5,FW_Version,2023.34.102,2023.34.102,,2023.34.102,0.958435,PASS,PASS,0,159F2840-7979-4B90-BF6D-979C80CA64BA,FK2338MFAT3AA0059,2023-09-26 15:37:53,2023-09-26 15:40:55,STA239YM5301,monolith_bollard_ft,10023020
6,NonCharging_SKU_Hw_Version1,Solar,Solar,,Solar,1.009423,PASS,PASS,0,159F2840-7979-4B90-BF6D-979C80CA64BA,FK2338MFAT3AA0059,2023-09-26 15:37:53,2023-09-26 15:40:55,STA239YM5301,monolith_bollard_ft,10023020
7,BQ_charger_ON,PASS,PASS,,PASS,1.163323,PASS,PASS,0,159F2840-7979-4B90-BF6D-979C80CA64BA,FK2338MFAT3AA0059,2023-09-26 15:37:53,2023-09-26 15:40:55,STA239YM5301,monolith_bollard_ft,10023020
8,TST_Battery2,PASS,PASS,,PASS,1.194306,PASS,PASS,0,159F2840-7979-4B90-BF6D-979C80CA64BA,FK2338MFAT3AA0059,2023-09-26 15:37:53,2023-09-26 15:40:55,STA239YM5301,monolith_bollard_ft,10023020
9,TST_Battery2_V,3.7,4.1,V,3.879,0.000000,PASS,PASS,0,159F2840-7979-4B90-BF6D-979C80CA64BA,FK2338MFAT3AA0059,2023-09-26 15:37:53,2023-09-26 15:40:55,STA239YM5301,monolith_bollard_ft,10023020
10,TST_Battery2_C,-10000,200000,uA,091966.0,0.000000,PASS,PASS,0,159F2840-7979-4B90-BF6D-979C80CA64BA,FK2338MFAT3AA0059,2023-09-26 15:37:53,2023-09-26 15:40:55,STA239YM5301,monolith_bollard_ft,10023020
11,BQ_charger_OFF,PASS,PASS,,PASS,1.167312,PASS,PASS,0,159F2840-7979-4B90-BF6D-979C80CA64BA,FK2338MFAT3AA0059,2023-09-26 15:37:53,2023-09-26 15:40:55,STA239YM5301,monolith_bollard_ft,10023020
12,TST_Battery1,PASS,PASS,,PASS,1.199317,PASS,PASS,0,159F2840-7979-4B90-BF6D-979C80CA64BA,FK2338MFAT3AA0059,2023-09-26 15:37:53,2023-09-26 15:40:55,STA239YM5301,monolith_bollard_ft,10023020
13,TST_Battery1_V,3.7,4.1,V,3.781,0.000000,PASS,PASS,0,159F2840-7979-4B90-BF6D-979C80CA64BA,FK2338MFAT3AA0059,2023-09-26 15:37:53,2023-09-26 15:40:55,STA239YM5301,monolith_bollard_ft,10023020
14,TST_Battery1_C,-10000,200000,uA,061606.0,0.000000,PASS,PASS,0,159F2840-7979-4B90-BF6D-979C80CA64BA,FK2338MFAT3AA0059,2023-09-26 15:37:53,2023-09-26 15:40:55,STA239YM5301,monolith_bollard_ft,10023020
15,TST_Solar_L,PASS,PASS,,PASS,1.203316,PASS,PASS,0,159F2840-7979-4B90-BF6D-979C80CA64BA,FK2338MFAT3AA0059,2023-09-26 15:37:53,2023-09-26 15:40:55,STA239YM5301,monolith_bollard_ft,10023020
16,TEST_Solar_L_Voltage,5,8,V,6.500,0.000000,PASS,PASS,0,159F2840-7979-4B90-BF6D-979C80CA64BA,FK2338MFAT3AA0059,2023-09-26 15:37:53,2023-09-26 15:40:55,STA239YM5301,monolith_bollard_ft,10023020
17,TEST_Solar_L_Current,13000,70000,uA,43076.000,0.000986,PASS,PASS,0,159F2840-7979-4B90-BF6D-979C80CA64BA,FK2338MFAT3AA0059,2023-09-26 15:37:53,2023-09-26 15:40:55,STA239YM5301,monolith_bollard_ft,10023020
18,Human_Check_Solar_L_OFF,PASS,PASS,,PASS,1.146235,PASS,PASS,0,159F2840-7979-4B90-BF6D-979C80CA64BA,FK2338MFAT3AA0059,2023-09-26 15:37:53,2023-09-26 15:40:55,STA239YM5301,monolith_bollard_ft,10023020
19,Human_Check_Solar_R_ON,PASS,PASS,,PASS,0.569660,PASS,PASS,0,159F2840-7979-4B90-BF6D-979C80CA64BA,FK2338MFAT3AA0059,2023-09-26 15:37:53,2023-09-26 15:40:55,STA239YM5301,monolith_bollard_ft,10023020
20,TST_Solar_R,PASS,PASS,,PASS,1.191318,PASS,PASS,0,159F2840-7979-4B90-BF6D-979C80CA64BA,FK2338MFAT3AA0059,2023-09-26 15:37:53,2023-09-26 15:40:55,STA239YM5301,monolith_bollard_ft,10023020
21,TEST_Solar_R_Voltage,5,8,V,6.471,0.000000,PASS,PASS,0,159F2840-7979-4B90-BF6D-979C80CA64BA,FK2338MFAT3AA0059,2023-09-26 15:37:53,2023-09-26 15:40:55,STA239YM5301,monolith_bollard_ft,10023020
22,TEST_Solar_R_Current,13000,70000,uA,43780.000,0.000000,PASS,PASS,0,159F2840-7979-4B90-BF6D-979C80CA64BA,FK2338MFAT3AA0059,2023-09-26 15:37:53,2023-09-26 15:40:55,STA239YM5301,monolith_bollard_ft,10023020
23,Human_Check_Solar_R_OFF,PASS,PASS,,PASS,1.206298,PASS,PASS,0,159F2840-7979-4B90-BF6D-979C80CA64BA,FK2338MFAT3AA0059,2023-09-26 15:37:53,2023-09-26 15:40:55,STA239YM5301,monolith_bollard_ft,10023020
24,BQ_charger_ON,PASS,PASS,,PASS,1.630063,PASS,PASS,0,159F2840-7979-4B90-BF6D-979C80CA64BA,FK2338MFAT3AA0059,2023-09-26 15:37:53,2023-09-26 15:40:55,STA239YM5301,monolith_bollard_ft,10023020
25,Temp_with_rp_charge,10,40,C,24.000,1.205313,PASS,PASS,0,159F2840-7979-4B90-BF6D-979C80CA64BA,FK2338MFAT3AA0059,2023-09-26 15:37:53,2023-09-26 15:40:55,STA239YM5301,monolith_bollard_ft,10023020
26,ClawLock_unlock_cmd_send,PASS,PASS,,PASS,1.175307,PASS,PASS,0,159F2840-7979-4B90-BF6D-979C80CA64BA,FK2338MFAT3AA0059,2023-09-26 15:37:53,2023-09-26 15:40:55,STA239YM5301,monolith_bollard_ft,10023020
27,ClawLock_Is_Unlock,PASS,PASS,,PASS,1.228281,PASS,PASS,0,159F2840-7979-4B90-BF6D-979C80CA64BA,FK2338MFAT3AA0059,2023-09-26 15:37:53,2023-09-26 15:40:55,STA239YM5301,monolith_bollard_ft,10023020
28,Triangle_NFC_Insert,PASS,PASS,,PASS,5.592300,PASS,PASS,0,159F2840-7979-4B90-BF6D-979C80CA64BA,FK2338MFAT3AA0059,2023-09-26 15:37:53,2023-09-26 15:40:55,STA239YM5301,monolith_bollard_ft,10023020
29,ClawLock_lock_cmd_send,PASS,PASS,,PASS,1.163344,PASS,PASS,0,159F2840-7979-4B90-BF6D-979C80CA64BA,FK2338MFAT3AA0059,2023-09-26 15:37:53,2023-09-26 15:40:55,STA239YM5301,monolith_bollard_ft,10023020
30,ClawLock_Is_lock,PASS,PASS,,PASS,1.224302,PASS,PASS,0,159F2840-7979-4B90-BF6D-979C80CA64BA,FK2338MFAT3AA0059,2023-09-26 15:37:53,2023-09-26 15:40:55,STA239YM5301,monolith_bollard_ft,10023020
31,Human_Check_ClawLOCK_Lock,PASS,PASS,,PASS,1.398204,PASS,PASS,0,159F2840-7979-4B90-BF6D-979C80CA64BA,FK2338MFAT3AA0059,2023-09-26 15:37:53,2023-09-26 15:40:55,STA239YM5301,monolith_bollard_ft,10023020
32,TEST_nfc_rideable_run,PASS,PASS,,PASS,1.179308,PASS,PASS,0,159F2840-7979-4B90-BF6D-979C80CA64BA,FK2338MFAT3AA0059,2023-09-26 15:37:53,2023-09-26 15:40:55,STA239YM5301,monolith_bollard_ft,10023020
33,TEST_Triangle_NFC,PASS,PASS,,PASS,1.183326,PASS,PASS,0,159F2840-7979-4B90-BF6D-979C80CA64BA,FK2338MFAT3AA0059,2023-09-26 15:37:53,2023-09-26 15:40:55,STA239YM5301,monolith_bollard_ft,10023020
34,ClawLock_unlock_cmd_send,PASS,PASS,,PASS,1.159328,PASS,PASS,0,159F2840-7979-4B90-BF6D-979C80CA64BA,FK2338MFAT3AA0059,2023-09-26 15:37:53,2023-09-26 15:40:55,STA239YM5301,monolith_bollard_ft,10023020
35,ClawLock_Is_Unlock,PASS,PASS,,PASS,1.948906,PASS,PASS,0,159F2840-7979-4B90-BF6D-979C80CA64BA,FK2338MFAT3AA0059,2023-09-26 15:37:53,2023-09-26 15:40:55,STA239YM5301,monolith_bollard_ft,10023020
36,Triangle_NFC_Pull_Out,PASS,PASS,,PASS,10.854651,PASS,PASS,0,159F2840-7979-4B90-BF6D-979C80CA64BA,FK2338MFAT3AA0059,2023-09-26 15:37:53,2023-09-26 15:40:55,STA239YM5301,monolith_bollard_ft,10023020
37,Human_Check_Sound_On,PASS,PASS,,PASS,0.755569,PASS,PASS,0,159F2840-7979-4B90-BF6D-979C80CA64BA,FK2338MFAT3AA0059,2023-09-26 15:37:53,2023-09-26 15:40:55,STA239YM5301,monolith_bollard_ft,10023020
