record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,Human_Check_Solar_L_ON,PASS,PASS,,PASS,3.373075,PASS,FAIL,902023,0ED18097-C2FA-42E7-B664-AE98C3B6C359,FK2342MFAT3AB0052,2023-10-17 10:04:42,2023-10-17 10:06:04,STA23AYM5302,monolith_bollard_ft,10023020
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.270222,PASS,FAIL,902023,0ED18097-C2FA-42E7-B664-AE98C3B6C359,FK2342MFAT3AB0052,2023-10-17 10:04:42,2023-10-17 10:06:04,STA23AYM5302,monolith_bollard_ft,10023020
3,opmode_get_state,PASS,PASS,,PASS,1.145332,PASS,FAIL,902023,0ED18097-C2FA-42E7-B664-AE98C3B6C359,FK2342MFAT3AB0052,2023-10-17 10:04:42,2023-10-17 10:06:04,STA23AYM5302,monolith_bollard_ft,10023020
4,Recovery_port_check,PASS,PASS,,PASS,1.137371,PASS,FAIL,902023,0ED18097-C2FA-42E7-B664-AE98C3B6C359,FK2342MFAT3AB0052,2023-10-17 10:04:42,2023-10-17 10:06:04,STA23AYM5302,monolith_bollard_ft,10023020
5,FW_Version,2023.34.102,2023.34.102,,2023.34.102,0.938448,PASS,FAIL,902023,0ED18097-C2FA-42E7-B664-AE98C3B6C359,FK2342MFAT3AB0052,2023-10-17 10:04:42,2023-10-17 10:06:04,STA23AYM5302,monolith_bollard_ft,10023020
6,NonCharging_SKU_Hw_Version1,Solar,Solar,,Solar,0.978442,PASS,FAIL,902023,0ED18097-C2FA-42E7-B664-AE98C3B6C359,FK2342MFAT3AB0052,2023-10-17 10:04:42,2023-10-17 10:06:04,STA23AYM5302,monolith_bollard_ft,10023020
7,BQ_charger_ON,PASS,PASS,,PASS,1.160338,PASS,FAIL,902023,0ED18097-C2FA-42E7-B664-AE98C3B6C359,FK2342MFAT3AB0052,2023-10-17 10:04:42,2023-10-17 10:06:04,STA23AYM5302,monolith_bollard_ft,10023020
8,TST_Battery2,PASS,PASS,,PASS,1.177313,PASS,FAIL,902023,0ED18097-C2FA-42E7-B664-AE98C3B6C359,FK2342MFAT3AB0052,2023-10-17 10:04:42,2023-10-17 10:06:04,STA23AYM5302,monolith_bollard_ft,10023020
9,TST_Battery2_V,3.7,4.1,V,4.024,0.000000,PASS,FAIL,902023,0ED18097-C2FA-42E7-B664-AE98C3B6C359,FK2342MFAT3AB0052,2023-10-17 10:04:42,2023-10-17 10:06:04,STA23AYM5302,monolith_bollard_ft,10023020
10,TST_Battery2_C,-10000,200000,uA,091966.0,0.000000,PASS,FAIL,902023,0ED18097-C2FA-42E7-B664-AE98C3B6C359,FK2342MFAT3AB0052,2023-10-17 10:04:42,2023-10-17 10:06:04,STA23AYM5302,monolith_bollard_ft,10023020
11,BQ_charger_OFF,PASS,PASS,,PASS,1.134352,PASS,FAIL,902023,0ED18097-C2FA-42E7-B664-AE98C3B6C359,FK2342MFAT3AB0052,2023-10-17 10:04:42,2023-10-17 10:06:04,STA23AYM5302,monolith_bollard_ft,10023020
12,TST_Battery1,PASS,PASS,,PASS,1.194299,PASS,FAIL,902023,0ED18097-C2FA-42E7-B664-AE98C3B6C359,FK2342MFAT3AB0052,2023-10-17 10:04:42,2023-10-17 10:06:04,STA23AYM5302,monolith_bollard_ft,10023020
13,TST_Battery1_V,3.7,4.1,V,3.929,0.000000,PASS,FAIL,902023,0ED18097-C2FA-42E7-B664-AE98C3B6C359,FK2342MFAT3AB0052,2023-10-17 10:04:42,2023-10-17 10:06:04,STA23AYM5302,monolith_bollard_ft,10023020
14,TST_Battery1_C,-10000,200000,uA,064686.0,0.000000,PASS,FAIL,902023,0ED18097-C2FA-42E7-B664-AE98C3B6C359,FK2342MFAT3AB0052,2023-10-17 10:04:42,2023-10-17 10:06:04,STA23AYM5302,monolith_bollard_ft,10023020
15,TST_Solar_L,PASS,PASS,,PASS,1.194319,PASS,FAIL,902023,0ED18097-C2FA-42E7-B664-AE98C3B6C359,FK2342MFAT3AB0052,2023-10-17 10:04:42,2023-10-17 10:06:04,STA23AYM5302,monolith_bollard_ft,10023020
16,TEST_Solar_L_Voltage,5,8,V,6.316,0.000000,PASS,FAIL,902023,0ED18097-C2FA-42E7-B664-AE98C3B6C359,FK2342MFAT3AB0052,2023-10-17 10:04:42,2023-10-17 10:06:04,STA23AYM5302,monolith_bollard_ft,10023020
17,TEST_Solar_L_Current,13000,70000,uA,46178.000,0.000000,PASS,FAIL,902023,0ED18097-C2FA-42E7-B664-AE98C3B6C359,FK2342MFAT3AB0052,2023-10-17 10:04:42,2023-10-17 10:06:04,STA23AYM5302,monolith_bollard_ft,10023020
18,Human_Check_Solar_L_OFF,PASS,PASS,,PASS,2.811396,PASS,FAIL,902023,0ED18097-C2FA-42E7-B664-AE98C3B6C359,FK2342MFAT3AB0052,2023-10-17 10:04:42,2023-10-17 10:06:04,STA23AYM5302,monolith_bollard_ft,10023020
19,Human_Check_Solar_R_ON,PASS,PASS,,PASS,1.275273,PASS,FAIL,902023,0ED18097-C2FA-42E7-B664-AE98C3B6C359,FK2342MFAT3AB0052,2023-10-17 10:04:42,2023-10-17 10:06:04,STA23AYM5302,monolith_bollard_ft,10023020
20,TST_Solar_R,PASS,PASS,,PASS,1.181311,PASS,FAIL,902023,0ED18097-C2FA-42E7-B664-AE98C3B6C359,FK2342MFAT3AB0052,2023-10-17 10:04:42,2023-10-17 10:06:04,STA23AYM5302,monolith_bollard_ft,10023020
21,TEST_Solar_R_Voltage,5,8,V,3.514,0.000000,FAIL,FAIL,902023,0ED18097-C2FA-42E7-B664-AE98C3B6C359,FK2342MFAT3AB0052,2023-10-17 10:04:42,2023-10-17 10:06:04,STA23AYM5302,monolith_bollard_ft,10023020
