record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,Human_Check_Solar_L_ON,PASS,PASS,,PASS,1.550100,PASS,PASS,0,5E3ACDA1-BF33-44BD-B70D-1D371B8D2B59,FK2342MFAT3AB0153,2023-10-18 16:31:42,2023-10-18 16:34:36,STA23AYM5302,monolith_bollard_ft,10023020
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.291249,PASS,PASS,0,5E3ACDA1-BF33-44BD-B70D-1D371B8D2B59,FK2342MFAT3AB0153,2023-10-18 16:31:42,2023-10-18 16:34:36,STA23AYM5302,monolith_bollard_ft,10023020
3,opmode_get_state,PASS,PASS,,PASS,1.159338,PASS,PASS,0,5E3ACDA1-BF33-44BD-B70D-1D371B8D2B59,FK2342MFAT3AB0153,2023-10-18 16:31:42,2023-10-18 16:34:36,STA23AYM5302,monolith_bollard_ft,10023020
4,Recovery_port_check,PASS,PASS,,PASS,1.298239,PASS,PASS,0,5E3ACDA1-BF33-44BD-B70D-1D371B8D2B59,FK2342MFAT3AB0153,2023-10-18 16:31:42,2023-10-18 16:34:36,STA23AYM5302,monolith_bollard_ft,10023020
5,FW_Version,2023.34.102,2023.34.102,,2023.34.102,0.954455,PASS,PASS,0,5E3ACDA1-BF33-44BD-B70D-1D371B8D2B59,FK2342MFAT3AB0153,2023-10-18 16:31:42,2023-10-18 16:34:36,STA23AYM5302,monolith_bollard_ft,10023020
6,NonCharging_SKU_Hw_Version1,Solar,Solar,,Solar,0.974444,PASS,PASS,0,5E3ACDA1-BF33-44BD-B70D-1D371B8D2B59,FK2342MFAT3AB0153,2023-10-18 16:31:42,2023-10-18 16:34:36,STA23AYM5302,monolith_bollard_ft,10023020
7,BQ_charger_ON,PASS,PASS,,PASS,1.156334,PASS,PASS,0,5E3ACDA1-BF33-44BD-B70D-1D371B8D2B59,FK2342MFAT3AB0153,2023-10-18 16:31:42,2023-10-18 16:34:36,STA23AYM5302,monolith_bollard_ft,10023020
8,TST_Battery2,PASS,PASS,,PASS,1.189307,PASS,PASS,0,5E3ACDA1-BF33-44BD-B70D-1D371B8D2B59,FK2342MFAT3AB0153,2023-10-18 16:31:42,2023-10-18 16:34:36,STA23AYM5302,monolith_bollard_ft,10023020
9,TST_Battery2_V,3.7,4.1,V,3.938,0.000000,PASS,PASS,0,5E3ACDA1-BF33-44BD-B70D-1D371B8D2B59,FK2342MFAT3AB0153,2023-10-18 16:31:42,2023-10-18 16:34:36,STA23AYM5302,monolith_bollard_ft,10023020
10,TST_Battery2_C,-10000,200000,uA,000373.0,0.000000,PASS,PASS,0,5E3ACDA1-BF33-44BD-B70D-1D371B8D2B59,FK2342MFAT3AB0153,2023-10-18 16:31:42,2023-10-18 16:34:36,STA23AYM5302,monolith_bollard_ft,10023020
11,BQ_charger_OFF,PASS,PASS,,PASS,1.149364,PASS,PASS,0,5E3ACDA1-BF33-44BD-B70D-1D371B8D2B59,FK2342MFAT3AB0153,2023-10-18 16:31:42,2023-10-18 16:34:36,STA23AYM5302,monolith_bollard_ft,10023020
12,TST_Battery1,PASS,PASS,,PASS,1.183324,PASS,PASS,0,5E3ACDA1-BF33-44BD-B70D-1D371B8D2B59,FK2342MFAT3AB0153,2023-10-18 16:31:42,2023-10-18 16:34:36,STA23AYM5302,monolith_bollard_ft,10023020
13,TST_Battery1_V,3.7,4.1,V,3.937,0.000000,PASS,PASS,0,5E3ACDA1-BF33-44BD-B70D-1D371B8D2B59,FK2342MFAT3AB0153,2023-10-18 16:31:42,2023-10-18 16:34:36,STA23AYM5302,monolith_bollard_ft,10023020
14,TST_Battery1_C,-10000,200000,uA,056473.0,0.000000,PASS,PASS,0,5E3ACDA1-BF33-44BD-B70D-1D371B8D2B59,FK2342MFAT3AB0153,2023-10-18 16:31:42,2023-10-18 16:34:36,STA23AYM5302,monolith_bollard_ft,10023020
15,TST_Solar_L,PASS,PASS,,PASS,1.180329,PASS,PASS,0,5E3ACDA1-BF33-44BD-B70D-1D371B8D2B59,FK2342MFAT3AB0153,2023-10-18 16:31:42,2023-10-18 16:34:36,STA23AYM5302,monolith_bollard_ft,10023020
16,TEST_Solar_L_Voltage,5,8,V,6.253,0.000000,PASS,PASS,0,5E3ACDA1-BF33-44BD-B70D-1D371B8D2B59,FK2342MFAT3AB0153,2023-10-18 16:31:42,2023-10-18 16:34:36,STA23AYM5302,monolith_bollard_ft,10023020
17,TEST_Solar_L_Current,13000,70000,uA,45980.000,0.000000,PASS,PASS,0,5E3ACDA1-BF33-44BD-B70D-1D371B8D2B59,FK2342MFAT3AB0153,2023-10-18 16:31:42,2023-10-18 16:34:36,STA23AYM5302,monolith_bollard_ft,10023020
18,Human_Check_Solar_L_OFF,PASS,PASS,,PASS,1.238490,PASS,PASS,0,5E3ACDA1-BF33-44BD-B70D-1D371B8D2B59,FK2342MFAT3AB0153,2023-10-18 16:31:42,2023-10-18 16:34:36,STA23AYM5302,monolith_bollard_ft,10023020
19,Human_Check_Solar_R_ON,PASS,PASS,,PASS,0.782544,PASS,PASS,0,5E3ACDA1-BF33-44BD-B70D-1D371B8D2B59,FK2342MFAT3AB0153,2023-10-18 16:31:42,2023-10-18 16:34:36,STA23AYM5302,monolith_bollard_ft,10023020
20,TST_Solar_R,PASS,PASS,,PASS,1.187307,PASS,PASS,0,5E3ACDA1-BF33-44BD-B70D-1D371B8D2B59,FK2342MFAT3AB0153,2023-10-18 16:31:42,2023-10-18 16:34:36,STA23AYM5302,monolith_bollard_ft,10023020
21,TEST_Solar_R_Voltage,5,8,V,6.224,0.000000,PASS,PASS,0,5E3ACDA1-BF33-44BD-B70D-1D371B8D2B59,FK2342MFAT3AB0153,2023-10-18 16:31:42,2023-10-18 16:34:36,STA23AYM5302,monolith_bollard_ft,10023020
22,TEST_Solar_R_Current,13000,70000,uA,42570.000,0.000000,PASS,PASS,0,5E3ACDA1-BF33-44BD-B70D-1D371B8D2B59,FK2342MFAT3AB0153,2023-10-18 16:31:42,2023-10-18 16:34:36,STA23AYM5302,monolith_bollard_ft,10023020
23,Human_Check_Solar_R_OFF,PASS,PASS,,PASS,1.029400,PASS,PASS,0,5E3ACDA1-BF33-44BD-B70D-1D371B8D2B59,FK2342MFAT3AB0153,2023-10-18 16:31:42,2023-10-18 16:34:36,STA23AYM5302,monolith_bollard_ft,10023020
24,BQ_charger_ON,PASS,PASS,,PASS,1.152343,PASS,PASS,0,5E3ACDA1-BF33-44BD-B70D-1D371B8D2B59,FK2342MFAT3AB0153,2023-10-18 16:31:42,2023-10-18 16:34:36,STA23AYM5302,monolith_bollard_ft,10023020
25,Temp_with_rp_charge,10,40,C,23.000,1.199323,PASS,PASS,0,5E3ACDA1-BF33-44BD-B70D-1D371B8D2B59,FK2342MFAT3AB0153,2023-10-18 16:31:42,2023-10-18 16:34:36,STA23AYM5302,monolith_bollard_ft,10023020
26,ClawLock_unlock_cmd_send,PASS,PASS,,PASS,1.159340,PASS,PASS,0,5E3ACDA1-BF33-44BD-B70D-1D371B8D2B59,FK2342MFAT3AB0153,2023-10-18 16:31:42,2023-10-18 16:34:36,STA23AYM5302,monolith_bollard_ft,10023020
27,ClawLock_Is_Unlock,PASS,PASS,,PASS,1.208292,PASS,PASS,0,5E3ACDA1-BF33-44BD-B70D-1D371B8D2B59,FK2342MFAT3AB0153,2023-10-18 16:31:42,2023-10-18 16:34:36,STA23AYM5302,monolith_bollard_ft,10023020
28,Triangle_NFC_Insert,PASS,PASS,,PASS,3.243129,PASS,PASS,0,5E3ACDA1-BF33-44BD-B70D-1D371B8D2B59,FK2342MFAT3AB0153,2023-10-18 16:31:42,2023-10-18 16:34:36,STA23AYM5302,monolith_bollard_ft,10023020
29,ClawLock_lock_cmd_send,PASS,PASS,,PASS,1.176314,PASS,PASS,0,5E3ACDA1-BF33-44BD-B70D-1D371B8D2B59,FK2342MFAT3AB0153,2023-10-18 16:31:42,2023-10-18 16:34:36,STA23AYM5302,monolith_bollard_ft,10023020
30,ClawLock_Is_lock,PASS,PASS,,PASS,1.228305,PASS,PASS,0,5E3ACDA1-BF33-44BD-B70D-1D371B8D2B59,FK2342MFAT3AB0153,2023-10-18 16:31:42,2023-10-18 16:34:36,STA23AYM5302,monolith_bollard_ft,10023020
31,Human_Check_ClawLOCK_Lock,PASS,PASS,,PASS,1.860939,PASS,PASS,0,5E3ACDA1-BF33-44BD-B70D-1D371B8D2B59,FK2342MFAT3AB0153,2023-10-18 16:31:42,2023-10-18 16:34:36,STA23AYM5302,monolith_bollard_ft,10023020
32,TEST_nfc_rideable_run,PASS,PASS,,PASS,1.155325,PASS,PASS,0,5E3ACDA1-BF33-44BD-B70D-1D371B8D2B59,FK2342MFAT3AB0153,2023-10-18 16:31:42,2023-10-18 16:34:36,STA23AYM5302,monolith_bollard_ft,10023020
33,TEST_Triangle_NFC,PASS,PASS,,PASS,1.153343,PASS,PASS,0,5E3ACDA1-BF33-44BD-B70D-1D371B8D2B59,FK2342MFAT3AB0153,2023-10-18 16:31:42,2023-10-18 16:34:36,STA23AYM5302,monolith_bollard_ft,10023020
34,ClawLock_unlock_cmd_send,PASS,PASS,,PASS,1.159320,PASS,PASS,0,5E3ACDA1-BF33-44BD-B70D-1D371B8D2B59,FK2342MFAT3AB0153,2023-10-18 16:31:42,2023-10-18 16:34:36,STA23AYM5302,monolith_bollard_ft,10023020
35,ClawLock_Is_Unlock,PASS,PASS,,PASS,1.210310,PASS,PASS,0,5E3ACDA1-BF33-44BD-B70D-1D371B8D2B59,FK2342MFAT3AB0153,2023-10-18 16:31:42,2023-10-18 16:34:36,STA23AYM5302,monolith_bollard_ft,10023020
36,Triangle_NFC_Pull_Out,PASS,PASS,,PASS,4.290566,PASS,PASS,0,5E3ACDA1-BF33-44BD-B70D-1D371B8D2B59,FK2342MFAT3AB0153,2023-10-18 16:31:42,2023-10-18 16:34:36,STA23AYM5302,monolith_bollard_ft,10023020
37,Human_Check_Sound_On,PASS,PASS,,PASS,1.681159,PASS,PASS,0,5E3ACDA1-BF33-44BD-B70D-1D371B8D2B59,FK2342MFAT3AB0153,2023-10-18 16:31:42,2023-10-18 16:34:36,STA23AYM5302,monolith_bollard_ft,10023020
38,Human_Check_Sound_Off,PASS,PASS,,PASS,0.699599,PASS,PASS,0,5E3ACDA1-BF33-44BD-B70D-1D371B8D2B59,FK2342MFAT3AB0153,2023-10-18 16:31:42,2023-10-18 16:34:36,STA23AYM5302,monolith_bollard_ft,10023020
39,Human_Check_FlipDot_On,PASS,PASS,,PASS,1.525115,PASS,PASS,0,5E3ACDA1-BF33-44BD-B70D-1D371B8D2B59,FK2342MFAT3AB0153,2023-10-18 16:31:42,2023-10-18 16:34:36,STA23AYM5302,monolith_bollard_ft,10023020
40,Human_Check_FlipDot_Off,PASS,PASS,,PASS,0.897469,PASS,PASS,0,5E3ACDA1-BF33-44BD-B70D-1D371B8D2B59,FK2342MFAT3AB0153,2023-10-18 16:31:42,2023-10-18 16:34:36,STA23AYM5302,monolith_bollard_ft,10023020
41,TEST_bike_key_nfc_user_run,PASS,PASS,,PASS,1.149343,PASS,PASS,0,5E3ACDA1-BF33-44BD-B70D-1D371B8D2B59,FK2342MFAT3AB0153,2023-10-18 16:31:42,2023-10-18 16:34:36,STA23AYM5302,monolith_bollard_ft,10023020
42,TEST_bike_key_total_detect,PASS,PASS,,PASS,1.151341,PASS,PASS,0,5E3ACDA1-BF33-44BD-B70D-1D371B8D2B59,FK2342MFAT3AB0153,2023-10-18 16:31:42,2023-10-18 16:34:36,STA23AYM5302,monolith_bollard_ft,10023020
43,TEST_transit_card_nfc_user_run,PASS,PASS,,PASS,1.170332,PASS,PASS,0,5E3ACDA1-BF33-44BD-B70D-1D371B8D2B59,FK2342MFAT3AB0153,2023-10-18 16:31:42,2023-10-18 16:34:36,STA23AYM5302,monolith_bollard_ft,10023020
44,TEST_transit_card_total_detect,PASS,PASS,,PASS,1.158339,PASS,PASS,0,5E3ACDA1-BF33-44BD-B70D-1D371B8D2B59,FK2342MFAT3AB0153,2023-10-18 16:31:42,2023-10-18 16:34:36,STA23AYM5302,monolith_bollard_ft,10023020
45,ICCID,1.00E+19,1.00E+20,,89430301722336189905,0.950443,PASS,PASS,0,5E3ACDA1-BF33-44BD-B70D-1D371B8D2B59,FK2342MFAT3AB0153,2023-10-18 16:31:42,2023-10-18 16:34:36,STA23AYM5302,monolith_bollard_ft,10023020
46,IMEI,1.00E+14,1.00E+15,,869965067458426,0.943442,PASS,PASS,0,5E3ACDA1-BF33-44BD-B70D-1D371B8D2B59,FK2342MFAT3AB0153,2023-10-18 16:31:42,2023-10-18 16:34:36,STA23AYM5302,monolith_bollard_ft,10023020
47,opmode_clear_forced_state,PASS,PASS,,PASS,1.149345,PASS,PASS,0,5E3ACDA1-BF33-44BD-B70D-1D371B8D2B59,FK2342MFAT3AB0153,2023-10-18 16:31:42,2023-10-18 16:34:36,STA23AYM5302,monolith_bollard_ft,10023020
48,ship_mode,PASS,PASS,,PASS,1.158320,PASS,PASS,0,5E3ACDA1-BF33-44BD-B70D-1D371B8D2B59,FK2342MFAT3AB0153,2023-10-18 16:31:42,2023-10-18 16:34:36,STA23AYM5302,monolith_bollard_ft,10023020
49,FlipDot_Red_On,PASS,PASS,,PASS,0.825507,PASS,PASS,0,5E3ACDA1-BF33-44BD-B70D-1D371B8D2B59,FK2342MFAT3AB0153,2023-10-18 16:31:42,2023-10-18 16:34:36,STA23AYM5302,monolith_bollard_ft,10023020
