record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,Human_Check_Solar_L_ON,PASS,PASS,,PASS,2.693770,PASS,PASS,0,F4D79792-C5EE-4964-A1DB-050162198DEB,FK2348MFAT3AC0073,2023-11-27 14:52:57,2023-11-27 14:56:39,STA23BYM5501,monolith_bollard_ft,10023020
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.282267,PASS,PASS,0,F4D79792-C5EE-4964-A1DB-050162198DEB,FK2348MFAT3AC0073,2023-11-27 14:52:57,2023-11-27 14:56:39,STA23BYM5501,monolith_bollard_ft,10023020
3,opmode_get_state,PASS,PASS,,PASS,1.155339,PASS,PASS,0,F4D79792-C5EE-4964-A1DB-050162198DEB,FK2348MFAT3AC0073,2023-11-27 14:52:57,2023-11-27 14:56:39,STA23BYM5501,monolith_bollard_ft,10023020
4,Recovery_port_check,PASS,PASS,,PASS,1.579096,PASS,PASS,0,F4D79792-C5EE-4964-A1DB-050162198DEB,FK2348MFAT3AC0073,2023-11-27 14:52:57,2023-11-27 14:56:39,STA23BYM5501,monolith_bollard_ft,10023020
5,FW_Version,2023.34.102,2023.34.102,,2023.34.102,0.961448,PASS,PASS,0,F4D79792-C5EE-4964-A1DB-050162198DEB,FK2348MFAT3AC0073,2023-11-27 14:52:57,2023-11-27 14:56:39,STA23BYM5501,monolith_bollard_ft,10023020
6,NonCharging_SKU_Hw_Version1,Solar,Solar,,Solar,0.989413,PASS,PASS,0,F4D79792-C5EE-4964-A1DB-050162198DEB,FK2348MFAT3AC0073,2023-11-27 14:52:57,2023-11-27 14:56:39,STA23BYM5501,monolith_bollard_ft,10023020
7,BQ_charger_ON,PASS,PASS,,PASS,1.166332,PASS,PASS,0,F4D79792-C5EE-4964-A1DB-050162198DEB,FK2348MFAT3AC0073,2023-11-27 14:52:57,2023-11-27 14:56:39,STA23BYM5501,monolith_bollard_ft,10023020
8,TST_Battery2,PASS,PASS,,PASS,1.217288,PASS,PASS,0,F4D79792-C5EE-4964-A1DB-050162198DEB,FK2348MFAT3AC0073,2023-11-27 14:52:57,2023-11-27 14:56:39,STA23BYM5501,monolith_bollard_ft,10023020
9,TST_Battery2_V,3.7,4.1,V,3.933,0.000000,PASS,PASS,0,F4D79792-C5EE-4964-A1DB-050162198DEB,FK2348MFAT3AC0073,2023-11-27 14:52:57,2023-11-27 14:56:39,STA23BYM5501,monolith_bollard_ft,10023020
10,TST_Battery2_C,-10000,200000,uA,056179.0,0.000000,PASS,PASS,0,F4D79792-C5EE-4964-A1DB-050162198DEB,FK2348MFAT3AC0073,2023-11-27 14:52:57,2023-11-27 14:56:39,STA23BYM5501,monolith_bollard_ft,10023020
