record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,Human_Check_Solar_L_ON,PASS,PASS,,PASS,1.422049,PASS,FAIL,902011,B0355CF8-6C3E-48F7-AABA-37262024E85E,FK2348MFAT3AC0045,2023-11-28 09:14:14,2023-11-28 09:15:41,STA23BYM5501,monolith_bollard_ft,10023020
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.286269,PASS,FAIL,902011,B0355CF8-6C3E-48F7-AABA-37262024E85E,FK2348MFAT3AC0045,2023-11-28 09:14:14,2023-11-28 09:15:41,STA23BYM5501,monolith_bollard_ft,10023020
3,opmode_get_state,PASS,PASS,,PASS,1.173331,PASS,FAIL,902011,B0355CF8-6C3E-48F7-AABA-37262024E85E,FK2348MFAT3AC0045,2023-11-28 09:14:14,2023-11-28 09:15:41,STA23BYM5501,monolith_bollard_ft,10023020
4,Recovery_port_check,PASS,PASS,,PASS,1.152340,PASS,FAIL,902011,B0355CF8-6C3E-48F7-AABA-37262024E85E,FK2348MFAT3AC0045,2023-11-28 09:14:14,2023-11-28 09:15:41,STA23BYM5501,monolith_bollard_ft,10023020
5,FW_Version,2023.34.102,2023.34.102,,2023.34.102,0.967434,PASS,FAIL,902011,B0355CF8-6C3E-48F7-AABA-37262024E85E,FK2348MFAT3AC0045,2023-11-28 09:14:14,2023-11-28 09:15:41,STA23BYM5501,monolith_bollard_ft,10023020
6,NonCharging_SKU_Hw_Version1,Solar,Solar,,Solar,1.002429,PASS,FAIL,902011,B0355CF8-6C3E-48F7-AABA-37262024E85E,FK2348MFAT3AC0045,2023-11-28 09:14:14,2023-11-28 09:15:41,STA23BYM5501,monolith_bollard_ft,10023020
7,TST_Solar_L,PASS,PASS,,PASS,1.209291,PASS,FAIL,902011,B0355CF8-6C3E-48F7-AABA-37262024E85E,FK2348MFAT3AC0045,2023-11-28 09:14:14,2023-11-28 09:15:41,STA23BYM5501,monolith_bollard_ft,10023020
8,TEST_Solar_L_Voltage,5,8,V,6.282,0.000000,PASS,FAIL,902011,B0355CF8-6C3E-48F7-AABA-37262024E85E,FK2348MFAT3AC0045,2023-11-28 09:14:14,2023-11-28 09:15:41,STA23BYM5501,monolith_bollard_ft,10023020
9,TEST_Solar_L_Current,13000,70000,uA,45738.000,0.000000,PASS,FAIL,902011,B0355CF8-6C3E-48F7-AABA-37262024E85E,FK2348MFAT3AC0045,2023-11-28 09:14:14,2023-11-28 09:15:41,STA23BYM5501,monolith_bollard_ft,10023020
10,Human_Check_Solar_L_OFF,PASS,PASS,,PASS,2.689820,PASS,FAIL,902011,B0355CF8-6C3E-48F7-AABA-37262024E85E,FK2348MFAT3AC0045,2023-11-28 09:14:14,2023-11-28 09:15:41,STA23BYM5501,monolith_bollard_ft,10023020
11,Human_Check_Solar_R_ON,PASS,PASS,,PASS,1.873021,PASS,FAIL,902011,B0355CF8-6C3E-48F7-AABA-37262024E85E,FK2348MFAT3AC0045,2023-11-28 09:14:14,2023-11-28 09:15:41,STA23BYM5501,monolith_bollard_ft,10023020
12,TST_Solar_R,PASS,PASS,,PASS,1.189323,PASS,FAIL,902011,B0355CF8-6C3E-48F7-AABA-37262024E85E,FK2348MFAT3AC0045,2023-11-28 09:14:14,2023-11-28 09:15:41,STA23BYM5501,monolith_bollard_ft,10023020
13,TEST_Solar_R_Voltage,5,8,V,6.248,0.000000,PASS,FAIL,902011,B0355CF8-6C3E-48F7-AABA-37262024E85E,FK2348MFAT3AC0045,2023-11-28 09:14:14,2023-11-28 09:15:41,STA23BYM5501,monolith_bollard_ft,10023020
14,TEST_Solar_R_Current,13000,70000,uA,43691.000,0.000000,PASS,FAIL,902011,B0355CF8-6C3E-48F7-AABA-37262024E85E,FK2348MFAT3AC0045,2023-11-28 09:14:14,2023-11-28 09:15:41,STA23BYM5501,monolith_bollard_ft,10023020
15,Human_Check_Solar_R_OFF,PASS,PASS,,PASS,2.203727,PASS,FAIL,902011,B0355CF8-6C3E-48F7-AABA-37262024E85E,FK2348MFAT3AC0045,2023-11-28 09:14:14,2023-11-28 09:15:41,STA23BYM5501,monolith_bollard_ft,10023020
16,BQ_charger_ON,PASS,PASS,,PASS,1.160339,PASS,FAIL,902011,B0355CF8-6C3E-48F7-AABA-37262024E85E,FK2348MFAT3AC0045,2023-11-28 09:14:14,2023-11-28 09:15:41,STA23BYM5501,monolith_bollard_ft,10023020
17,TST_Battery2,PASS,PASS,,PASS,1.187311,PASS,FAIL,902011,B0355CF8-6C3E-48F7-AABA-37262024E85E,FK2348MFAT3AC0045,2023-11-28 09:14:14,2023-11-28 09:15:41,STA23BYM5501,monolith_bollard_ft,10023020
18,TST_Battery2_V,3.7,4.1,V,3.756,0.000000,PASS,FAIL,902011,B0355CF8-6C3E-48F7-AABA-37262024E85E,FK2348MFAT3AC0045,2023-11-28 09:14:14,2023-11-28 09:15:41,STA23BYM5501,monolith_bollard_ft,10023020
19,TST_Battery2_C,-10000,200000,uA,091966.0,0.000000,PASS,FAIL,902011,B0355CF8-6C3E-48F7-AABA-37262024E85E,FK2348MFAT3AC0045,2023-11-28 09:14:14,2023-11-28 09:15:41,STA23BYM5501,monolith_bollard_ft,10023020
20,BQ_charger_OFF,PASS,PASS,,PASS,1.156340,PASS,FAIL,902011,B0355CF8-6C3E-48F7-AABA-37262024E85E,FK2348MFAT3AC0045,2023-11-28 09:14:14,2023-11-28 09:15:41,STA23BYM5501,monolith_bollard_ft,10023020
