record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,opmode_force_dev_mode,PASS,PASS,,PASS,1.374190,PASS,FAIL,902283,BE5BC418-5F8D-4A2C-9312-F646FBF6286D,FK2332MFCT1AA000B,2023-12-21 13:45:23,2023-12-21 13:47:21,1QAZ,monolith_bollard_ft,10023020
2,opmode_get_state,PASS,PASS,,PASS,1.233274,PASS,FAIL,902283,BE5BC418-5F8D-4A2C-9312-F646FBF6286D,FK2332MFCT1AA000B,2023-12-21 13:45:23,2023-12-21 13:47:21,1QAZ,monolith_bollard_ft,10023020
3,Recovery_port_check,PASS,PASS,,PASS,1.257279,PASS,FAIL,902283,BE5BC418-5F8D-4A2C-9312-F646FBF6286D,FK2332MFCT1AA000B,2023-12-21 13:45:23,2023-12-21 13:47:21,1QAZ,monolith_bollard_ft,10023020
4,FW_Version,2023.15.103,2023.15.103,,2023.15.103,1.015402,PASS,FAIL,902283,BE5BC418-5F8D-4A2C-9312-F646FBF6286D,FK2332MFCT1AA000B,2023-12-21 13:45:23,2023-12-21 13:47:21,1QAZ,monolith_bollard_ft,10023020
5,NonCharging_SKU_Hw_Version1,Solar,Solar,,Solar,1.047383,PASS,FAIL,902283,BE5BC418-5F8D-4A2C-9312-F646FBF6286D,FK2332MFCT1AA000B,2023-12-21 13:45:23,2023-12-21 13:47:21,1QAZ,monolith_bollard_ft,10023020
6,BQ_charger_ON,PASS,PASS,,PASS,1.244293,PASS,FAIL,902283,BE5BC418-5F8D-4A2C-9312-F646FBF6286D,FK2332MFCT1AA000B,2023-12-21 13:45:23,2023-12-21 13:47:21,1QAZ,monolith_bollard_ft,10023020
7,TST_Battery2,PASS,PASS,,PASS,1.288298,PASS,FAIL,902283,BE5BC418-5F8D-4A2C-9312-F646FBF6286D,FK2332MFCT1AA000B,2023-12-21 13:45:23,2023-12-21 13:47:21,1QAZ,monolith_bollard_ft,10023020
8,TST_Battery2_V,3.1,4.1,V,3.753,0.000000,PASS,FAIL,902283,BE5BC418-5F8D-4A2C-9312-F646FBF6286D,FK2332MFCT1AA000B,2023-12-21 13:45:23,2023-12-21 13:47:21,1QAZ,monolith_bollard_ft,10023020
9,TST_Battery2_C,-10000,200000,uA,091966.0,0.000000,PASS,FAIL,902283,BE5BC418-5F8D-4A2C-9312-F646FBF6286D,FK2332MFCT1AA000B,2023-12-21 13:45:23,2023-12-21 13:47:21,1QAZ,monolith_bollard_ft,10023020
10,Status_1,1,1,,1,2.106771,PASS,FAIL,902283,BE5BC418-5F8D-4A2C-9312-F646FBF6286D,FK2332MFCT1AA000B,2023-12-21 13:45:23,2023-12-21 13:47:21,1QAZ,monolith_bollard_ft,10023020
11,BQ_charger_OFF,PASS,PASS,,PASS,1.242284,PASS,FAIL,902283,BE5BC418-5F8D-4A2C-9312-F646FBF6286D,FK2332MFCT1AA000B,2023-12-21 13:45:23,2023-12-21 13:47:21,1QAZ,monolith_bollard_ft,10023020
12,TST_Battery1,PASS,PASS,,PASS,1.283250,PASS,FAIL,902283,BE5BC418-5F8D-4A2C-9312-F646FBF6286D,FK2332MFCT1AA000B,2023-12-21 13:45:23,2023-12-21 13:47:21,1QAZ,monolith_bollard_ft,10023020
13,TST_Battery1_V,3.1,4.1,V,3.676,0.000000,PASS,FAIL,902283,BE5BC418-5F8D-4A2C-9312-F646FBF6286D,FK2332MFCT1AA000B,2023-12-21 13:45:23,2023-12-21 13:47:21,1QAZ,monolith_bollard_ft,10023020
