record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.009010,PASS,PASS,0,6399ED02-9A8E-4A5D-A6E8-64D4F01DC2D1,FK2332MFCT1AA000E,2023-12-22 10:58:53,2023-12-22 11:01:04,1QAZ,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.337196,PASS,PASS,0,6399ED02-9A8E-4A5D-A6E8-64D4F01DC2D1,FK2332MFCT1AA000E,2023-12-22 10:58:53,2023-12-22 11:01:04,1QAZ,monolith_cassette_ft,10023023
3,opmode_get_state,PASS,PASS,,PASS,1.179274,PASS,PASS,0,6399ED02-9A8E-4A5D-A6E8-64D4F01DC2D1,FK2332MFCT1AA000E,2023-12-22 10:58:53,2023-12-22 11:01:04,1QAZ,monolith_cassette_ft,10023023
4,FW_Version,2023.34.104,2023.34.104,,2023.34.104,0.980428,PASS,PASS,0,6399ED02-9A8E-4A5D-A6E8-64D4F01DC2D1,FK2332MFCT1AA000E,2023-12-22 10:58:53,2023-12-22 11:01:04,1QAZ,monolith_cassette_ft,10023023
5,HW_Version,Solar,Solar,,Solar,1.020416,PASS,PASS,0,6399ED02-9A8E-4A5D-A6E8-64D4F01DC2D1,FK2332MFCT1AA000E,2023-12-22 10:58:53,2023-12-22 11:01:04,1QAZ,monolith_cassette_ft,10023023
6,BQ_charger_ON,PASS,PASS,,PASS,1.184324,PASS,PASS,0,6399ED02-9A8E-4A5D-A6E8-64D4F01DC2D1,FK2332MFCT1AA000E,2023-12-22 10:58:53,2023-12-22 11:01:04,1QAZ,monolith_cassette_ft,10023023
7,TST_Battery2_V,3,4.3,V,4.163,0.000000,PASS,PASS,0,6399ED02-9A8E-4A5D-A6E8-64D4F01DC2D1,FK2332MFCT1AA000E,2023-12-22 10:58:53,2023-12-22 11:01:04,1QAZ,monolith_cassette_ft,10023023
8,TST_Battery2_C,-10000,200000,uA,091966.0,0.000000,PASS,PASS,0,6399ED02-9A8E-4A5D-A6E8-64D4F01DC2D1,FK2332MFCT1AA000E,2023-12-22 10:58:53,2023-12-22 11:01:04,1QAZ,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,40,C,21.000,1.230263,PASS,PASS,0,6399ED02-9A8E-4A5D-A6E8-64D4F01DC2D1,FK2332MFCT1AA000E,2023-12-22 10:58:53,2023-12-22 11:01:04,1QAZ,monolith_cassette_ft,10023023
10,Speaker_Measurement,80,100,dB,94.500000,0.695619,PASS,PASS,0,6399ED02-9A8E-4A5D-A6E8-64D4F01DC2D1,FK2332MFCT1AA000E,2023-12-22 10:58:53,2023-12-22 11:01:04,1QAZ,monolith_cassette_ft,10023023
11,modem_disable_status,PASS,PASS,,PASS,3.001215,PASS,PASS,0,6399ED02-9A8E-4A5D-A6E8-64D4F01DC2D1,FK2332MFCT1AA000E,2023-12-22 10:58:53,2023-12-22 11:01:04,1QAZ,monolith_cassette_ft,10023023
12,factory_mode_on,PASS,PASS,,PASS,11.423661,PASS,PASS,0,6399ED02-9A8E-4A5D-A6E8-64D4F01DC2D1,FK2332MFCT1AA000E,2023-12-22 10:58:53,2023-12-22 11:01:04,1QAZ,monolith_cassette_ft,10023023
13,LTE_19199_Power,-28,-8,dBm,-25.653011,3.078307,PASS,PASS,0,6399ED02-9A8E-4A5D-A6E8-64D4F01DC2D1,FK2332MFCT1AA000E,2023-12-22 10:58:53,2023-12-22 11:01:04,1QAZ,monolith_cassette_ft,10023023
14,LTE_19199_Frequency,1.9095,1.9105,GHz,1.910000,0.000993,PASS,PASS,0,6399ED02-9A8E-4A5D-A6E8-64D4F01DC2D1,FK2332MFCT1AA000E,2023-12-22 10:58:53,2023-12-22 11:01:04,1QAZ,monolith_cassette_ft,10023023
15,LTE_23010_Power,-30,-13,dBm,-18.977415,3.028364,PASS,PASS,0,6399ED02-9A8E-4A5D-A6E8-64D4F01DC2D1,FK2332MFCT1AA000E,2023-12-22 10:58:53,2023-12-22 11:01:04,1QAZ,monolith_cassette_ft,10023023
16,LTE_23010_Frequency,0.6985,0.6995,GHz,0.699100,0.000983,PASS,PASS,0,6399ED02-9A8E-4A5D-A6E8-64D4F01DC2D1,FK2332MFCT1AA000E,2023-12-22 10:58:53,2023-12-22 11:01:04,1QAZ,monolith_cassette_ft,10023023
17,factory_mode_off,PASS,PASS,,PASS,3.000034,PASS,PASS,0,6399ED02-9A8E-4A5D-A6E8-64D4F01DC2D1,FK2332MFCT1AA000E,2023-12-22 10:58:53,2023-12-22 11:01:04,1QAZ,monolith_cassette_ft,10023023
18,modem_enable_status,PASS,PASS,,PASS,0.980460,PASS,PASS,0,6399ED02-9A8E-4A5D-A6E8-64D4F01DC2D1,FK2332MFCT1AA000E,2023-12-22 10:58:53,2023-12-22 11:01:04,1QAZ,monolith_cassette_ft,10023023
19,NFC_IN_Status,PASS,PASS,,PASS,0.102017,PASS,PASS,0,6399ED02-9A8E-4A5D-A6E8-64D4F01DC2D1,FK2332MFCT1AA000E,2023-12-22 10:58:53,2023-12-22 11:01:04,1QAZ,monolith_cassette_ft,10023023
20,Triangle_NFC_Run_Test,PASS,PASS,,PASS,2.137749,PASS,PASS,0,6399ED02-9A8E-4A5D-A6E8-64D4F01DC2D1,FK2332MFCT1AA000E,2023-12-22 10:58:53,2023-12-22 11:01:04,1QAZ,monolith_cassette_ft,10023023
21,NFC_Detect_Measurement,PASS,PASS,,PASS,1.184314,PASS,PASS,0,6399ED02-9A8E-4A5D-A6E8-64D4F01DC2D1,FK2332MFCT1AA000E,2023-12-22 10:58:53,2023-12-22 11:01:04,1QAZ,monolith_cassette_ft,10023023
22,IMEI,1.00E+14,1.00E+15,,869965069806580,0.992432,PASS,PASS,0,6399ED02-9A8E-4A5D-A6E8-64D4F01DC2D1,FK2332MFCT1AA000E,2023-12-22 10:58:53,2023-12-22 11:01:04,1QAZ,monolith_cassette_ft,10023023
23,ICCID,1.00E+19,1.00E+20,,89430301722336359003,0.976432,PASS,PASS,0,6399ED02-9A8E-4A5D-A6E8-64D4F01DC2D1,FK2332MFCT1AA000E,2023-12-22 10:58:53,2023-12-22 11:01:04,1QAZ,monolith_cassette_ft,10023023
24,opmode_clear_forced_state,PASS,PASS,,PASS,1.179325,PASS,PASS,0,6399ED02-9A8E-4A5D-A6E8-64D4F01DC2D1,FK2332MFCT1AA000E,2023-12-22 10:58:53,2023-12-22 11:01:04,1QAZ,monolith_cassette_ft,10023023
25,Enter_Shipmode,PASS,PASS,,PASS,1.185320,PASS,PASS,0,6399ED02-9A8E-4A5D-A6E8-64D4F01DC2D1,FK2332MFCT1AA000E,2023-12-22 10:58:53,2023-12-22 11:01:04,1QAZ,monolith_cassette_ft,10023023
