record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.017986,PASS,FAIL,201035,78CF1DB1-EF34-4BC1-8FBA-667AD8D6AAFA,FK2348MFAT3AA0002,2023-12-22 11:04:28,2023-12-22 11:05:52,1QAZ,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.304253,PASS,FAIL,201035,78CF1DB1-EF34-4BC1-8FBA-667AD8D6AAFA,FK2348MFAT3AA0002,2023-12-22 11:04:28,2023-12-22 11:05:52,1QAZ,monolith_cassette_ft,10023023
3,opmode_get_state,PASS,PASS,,PASS,1.171297,PASS,FAIL,201035,78CF1DB1-EF34-4BC1-8FBA-667AD8D6AAFA,FK2348MFAT3AA0002,2023-12-22 11:04:28,2023-12-22 11:05:52,1QAZ,monolith_cassette_ft,10023023
4,FW_Version,2023.34.104,2023.34.104,,2023.34.104,0.986423,PASS,FAIL,201035,78CF1DB1-EF34-4BC1-8FBA-667AD8D6AAFA,FK2348MFAT3AA0002,2023-12-22 11:04:28,2023-12-22 11:05:52,1QAZ,monolith_cassette_ft,10023023
5,HW_Version,Solar,Solar,,Solar,1.021401,PASS,FAIL,201035,78CF1DB1-EF34-4BC1-8FBA-667AD8D6AAFA,FK2348MFAT3AA0002,2023-12-22 11:04:28,2023-12-22 11:05:52,1QAZ,monolith_cassette_ft,10023023
6,BQ_charger_ON,PASS,PASS,,PASS,1.173318,PASS,FAIL,201035,78CF1DB1-EF34-4BC1-8FBA-667AD8D6AAFA,FK2348MFAT3AA0002,2023-12-22 11:04:28,2023-12-22 11:05:52,1QAZ,monolith_cassette_ft,10023023
7,TST_Battery2_V,3,4.3,V,4.198,0.000000,PASS,FAIL,201035,78CF1DB1-EF34-4BC1-8FBA-667AD8D6AAFA,FK2348MFAT3AA0002,2023-12-22 11:04:28,2023-12-22 11:05:52,1QAZ,monolith_cassette_ft,10023023
8,TST_Battery2_C,-10000,200000,uA,091966.0,0.000000,PASS,FAIL,201035,78CF1DB1-EF34-4BC1-8FBA-667AD8D6AAFA,FK2348MFAT3AA0002,2023-12-22 11:04:28,2023-12-22 11:05:52,1QAZ,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,40,C,22.000,1.222300,PASS,FAIL,201035,78CF1DB1-EF34-4BC1-8FBA-667AD8D6AAFA,FK2348MFAT3AA0002,2023-12-22 11:04:28,2023-12-22 11:05:52,1QAZ,monolith_cassette_ft,10023023
10,Speaker_Measurement,80,100,dB,94.100000,0.693668,PASS,FAIL,201035,78CF1DB1-EF34-4BC1-8FBA-667AD8D6AAFA,FK2348MFAT3AA0002,2023-12-22 11:04:28,2023-12-22 11:05:52,1QAZ,monolith_cassette_ft,10023023
11,modem_disable_status,PASS,PASS,,PASS,3.000779,PASS,FAIL,201035,78CF1DB1-EF34-4BC1-8FBA-667AD8D6AAFA,FK2348MFAT3AA0002,2023-12-22 11:04:28,2023-12-22 11:05:52,1QAZ,monolith_cassette_ft,10023023
12,factory_mode_on,PASS,PASS,,PASS,10.636263,PASS,FAIL,201035,78CF1DB1-EF34-4BC1-8FBA-667AD8D6AAFA,FK2348MFAT3AA0002,2023-12-22 11:04:28,2023-12-22 11:05:52,1QAZ,monolith_cassette_ft,10023023
13,LTE_19199_Power,-28,-8,dBm,-29.009293,3.101413,FAIL,FAIL,201035,78CF1DB1-EF34-4BC1-8FBA-667AD8D6AAFA,FK2348MFAT3AA0002,2023-12-22 11:04:28,2023-12-22 11:05:52,1QAZ,monolith_cassette_ft,10023023
