record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.033967,PASS,PASS,0,11AF6270-8545-4CAA-8BE5-0854D74BD985,FK2348MFAT3AA0002,2023-12-22 11:24:01,2023-12-22 11:26:40,1QAZ,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.313233,PASS,PASS,0,11AF6270-8545-4CAA-8BE5-0854D74BD985,FK2348MFAT3AA0002,2023-12-22 11:24:01,2023-12-22 11:26:40,1QAZ,monolith_cassette_ft,10023023
3,opmode_get_state,PASS,PASS,,PASS,1.186306,PASS,PASS,0,11AF6270-8545-4CAA-8BE5-0854D74BD985,FK2348MFAT3AA0002,2023-12-22 11:24:01,2023-12-22 11:26:40,1QAZ,monolith_cassette_ft,10023023
4,FW_Version,2023.34.104,2023.34.104,,2023.34.104,0.989440,PASS,PASS,0,11AF6270-8545-4CAA-8BE5-0854D74BD985,FK2348MFAT3AA0002,2023-12-22 11:24:01,2023-12-22 11:26:40,1QAZ,monolith_cassette_ft,10023023
5,HW_Version,Solar,Solar,,Solar,1.036421,PASS,PASS,0,11AF6270-8545-4CAA-8BE5-0854D74BD985,FK2348MFAT3AA0002,2023-12-22 11:24:01,2023-12-22 11:26:40,1QAZ,monolith_cassette_ft,10023023
6,BQ_charger_ON,PASS,PASS,,PASS,1.181320,PASS,PASS,0,11AF6270-8545-4CAA-8BE5-0854D74BD985,FK2348MFAT3AA0002,2023-12-22 11:24:01,2023-12-22 11:26:40,1QAZ,monolith_cassette_ft,10023023
7,TST_Battery2_V,3,4.3,V,4.191,0.000000,PASS,PASS,0,11AF6270-8545-4CAA-8BE5-0854D74BD985,FK2348MFAT3AA0002,2023-12-22 11:24:01,2023-12-22 11:26:40,1QAZ,monolith_cassette_ft,10023023
8,TST_Battery2_C,-10000,200000,uA,091966.0,0.000000,PASS,PASS,0,11AF6270-8545-4CAA-8BE5-0854D74BD985,FK2348MFAT3AA0002,2023-12-22 11:24:01,2023-12-22 11:26:40,1QAZ,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,40,C,24.000,1.216298,PASS,PASS,0,11AF6270-8545-4CAA-8BE5-0854D74BD985,FK2348MFAT3AA0002,2023-12-22 11:24:01,2023-12-22 11:26:40,1QAZ,monolith_cassette_ft,10023023
10,Speaker_Measurement,80,100,dB,94.000000,0.695602,PASS,PASS,0,11AF6270-8545-4CAA-8BE5-0854D74BD985,FK2348MFAT3AA0002,2023-12-22 11:24:01,2023-12-22 11:26:40,1QAZ,monolith_cassette_ft,10023023
11,modem_disable_status,PASS,PASS,,PASS,3.000366,PASS,PASS,0,11AF6270-8545-4CAA-8BE5-0854D74BD985,FK2348MFAT3AA0002,2023-12-22 11:24:01,2023-12-22 11:26:40,1QAZ,monolith_cassette_ft,10023023
12,factory_mode_on,PASS,PASS,,PASS,10.628970,PASS,PASS,0,11AF6270-8545-4CAA-8BE5-0854D74BD985,FK2348MFAT3AA0002,2023-12-22 11:24:01,2023-12-22 11:26:40,1QAZ,monolith_cassette_ft,10023023
13,LTE_19199_Power,-35,-6,dBm,-31.309887,3.064306,PASS,PASS,0,11AF6270-8545-4CAA-8BE5-0854D74BD985,FK2348MFAT3AA0002,2023-12-22 11:24:01,2023-12-22 11:26:40,1QAZ,monolith_cassette_ft,10023023
14,LTE_19199_Frequency,1.9095,1.9105,GHz,1.910000,0.000000,PASS,PASS,0,11AF6270-8545-4CAA-8BE5-0854D74BD985,FK2348MFAT3AA0002,2023-12-22 11:24:01,2023-12-22 11:26:40,1QAZ,monolith_cassette_ft,10023023
15,LTE_23010_Power,-28,-8,dBm,-20.623257,3.062230,PASS,PASS,0,11AF6270-8545-4CAA-8BE5-0854D74BD985,FK2348MFAT3AA0002,2023-12-22 11:24:01,2023-12-22 11:26:40,1QAZ,monolith_cassette_ft,10023023
16,LTE_23010_Frequency,0.6985,0.6995,GHz,0.699100,0.000998,PASS,PASS,0,11AF6270-8545-4CAA-8BE5-0854D74BD985,FK2348MFAT3AA0002,2023-12-22 11:24:01,2023-12-22 11:26:40,1QAZ,monolith_cassette_ft,10023023
17,factory_mode_off,PASS,PASS,,PASS,3.001282,PASS,PASS,0,11AF6270-8545-4CAA-8BE5-0854D74BD985,FK2348MFAT3AA0002,2023-12-22 11:24:01,2023-12-22 11:26:40,1QAZ,monolith_cassette_ft,10023023
18,modem_enable_status,PASS,PASS,,PASS,0.977444,PASS,PASS,0,11AF6270-8545-4CAA-8BE5-0854D74BD985,FK2348MFAT3AA0002,2023-12-22 11:24:01,2023-12-22 11:26:40,1QAZ,monolith_cassette_ft,10023023
19,NFC_IN_Status,PASS,PASS,,PASS,0.100944,PASS,PASS,0,11AF6270-8545-4CAA-8BE5-0854D74BD985,FK2348MFAT3AA0002,2023-12-22 11:24:01,2023-12-22 11:26:40,1QAZ,monolith_cassette_ft,10023023
20,Triangle_NFC_Run_Test,PASS,PASS,,PASS,1.197304,PASS,PASS,0,11AF6270-8545-4CAA-8BE5-0854D74BD985,FK2348MFAT3AA0002,2023-12-22 11:24:01,2023-12-22 11:26:40,1QAZ,monolith_cassette_ft,10023023
21,NFC_Detect_Measurement,PASS,PASS,,PASS,1.189308,PASS,PASS,0,11AF6270-8545-4CAA-8BE5-0854D74BD985,FK2348MFAT3AA0002,2023-12-22 11:24:01,2023-12-22 11:26:40,1QAZ,monolith_cassette_ft,10023023
22,IMEI,1.00E+14,1.00E+15,,869965065816765,0.990420,PASS,PASS,0,11AF6270-8545-4CAA-8BE5-0854D74BD985,FK2348MFAT3AA0002,2023-12-22 11:24:01,2023-12-22 11:26:40,1QAZ,monolith_cassette_ft,10023023
23,ICCID,1.00E+19,1.00E+20,,89430301722229183338,0.976441,PASS,PASS,0,11AF6270-8545-4CAA-8BE5-0854D74BD985,FK2348MFAT3AA0002,2023-12-22 11:24:01,2023-12-22 11:26:40,1QAZ,monolith_cassette_ft,10023023
24,opmode_clear_forced_state,PASS,PASS,,PASS,1.181324,PASS,PASS,0,11AF6270-8545-4CAA-8BE5-0854D74BD985,FK2348MFAT3AA0002,2023-12-22 11:24:01,2023-12-22 11:26:40,1QAZ,monolith_cassette_ft,10023023
25,charge_on,PASS,PASS,,PASS,1.245271,PASS,PASS,0,11AF6270-8545-4CAA-8BE5-0854D74BD985,FK2348MFAT3AA0002,2023-12-22 11:24:01,2023-12-22 11:26:40,1QAZ,monolith_cassette_ft,10023023
26,pp75V_sense_voltage,72,76,V,73.715,0.000000,PASS,PASS,0,11AF6270-8545-4CAA-8BE5-0854D74BD985,FK2348MFAT3AA0002,2023-12-22 11:24:01,2023-12-22 11:26:40,1QAZ,monolith_cassette_ft,10023023
27,charge_ntc1_sense,74,94,C,85.000,0.000000,PASS,PASS,0,11AF6270-8545-4CAA-8BE5-0854D74BD985,FK2348MFAT3AA0002,2023-12-22 11:24:01,2023-12-22 11:26:40,1QAZ,monolith_cassette_ft,10023023
28,charge_ntc2_sense,74,94,C,85.000,0.000000,PASS,PASS,0,11AF6270-8545-4CAA-8BE5-0854D74BD985,FK2348MFAT3AA0002,2023-12-22 11:24:01,2023-12-22 11:26:40,1QAZ,monolith_cassette_ft,10023023
29,pp12v0_chg_charge_status,1,1,,1,1.251283,PASS,PASS,0,11AF6270-8545-4CAA-8BE5-0854D74BD985,FK2348MFAT3AA0002,2023-12-22 11:24:01,2023-12-22 11:26:40,1QAZ,monolith_cassette_ft,10023023
30,charger_init,PASS,PASS,,PASS,1.256290,PASS,PASS,0,11AF6270-8545-4CAA-8BE5-0854D74BD985,FK2348MFAT3AA0002,2023-12-22 11:24:01,2023-12-22 11:26:40,1QAZ,monolith_cassette_ft,10023023
31,charger_set,PASS,PASS,,PASS,1.467142,PASS,PASS,0,11AF6270-8545-4CAA-8BE5-0854D74BD985,FK2348MFAT3AA0002,2023-12-22 11:24:01,2023-12-22 11:26:40,1QAZ,monolith_cassette_ft,10023023
32,enable_GPIO_CHG_EN,PASS,PASS,,PASS,1.459159,PASS,PASS,0,11AF6270-8545-4CAA-8BE5-0854D74BD985,FK2348MFAT3AA0002,2023-12-22 11:24:01,2023-12-22 11:26:40,1QAZ,monolith_cassette_ft,10023023
33,VCHG_TRIANGLE_Voltage,57,58.5,V,57.7,2.000893,PASS,PASS,0,11AF6270-8545-4CAA-8BE5-0854D74BD985,FK2348MFAT3AA0002,2023-12-22 11:24:01,2023-12-22 11:26:40,1QAZ,monolith_cassette_ft,10023023
34,disable_GPIO_CHG_EN,PASS,PASS,,PASS,1.381156,PASS,PASS,0,11AF6270-8545-4CAA-8BE5-0854D74BD985,FK2348MFAT3AA0002,2023-12-22 11:24:01,2023-12-22 11:26:40,1QAZ,monolith_cassette_ft,10023023
35,Enter_Shipmode,PASS,PASS,,PASS,1.263278,PASS,PASS,0,11AF6270-8545-4CAA-8BE5-0854D74BD985,FK2348MFAT3AA0002,2023-12-22 11:24:01,2023-12-22 11:26:40,1QAZ,monolith_cassette_ft,10023023
