record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.018992,PASS,FAIL,101061,4B56DAB1-4E2F-45AE-A287-CD7D9CB3277A,FK2332MFCT1AA000E,2023-12-25 10:54:11,2023-12-25 10:56:07,1QAZ,monolith_main_bft,10023100
2,Unlock_MCU_Write_Protect,PASS,PASS,,PASS,0.23,PASS,FAIL,101061,4B56DAB1-4E2F-45AE-A287-CD7D9CB3277A,FK2332MFCT1AA000E,2023-12-25 10:54:11,2023-12-25 10:56:07,1QAZ,monolith_main_bft,10023100
3,Flash_STLink,PASS,PASS,,PASS,9.10,PASS,FAIL,101061,4B56DAB1-4E2F-45AE-A287-CD7D9CB3277A,FK2332MFCT1AA000E,2023-12-25 10:54:11,2023-12-25 10:56:07,1QAZ,monolith_main_bft,10023100
4,FW_Version,2023.34.104,2023.34.104,,2023.34.104,2.592139,PASS,FAIL,101061,4B56DAB1-4E2F-45AE-A287-CD7D9CB3277A,FK2332MFCT1AA000E,2023-12-25 10:54:11,2023-12-25 10:56:07,1QAZ,monolith_main_bft,10023100
5,Hw_Version,Solar,Solar,,Solar,2.672678,PASS,FAIL,101061,4B56DAB1-4E2F-45AE-A287-CD7D9CB3277A,FK2332MFCT1AA000E,2023-12-25 10:54:11,2023-12-25 10:56:07,1QAZ,monolith_main_bft,10023100
6,Vbat,PASS,PASS,,PASS,2.862297,PASS,FAIL,101061,4B56DAB1-4E2F-45AE-A287-CD7D9CB3277A,FK2332MFCT1AA000E,2023-12-25 10:54:11,2023-12-25 10:56:07,1QAZ,monolith_main_bft,10023100
7,lte_modem_status,PASS,PASS,,PASS,3.042521,PASS,FAIL,101061,4B56DAB1-4E2F-45AE-A287-CD7D9CB3277A,FK2332MFCT1AA000E,2023-12-25 10:54:11,2023-12-25 10:56:07,1QAZ,monolith_main_bft,10023100
8,temp_by_mcu_sensor_Vbatt,10,40,C,25.000,2.793804,PASS,FAIL,101061,4B56DAB1-4E2F-45AE-A287-CD7D9CB3277A,FK2332MFCT1AA000E,2023-12-25 10:54:11,2023-12-25 10:56:07,1QAZ,monolith_main_bft,10023100
9,Power_Rail_Enable,PASS,PASS,,PASS,2.825818,PASS,FAIL,101061,4B56DAB1-4E2F-45AE-A287-CD7D9CB3277A,FK2332MFCT1AA000E,2023-12-25 10:54:11,2023-12-25 10:56:07,1QAZ,monolith_main_bft,10023100
10,Voltage_PP4V2_SYS,3.6,3.8,V,3.689110,0.249324,PASS,FAIL,101061,4B56DAB1-4E2F-45AE-A287-CD7D9CB3277A,FK2332MFCT1AA000E,2023-12-25 10:54:11,2023-12-25 10:56:07,1QAZ,monolith_main_bft,10023100
11,Voltage_PP1V8_LDO,1.75,1.85,V,1.799520,0.245663,PASS,FAIL,101061,4B56DAB1-4E2F-45AE-A287-CD7D9CB3277A,FK2332MFCT1AA000E,2023-12-25 10:54:11,2023-12-25 10:56:07,1QAZ,monolith_main_bft,10023100
12,Voltage_PP5V0,4.85,5.15,V,4.998340,0.255219,PASS,FAIL,101061,4B56DAB1-4E2F-45AE-A287-CD7D9CB3277A,FK2332MFCT1AA000E,2023-12-25 10:54:11,2023-12-25 10:56:07,1QAZ,monolith_main_bft,10023100
13,Voltage_DUT_PP12V0_BOOST,11.493,12.395,V,11.997315,0.246412,PASS,FAIL,101061,4B56DAB1-4E2F-45AE-A287-CD7D9CB3277A,FK2332MFCT1AA000E,2023-12-25 10:54:11,2023-12-25 10:56:07,1QAZ,monolith_main_bft,10023100
14,Voltage_DUT_PP12V0,11.3,12.3,V,11.726733,0.257307,PASS,FAIL,101061,4B56DAB1-4E2F-45AE-A287-CD7D9CB3277A,FK2332MFCT1AA000E,2023-12-25 10:54:11,2023-12-25 10:56:07,1QAZ,monolith_main_bft,10023100
15,nor_flash,PASS,PASS,,PASS,2.568235,PASS,FAIL,101061,4B56DAB1-4E2F-45AE-A287-CD7D9CB3277A,FK2332MFCT1AA000E,2023-12-25 10:54:11,2023-12-25 10:56:07,1QAZ,monolith_main_bft,10023100
16,lock_status,PASS,PASS,,PASS,4.780181,PASS,FAIL,101061,4B56DAB1-4E2F-45AE-A287-CD7D9CB3277A,FK2332MFCT1AA000E,2023-12-25 10:54:11,2023-12-25 10:56:07,1QAZ,monolith_main_bft,10023100
