record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.005977,PASS,PASS,0,9778BBA6-C2D2-44C8-8F5A-FE6D5EF80BF4,FK2332MFCT1AA000E,2023-12-25 11:18:10,2023-12-25 11:21:21,1QAZ,monolith_main_bft,10023100
2,Unlock_MCU_Write_Protect,PASS,PASS,,PASS,0.24,PASS,PASS,0,9778BBA6-C2D2-44C8-8F5A-FE6D5EF80BF4,FK2332MFCT1AA000E,2023-12-25 11:18:10,2023-12-25 11:21:21,1QAZ,monolith_main_bft,10023100
3,Flash_STLink,PASS,PASS,,PASS,9.11,PASS,PASS,0,9778BBA6-C2D2-44C8-8F5A-FE6D5EF80BF4,FK2332MFCT1AA000E,2023-12-25 11:18:10,2023-12-25 11:21:21,1QAZ,monolith_main_bft,10023100
4,FW_Version,2023.34.104,2023.34.104,,2023.34.104,2.578245,PASS,PASS,0,9778BBA6-C2D2-44C8-8F5A-FE6D5EF80BF4,FK2332MFCT1AA000E,2023-12-25 11:18:10,2023-12-25 11:21:21,1QAZ,monolith_main_bft,10023100
5,Hw_Version,Solar,Solar,,Solar,2.705503,PASS,PASS,0,9778BBA6-C2D2-44C8-8F5A-FE6D5EF80BF4,FK2332MFCT1AA000E,2023-12-25 11:18:10,2023-12-25 11:21:21,1QAZ,monolith_main_bft,10023100
6,Vbat,PASS,PASS,,PASS,2.863390,PASS,PASS,0,9778BBA6-C2D2-44C8-8F5A-FE6D5EF80BF4,FK2332MFCT1AA000E,2023-12-25 11:18:10,2023-12-25 11:21:21,1QAZ,monolith_main_bft,10023100
7,lte_modem_status,PASS,PASS,,PASS,3.046229,PASS,PASS,0,9778BBA6-C2D2-44C8-8F5A-FE6D5EF80BF4,FK2332MFCT1AA000E,2023-12-25 11:18:10,2023-12-25 11:21:21,1QAZ,monolith_main_bft,10023100
8,temp_by_mcu_sensor_Vbatt,10,40,C,26.000,2.792846,PASS,PASS,0,9778BBA6-C2D2-44C8-8F5A-FE6D5EF80BF4,FK2332MFCT1AA000E,2023-12-25 11:18:10,2023-12-25 11:21:21,1QAZ,monolith_main_bft,10023100
9,Power_Rail_Enable,PASS,PASS,,PASS,2.826019,PASS,PASS,0,9778BBA6-C2D2-44C8-8F5A-FE6D5EF80BF4,FK2332MFCT1AA000E,2023-12-25 11:18:10,2023-12-25 11:21:21,1QAZ,monolith_main_bft,10023100
10,Voltage_PP4V2_SYS,3.6,3.8,V,3.688200,0.249451,PASS,PASS,0,9778BBA6-C2D2-44C8-8F5A-FE6D5EF80BF4,FK2332MFCT1AA000E,2023-12-25 11:18:10,2023-12-25 11:21:21,1QAZ,monolith_main_bft,10023100
11,Voltage_PP1V8_LDO,1.75,1.85,V,1.804190,0.243986,PASS,PASS,0,9778BBA6-C2D2-44C8-8F5A-FE6D5EF80BF4,FK2332MFCT1AA000E,2023-12-25 11:18:10,2023-12-25 11:21:21,1QAZ,monolith_main_bft,10023100
12,Voltage_PP5V0,4.85,5.15,V,4.995340,0.245894,PASS,PASS,0,9778BBA6-C2D2-44C8-8F5A-FE6D5EF80BF4,FK2332MFCT1AA000E,2023-12-25 11:18:10,2023-12-25 11:21:21,1QAZ,monolith_main_bft,10023100
13,Voltage_DUT_PP12V0_BOOST,11.493,12.395,V,12.005628,0.246735,PASS,PASS,0,9778BBA6-C2D2-44C8-8F5A-FE6D5EF80BF4,FK2332MFCT1AA000E,2023-12-25 11:18:10,2023-12-25 11:21:21,1QAZ,monolith_main_bft,10023100
14,Voltage_DUT_PP12V0,11.3,12.3,V,11.727234,0.244863,PASS,PASS,0,9778BBA6-C2D2-44C8-8F5A-FE6D5EF80BF4,FK2332MFCT1AA000E,2023-12-25 11:18:10,2023-12-25 11:21:21,1QAZ,monolith_main_bft,10023100
15,nor_flash,PASS,PASS,,PASS,2.710393,PASS,PASS,0,9778BBA6-C2D2-44C8-8F5A-FE6D5EF80BF4,FK2332MFCT1AA000E,2023-12-25 11:18:10,2023-12-25 11:21:21,1QAZ,monolith_main_bft,10023100
16,lock_status,PASS,PASS,,PASS,4.636850,PASS,PASS,0,9778BBA6-C2D2-44C8-8F5A-FE6D5EF80BF4,FK2332MFCT1AA000E,2023-12-25 11:18:10,2023-12-25 11:21:21,1QAZ,monolith_main_bft,10023100
17,TEST_Clawlock_Lock,PASS,PASS,,PASS,0.329677,PASS,PASS,0,9778BBA6-C2D2-44C8-8F5A-FE6D5EF80BF4,FK2332MFCT1AA000E,2023-12-25 11:18:10,2023-12-25 11:21:21,1QAZ,monolith_main_bft,10023100
18,unlock_status,PASS,PASS,,PASS,4.800083,PASS,PASS,0,9778BBA6-C2D2-44C8-8F5A-FE6D5EF80BF4,FK2332MFCT1AA000E,2023-12-25 11:18:10,2023-12-25 11:21:21,1QAZ,monolith_main_bft,10023100
19,TEST_Clawlock_Unlock,PASS,PASS,,PASS,0.330974,PASS,PASS,0,9778BBA6-C2D2-44C8-8F5A-FE6D5EF80BF4,FK2332MFCT1AA000E,2023-12-25 11:18:10,2023-12-25 11:21:21,1QAZ,monolith_main_bft,10023100
20,triangle_nfc,PASS,PASS,,PASS,2.525511,PASS,PASS,0,9778BBA6-C2D2-44C8-8F5A-FE6D5EF80BF4,FK2332MFCT1AA000E,2023-12-25 11:18:10,2023-12-25 11:21:21,1QAZ,monolith_main_bft,10023100
21,ui_nfc,PASS,PASS,,PASS,2.695873,PASS,PASS,0,9778BBA6-C2D2-44C8-8F5A-FE6D5EF80BF4,FK2332MFCT1AA000E,2023-12-25 11:18:10,2023-12-25 11:21:21,1QAZ,monolith_main_bft,10023100
22,speaker,PASS,PASS,,PASS,2.959342,PASS,PASS,0,9778BBA6-C2D2-44C8-8F5A-FE6D5EF80BF4,FK2332MFCT1AA000E,2023-12-25 11:18:10,2023-12-25 11:21:21,1QAZ,monolith_main_bft,10023100
23,speaker_timeout,PASS,PASS,,PASS,5.125049,PASS,PASS,0,9778BBA6-C2D2-44C8-8F5A-FE6D5EF80BF4,FK2332MFCT1AA000E,2023-12-25 11:18:10,2023-12-25 11:21:21,1QAZ,monolith_main_bft,10023100
