record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.016101,PASS,PASS,0,511F0A8D-AEE2-4515-B5A7-054364CD8767,FK2351MMCP2CC0061,2023-12-26 16:15:31,2023-12-26 16:19:43,STT23CCB01,monolith_main_bft,10023100
2,Unlock_MCU_Write_Protect,PASS,PASS,,PASS,0.23,PASS,PASS,0,511F0A8D-AEE2-4515-B5A7-054364CD8767,FK2351MMCP2CC0061,2023-12-26 16:15:31,2023-12-26 16:19:43,STT23CCB01,monolith_main_bft,10023100
3,Flash_STLink,PASS,PASS,,PASS,9.38,PASS,PASS,0,511F0A8D-AEE2-4515-B5A7-054364CD8767,FK2351MMCP2CC0061,2023-12-26 16:15:31,2023-12-26 16:19:43,STT23CCB01,monolith_main_bft,10023100
4,FW_Version,2023.34.104,2023.34.104,,2023.34.104,3.900895,PASS,PASS,0,511F0A8D-AEE2-4515-B5A7-054364CD8767,FK2351MMCP2CC0061,2023-12-26 16:15:31,2023-12-26 16:19:43,STT23CCB01,monolith_main_bft,10023100
5,Hw_Version,Solar,Solar,,Solar,2.719879,PASS,PASS,0,511F0A8D-AEE2-4515-B5A7-054364CD8767,FK2351MMCP2CC0061,2023-12-26 16:15:31,2023-12-26 16:19:43,STT23CCB01,monolith_main_bft,10023100
6,Vbat,PASS,PASS,,PASS,2.847994,PASS,PASS,0,511F0A8D-AEE2-4515-B5A7-054364CD8767,FK2351MMCP2CC0061,2023-12-26 16:15:31,2023-12-26 16:19:43,STT23CCB01,monolith_main_bft,10023100
7,lte_modem_status,PASS,PASS,,PASS,3.103178,PASS,PASS,0,511F0A8D-AEE2-4515-B5A7-054364CD8767,FK2351MMCP2CC0061,2023-12-26 16:15:31,2023-12-26 16:19:43,STT23CCB01,monolith_main_bft,10023100
8,temp_by_mcu_sensor_Vbatt,10,40,C,23.000,2.514771,PASS,PASS,0,511F0A8D-AEE2-4515-B5A7-054364CD8767,FK2351MMCP2CC0061,2023-12-26 16:15:31,2023-12-26 16:19:43,STT23CCB01,monolith_main_bft,10023100
9,Power_Rail_Enable,PASS,PASS,,PASS,2.632615,PASS,PASS,0,511F0A8D-AEE2-4515-B5A7-054364CD8767,FK2351MMCP2CC0061,2023-12-26 16:15:31,2023-12-26 16:19:43,STT23CCB01,monolith_main_bft,10023100
10,Voltage_PP4V2_SYS,3.6,3.8,V,3.681400,0.249146,PASS,PASS,0,511F0A8D-AEE2-4515-B5A7-054364CD8767,FK2351MMCP2CC0061,2023-12-26 16:15:31,2023-12-26 16:19:43,STT23CCB01,monolith_main_bft,10023100
