record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.007134,PASS,FAIL,101021,BC19DE49-1920-4C5E-B9BE-143E6AE26363,FK2351MMCP2CC0058,2023-12-26 16:24:46,2023-12-26 16:25:45,STT23CCB01,monolith_main_bft,10023100
2,Unlock_MCU_Write_Protect,PASS,PASS,,PASS,0.23,PASS,FAIL,101021,BC19DE49-1920-4C5E-B9BE-143E6AE26363,FK2351MMCP2CC0058,2023-12-26 16:24:46,2023-12-26 16:25:45,STT23CCB01,monolith_main_bft,10023100
3,Flash_STLink,PASS,PASS,,PASS,9.05,PASS,FAIL,101021,BC19DE49-1920-4C5E-B9BE-143E6AE26363,FK2351MMCP2CC0058,2023-12-26 16:24:46,2023-12-26 16:25:45,STT23CCB01,monolith_main_bft,10023100
4,FW_Version,2023.34.104,2023.34.104,,2023.34.104,3.935677,PASS,FAIL,101021,BC19DE49-1920-4C5E-B9BE-143E6AE26363,FK2351MMCP2CC0058,2023-12-26 16:24:46,2023-12-26 16:25:45,STT23CCB01,monolith_main_bft,10023100
5,Hw_Version,Solar,Solar,,Solar,2.686687,PASS,FAIL,101021,BC19DE49-1920-4C5E-B9BE-143E6AE26363,FK2351MMCP2CC0058,2023-12-26 16:24:46,2023-12-26 16:25:45,STT23CCB01,monolith_main_bft,10023100
6,Vbat,PASS,PASS,,PASS,2.883285,PASS,FAIL,101021,BC19DE49-1920-4C5E-B9BE-143E6AE26363,FK2351MMCP2CC0058,2023-12-26 16:24:46,2023-12-26 16:25:45,STT23CCB01,monolith_main_bft,10023100
7,lte_modem_status,PASS,PASS,,PASS,3.101090,PASS,FAIL,101021,BC19DE49-1920-4C5E-B9BE-143E6AE26363,FK2351MMCP2CC0058,2023-12-26 16:24:46,2023-12-26 16:25:45,STT23CCB01,monolith_main_bft,10023100
8,temp_by_mcu_sensor_Vbatt,10,40,C,26.000,2.515111,PASS,FAIL,101021,BC19DE49-1920-4C5E-B9BE-143E6AE26363,FK2351MMCP2CC0058,2023-12-26 16:24:46,2023-12-26 16:25:45,STT23CCB01,monolith_main_bft,10023100
9,Power_Rail_Enable,PASS,PASS,,PASS,2.633208,PASS,FAIL,101021,BC19DE49-1920-4C5E-B9BE-143E6AE26363,FK2351MMCP2CC0058,2023-12-26 16:24:46,2023-12-26 16:25:45,STT23CCB01,monolith_main_bft,10023100
10,Voltage_PP4V2_SYS,3.6,3.8,V,3.683400,0.258670,PASS,FAIL,101021,BC19DE49-1920-4C5E-B9BE-143E6AE26363,FK2351MMCP2CC0058,2023-12-26 16:24:46,2023-12-26 16:25:45,STT23CCB01,monolith_main_bft,10023100
11,Voltage_PP1V8_LDO,1.75,1.85,V,1.805610,0.248700,PASS,FAIL,101021,BC19DE49-1920-4C5E-B9BE-143E6AE26363,FK2351MMCP2CC0058,2023-12-26 16:24:46,2023-12-26 16:25:45,STT23CCB01,monolith_main_bft,10023100
12,Voltage_PP5V0,4.85,5.15,V,5.003630,0.246442,PASS,FAIL,101021,BC19DE49-1920-4C5E-B9BE-143E6AE26363,FK2351MMCP2CC0058,2023-12-26 16:24:46,2023-12-26 16:25:45,STT23CCB01,monolith_main_bft,10023100
13,Voltage_DUT_PP12V0_BOOST,11.493,12.395,V,11.993008,0.246074,PASS,FAIL,101021,BC19DE49-1920-4C5E-B9BE-143E6AE26363,FK2351MMCP2CC0058,2023-12-26 16:24:46,2023-12-26 16:25:45,STT23CCB01,monolith_main_bft,10023100
14,Voltage_DUT_PP12V0,11.3,12.3,V,11.635237,0.245397,PASS,FAIL,101021,BC19DE49-1920-4C5E-B9BE-143E6AE26363,FK2351MMCP2CC0058,2023-12-26 16:24:46,2023-12-26 16:25:45,STT23CCB01,monolith_main_bft,10023100
15,nor_flash,PASS,PASS,,FAILED,2.681155,FAIL,FAIL,101021,BC19DE49-1920-4C5E-B9BE-143E6AE26363,FK2351MMCP2CC0058,2023-12-26 16:24:46,2023-12-26 16:25:45,STT23CCB01,monolith_main_bft,10023100
