record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,Flipdot_AOI,PASS,PASS,,PASS,0,PASS,PASS,0,05C4FF59-A849-EE24-E063-3E404A8C0296,T733502TN01,2023-09-02 09:22:41,2023-09-02 09:22:41,STS239ML01,SMT-Filpdot,10006709
2,Flipdot_AOI,PASS,PASS,,PASS,0,PASS,PASS,0,05C4FF59-A84E-EE24-E063-3E404A8C0296,T733502TN02,2023-09-02 09:22:41,2023-09-02 09:22:41,STS239ML01,SMT-Filpdot,10006709
3,Flipdot_AOI,PASS,PASS,,PASS,0,PASS,PASS,0,05C4FF59-A853-EE24-E063-3E404A8C0296,T733502TN03,2023-09-02 09:22:41,2023-09-02 09:22:41,STS239ML01,SMT-Filpdot,10006709
4,Flipdot_AOI,PASS,PASS,,PASS,0,PASS,PASS,0,05C4FF59-A858-EE24-E063-3E404A8C0296,T733502TN04,2023-09-02 09:22:41,2023-09-02 09:22:41,STS239ML01,SMT-Filpdot,10006709
5,Flipdot_AOI,PASS,PASS,,PASS,0,PASS,PASS,0,05C4FF59-A85D-EE24-E063-3E404A8C0296,T733502TN05,2023-09-02 09:22:41,2023-09-02 09:22:41,STS239ML01,SMT-Filpdot,10006709
6,Flipdot_AOI,PASS,PASS,,PASS,0,PASS,PASS,0,05C4FF59-A862-EE24-E063-3E404A8C0296,T733502TN06,2023-09-02 09:22:41,2023-09-02 09:22:41,STS239ML01,SMT-Filpdot,10006709
7,Flipdot_AOI,PASS,PASS,,PASS,0,PASS,PASS,0,05C4FF59-A867-EE24-E063-3E404A8C0296,T733502TN07,2023-09-02 09:22:41,2023-09-02 09:22:41,STS239ML01,SMT-Filpdot,10006709
8,Flipdot_AOI,PASS,PASS,,PASS,0,PASS,PASS,0,05C4FF59-A86C-EE24-E063-3E404A8C0296,T733502TN08,2023-09-02 09:22:41,2023-09-02 09:22:41,STS239ML01,SMT-Filpdot,10006709
9,Flipdot_AOI,PASS,PASS,,PASS,0,PASS,PASS,0,05C4FF59-A871-EE24-E063-3E404A8C0296,T733502TN09,2023-09-02 09:22:41,2023-09-02 09:22:41,STS239ML01,SMT-Filpdot,10006709
10,Flipdot_AOI,PASS,PASS,,PASS,0,PASS,PASS,0,05C4FF59-A876-EE24-E063-3E404A8C0296,T733502TN10,2023-09-02 09:22:41,2023-09-02 09:22:41,STS239ML01,SMT-Filpdot,10006709
11,Flipdot_OQC,PASS,PASS,,PASS,0,PASS,PASS,0,05C4FF59-A87B-EE24-E063-3E404A8C0296,T733502TN01,2023-09-02 09:30:57,2023-09-02 09:30:57,STS239ML01,SMT-Filpdot,10006713
12,Flipdot_OQC,PASS,PASS,,PASS,0,PASS,PASS,0,05C4FF59-A880-EE24-E063-3E404A8C0296,T733502TN02,2023-09-02 09:30:57,2023-09-02 09:30:57,STS239ML01,SMT-Filpdot,10006713
13,Flipdot_OQC,PASS,PASS,,PASS,0,PASS,PASS,0,05C4FF59-A885-EE24-E063-3E404A8C0296,T733502TN03,2023-09-02 09:30:57,2023-09-02 09:30:57,STS239ML01,SMT-Filpdot,10006713
14,Flipdot_OQC,PASS,PASS,,PASS,0,PASS,PASS,0,05C4FF59-A88A-EE24-E063-3E404A8C0296,T733502TN04,2023-09-02 09:30:57,2023-09-02 09:30:57,STS239ML01,SMT-Filpdot,10006713
15,Flipdot_OQC,PASS,PASS,,PASS,0,PASS,PASS,0,05C4FF59-A88F-EE24-E063-3E404A8C0296,T733502TN05,2023-09-02 09:30:57,2023-09-02 09:30:57,STS239ML01,SMT-Filpdot,10006713
16,Flipdot_OQC,PASS,PASS,,PASS,0,PASS,PASS,0,05C4FF59-A894-EE24-E063-3E404A8C0296,T733502TN06,2023-09-02 09:30:57,2023-09-02 09:30:57,STS239ML01,SMT-Filpdot,10006713
17,Flipdot_OQC,PASS,PASS,,PASS,0,PASS,PASS,0,05C4FF59-A899-EE24-E063-3E404A8C0296,T733502TN07,2023-09-02 09:30:57,2023-09-02 09:30:57,STS239ML01,SMT-Filpdot,10006713
18,Flipdot_OQC,PASS,PASS,,PASS,0,PASS,PASS,0,05C4FF59-A89E-EE24-E063-3E404A8C0296,T733502TN08,2023-09-02 09:30:57,2023-09-02 09:30:57,STS239ML01,SMT-Filpdot,10006713
19,Flipdot_OQC,PASS,PASS,,PASS,0,PASS,PASS,0,05C4FF59-A8A3-EE24-E063-3E404A8C0296,T733502TN09,2023-09-02 09:30:57,2023-09-02 09:30:57,STS239ML01,SMT-Filpdot,10006713
20,Flipdot_OQC,PASS,PASS,,PASS,0,PASS,PASS,0,05C4FF59-A8A8-EE24-E063-3E404A8C0296,T733502TN10,2023-09-02 09:30:57,2023-09-02 09:30:57,STS239ML01,SMT-Filpdot,10006713
21,UINFC_AOI,PASS,PASS,,PASS,0,PASS,PASS,0,05C4FF59-A8AD-EE24-E063-3E404A8C0296,T7335034201,2023-09-02 14:04:08,2023-09-02 14:04:08,STS239MU01,SMT-UINFC,10006730
22,UINFC_AOI,PASS,PASS,,PASS,0,PASS,PASS,0,05C4FF59-A8B2-EE24-E063-3E404A8C0296,T7335034202,2023-09-02 14:04:08,2023-09-02 14:04:08,STS239MU01,SMT-UINFC,10006730
23,UINFC_AOI,PASS,PASS,,PASS,0,PASS,PASS,0,05C4FF59-A8B7-EE24-E063-3E404A8C0296,T7335034203,2023-09-02 14:04:08,2023-09-02 14:04:08,STS239MU01,SMT-UINFC,10006730
24,UINFC_AOI,PASS,PASS,,PASS,0,PASS,PASS,0,05C4FF59-A8BC-EE24-E063-3E404A8C0296,T7335034204,2023-09-02 14:04:08,2023-09-02 14:04:08,STS239MU01,SMT-UINFC,10006730
25,UINFC_AOI,PASS,PASS,,PASS,0,PASS,PASS,0,05C4FF59-A8C1-EE24-E063-3E404A8C0296,T7335034205,2023-09-02 14:04:08,2023-09-02 14:04:08,STS239MU01,SMT-UINFC,10006730
26,UINFC_AOI,PASS,PASS,,PASS,0,PASS,PASS,0,05C4FF59-A8C6-EE24-E063-3E404A8C0296,T7335034206,2023-09-02 14:04:08,2023-09-02 14:04:08,STS239MU01,SMT-UINFC,10006730
27,UINFC_AOI,PASS,PASS,,PASS,0,PASS,PASS,0,05C4FF59-A8CB-EE24-E063-3E404A8C0296,T7335034207,2023-09-02 14:04:08,2023-09-02 14:04:08,STS239MU01,SMT-UINFC,10006730
28,UINFC_AOI,PASS,PASS,,PASS,0,PASS,PASS,0,05C4FF59-A8D0-EE24-E063-3E404A8C0296,T7335034208,2023-09-02 14:04:08,2023-09-02 14:04:08,STS239MU01,SMT-UINFC,10006730
29,UINFC_OQC,PASS,PASS,,PASS,0,PASS,PASS,0,05C4FF59-A8D5-EE24-E063-3E404A8C0296,T7335034205,2023-09-02 14:14:02,2023-09-02 14:14:02,STS239MU01,SMT-UINFC,10006734
