record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.074840,PASS,PASS,0,280D0BF5-69A4-45B1-B269-FF550A5EAB25,FK2324MMBC1AA0068,2023-10-07 16:54:00,2023-10-07 16:57:05,302C,monolith_main_bft,10023100
2,Unlock_MCU_Write_Protect,PASS,PASS,,PASS,0.23,PASS,PASS,0,280D0BF5-69A4-45B1-B269-FF550A5EAB25,FK2324MMBC1AA0068,2023-10-07 16:54:00,2023-10-07 16:57:05,302C,monolith_main_bft,10023100
3,Flash_STLink,PASS,PASS,,PASS,9.11,PASS,PASS,0,280D0BF5-69A4-45B1-B269-FF550A5EAB25,FK2324MMBC1AA0068,2023-10-07 16:54:00,2023-10-07 16:57:05,302C,monolith_main_bft,10023100
4,FW_Version,2023.34.102,2023.34.102,,2023.34.102,2.575878,PASS,PASS,0,280D0BF5-69A4-45B1-B269-FF550A5EAB25,FK2324MMBC1AA0068,2023-10-07 16:54:00,2023-10-07 16:57:05,302C,monolith_main_bft,10023100
5,Hw_Version,Solar,Solar,,Solar,2.704304,PASS,PASS,0,280D0BF5-69A4-45B1-B269-FF550A5EAB25,FK2324MMBC1AA0068,2023-10-07 16:54:00,2023-10-07 16:57:05,302C,monolith_main_bft,10023100
6,Vbat,PASS,PASS,,PASS,2.864550,PASS,PASS,0,280D0BF5-69A4-45B1-B269-FF550A5EAB25,FK2324MMBC1AA0068,2023-10-07 16:54:00,2023-10-07 16:57:05,302C,monolith_main_bft,10023100
7,lte_modem_status,PASS,PASS,,PASS,3.034680,PASS,PASS,0,280D0BF5-69A4-45B1-B269-FF550A5EAB25,FK2324MMBC1AA0068,2023-10-07 16:54:00,2023-10-07 16:57:05,302C,monolith_main_bft,10023100
8,temp_by_mcu_sensor_Vbatt,10,40,C,26.000,2.786799,PASS,PASS,0,280D0BF5-69A4-45B1-B269-FF550A5EAB25,FK2324MMBC1AA0068,2023-10-07 16:54:00,2023-10-07 16:57:05,302C,monolith_main_bft,10023100
9,Power_Rail_Enable,PASS,PASS,,PASS,2.808537,PASS,PASS,0,280D0BF5-69A4-45B1-B269-FF550A5EAB25,FK2324MMBC1AA0068,2023-10-07 16:54:00,2023-10-07 16:57:05,302C,monolith_main_bft,10023100
10,Voltage_PP4V2_SYS,3.6,3.8,V,3.688400,0.259566,PASS,PASS,0,280D0BF5-69A4-45B1-B269-FF550A5EAB25,FK2324MMBC1AA0068,2023-10-07 16:54:00,2023-10-07 16:57:05,302C,monolith_main_bft,10023100
11,Voltage_PP1V8_LDO,1.75,1.85,V,1.805840,0.255999,PASS,PASS,0,280D0BF5-69A4-45B1-B269-FF550A5EAB25,FK2324MMBC1AA0068,2023-10-07 16:54:00,2023-10-07 16:57:05,302C,monolith_main_bft,10023100
12,Voltage_PP5V0,4.85,5.15,V,5.011070,0.247030,PASS,PASS,0,280D0BF5-69A4-45B1-B269-FF550A5EAB25,FK2324MMBC1AA0068,2023-10-07 16:54:00,2023-10-07 16:57:05,302C,monolith_main_bft,10023100
13,Voltage_DUT_PP12V0_BOOST,11.493,12.395,V,12.005528,0.246093,PASS,PASS,0,280D0BF5-69A4-45B1-B269-FF550A5EAB25,FK2324MMBC1AA0068,2023-10-07 16:54:00,2023-10-07 16:57:05,302C,monolith_main_bft,10023100
14,Voltage_DUT_PP12V0,11.3,12.3,V,11.748167,0.246076,PASS,PASS,0,280D0BF5-69A4-45B1-B269-FF550A5EAB25,FK2324MMBC1AA0068,2023-10-07 16:54:00,2023-10-07 16:57:05,302C,monolith_main_bft,10023100
15,nor_flash,PASS,PASS,,PASS,2.653463,PASS,PASS,0,280D0BF5-69A4-45B1-B269-FF550A5EAB25,FK2324MMBC1AA0068,2023-10-07 16:54:00,2023-10-07 16:57:05,302C,monolith_main_bft,10023100
16,lock_status,PASS,PASS,,PASS,4.668356,PASS,PASS,0,280D0BF5-69A4-45B1-B269-FF550A5EAB25,FK2324MMBC1AA0068,2023-10-07 16:54:00,2023-10-07 16:57:05,302C,monolith_main_bft,10023100
17,TEST_Clawlock_Lock,PASS,PASS,,PASS,0.333472,PASS,PASS,0,280D0BF5-69A4-45B1-B269-FF550A5EAB25,FK2324MMBC1AA0068,2023-10-07 16:54:00,2023-10-07 16:57:05,302C,monolith_main_bft,10023100
18,unlock_status,PASS,PASS,,PASS,4.467048,PASS,PASS,0,280D0BF5-69A4-45B1-B269-FF550A5EAB25,FK2324MMBC1AA0068,2023-10-07 16:54:00,2023-10-07 16:57:05,302C,monolith_main_bft,10023100
19,TEST_Clawlock_Unlock,PASS,PASS,,PASS,0.331255,PASS,PASS,0,280D0BF5-69A4-45B1-B269-FF550A5EAB25,FK2324MMBC1AA0068,2023-10-07 16:54:00,2023-10-07 16:57:05,302C,monolith_main_bft,10023100
20,triangle_nfc,PASS,PASS,,PASS,2.570105,PASS,PASS,0,280D0BF5-69A4-45B1-B269-FF550A5EAB25,FK2324MMBC1AA0068,2023-10-07 16:54:00,2023-10-07 16:57:05,302C,monolith_main_bft,10023100
21,ui_nfc,PASS,PASS,,PASS,2.712651,PASS,PASS,0,280D0BF5-69A4-45B1-B269-FF550A5EAB25,FK2324MMBC1AA0068,2023-10-07 16:54:00,2023-10-07 16:57:05,302C,monolith_main_bft,10023100
22,speaker,PASS,PASS,,PASS,2.073488,PASS,PASS,0,280D0BF5-69A4-45B1-B269-FF550A5EAB25,FK2324MMBC1AA0068,2023-10-07 16:54:00,2023-10-07 16:57:05,302C,monolith_main_bft,10023100
23,speaker_timeout,PASS,PASS,,PASS,5.142444,PASS,PASS,0,280D0BF5-69A4-45B1-B269-FF550A5EAB25,FK2324MMBC1AA0068,2023-10-07 16:54:00,2023-10-07 16:57:05,302C,monolith_main_bft,10023100
24,flip_dot,PASS,PASS,,PASS,0.834992,PASS,PASS,0,280D0BF5-69A4-45B1-B269-FF550A5EAB25,FK2324MMBC1AA0068,2023-10-07 16:54:00,2023-10-07 16:57:05,302C,monolith_main_bft,10023100
25,flip_dot_timeout,PASS,PASS,,PASS,5.128477,PASS,PASS,0,280D0BF5-69A4-45B1-B269-FF550A5EAB25,FK2324MMBC1AA0068,2023-10-07 16:54:00,2023-10-07 16:57:05,302C,monolith_main_bft,10023100
26,se,PASS,PASS,,PASS,3.502695,PASS,PASS,0,280D0BF5-69A4-45B1-B269-FF550A5EAB25,FK2324MMBC1AA0068,2023-10-07 16:54:00,2023-10-07 16:57:05,302C,monolith_main_bft,10023100
27,Can_Data_Send,PASS,PASS,,PASS,2.935151,PASS,PASS,0,280D0BF5-69A4-45B1-B269-FF550A5EAB25,FK2324MMBC1AA0068,2023-10-07 16:54:00,2023-10-07 16:57:05,302C,monolith_main_bft,10023100
28,Can_Data_Recv,PASS,PASS,,PASS,2.666439,PASS,PASS,0,280D0BF5-69A4-45B1-B269-FF550A5EAB25,FK2324MMBC1AA0068,2023-10-07 16:54:00,2023-10-07 16:57:05,302C,monolith_main_bft,10023100
29,TST_SOLAR_L,PASS,PASS,,PASS,2.743563,PASS,PASS,0,280D0BF5-69A4-45B1-B269-FF550A5EAB25,FK2324MMBC1AA0068,2023-10-07 16:54:00,2023-10-07 16:57:05,302C,monolith_main_bft,10023100
30,SOLAR_L_Voltage,7,7.5,V,7.25,0.000000,PASS,PASS,0,280D0BF5-69A4-45B1-B269-FF550A5EAB25,FK2324MMBC1AA0068,2023-10-07 16:54:00,2023-10-07 16:57:05,302C,monolith_main_bft,10023100
31,SOLAR_L_Current,20000,70000,uA,34012.00,0.004989,PASS,PASS,0,280D0BF5-69A4-45B1-B269-FF550A5EAB25,FK2324MMBC1AA0068,2023-10-07 16:54:00,2023-10-07 16:57:05,302C,monolith_main_bft,10023100
32,TST_SOLAR_R,PASS,PASS,,PASS,2.814790,PASS,PASS,0,280D0BF5-69A4-45B1-B269-FF550A5EAB25,FK2324MMBC1AA0068,2023-10-07 16:54:00,2023-10-07 16:57:05,302C,monolith_main_bft,10023100
33,SOLAR_R_Voltage,7,7.5,V,7.23,0.000000,PASS,PASS,0,280D0BF5-69A4-45B1-B269-FF550A5EAB25,FK2324MMBC1AA0068,2023-10-07 16:54:00,2023-10-07 16:57:05,302C,monolith_main_bft,10023100
34,SOLAR_R_Current,20000,70000,uA,34254.00,0.004998,PASS,PASS,0,280D0BF5-69A4-45B1-B269-FF550A5EAB25,FK2324MMBC1AA0068,2023-10-07 16:54:00,2023-10-07 16:57:05,302C,monolith_main_bft,10023100
35,rp_charge,PASS,PASS,,PASS,3.67,PASS,PASS,0,280D0BF5-69A4-45B1-B269-FF550A5EAB25,FK2324MMBC1AA0068,2023-10-07 16:54:00,2023-10-07 16:57:05,302C,monolith_main_bft,10023100
36,temp_by_mcu_sensor_Vbatt_and_RP12V,10,40,C,25.000,5.074210,PASS,PASS,0,280D0BF5-69A4-45B1-B269-FF550A5EAB25,FK2324MMBC1AA0068,2023-10-07 16:54:00,2023-10-07 16:57:05,302C,monolith_main_bft,10023100
37,sim_read,PASS,PASS,,PASS,2.663793,PASS,PASS,0,280D0BF5-69A4-45B1-B269-FF550A5EAB25,FK2324MMBC1AA0068,2023-10-07 16:54:00,2023-10-07 16:57:05,302C,monolith_main_bft,10023100
38,IMEI,1.00E+14,1.00E+15,,869965067432058,0.000000,PASS,PASS,0,280D0BF5-69A4-45B1-B269-FF550A5EAB25,FK2324MMBC1AA0068,2023-10-07 16:54:00,2023-10-07 16:57:05,302C,monolith_main_bft,10023100
