record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.011993,PASS,PASS,0,5B36C8F9-EA1C-44C7-9D50-1D80C2EBF836,FK2422MMCP3CC0539,2024-12-11 15:41:01,2024-12-11 15:44:51,,monolith_main_bft,10023100
2,Unlock_MCU_Write_Protect,PASS,PASS,,PASS,0.23,PASS,PASS,0,5B36C8F9-EA1C-44C7-9D50-1D80C2EBF836,FK2422MMCP3CC0539,2024-12-11 15:41:01,2024-12-11 15:44:51,,monolith_main_bft,10023100
3,Flash_STLink,PASS,PASS,,PASS,9.19,PASS,PASS,0,5B36C8F9-EA1C-44C7-9D50-1D80C2EBF836,FK2422MMCP3CC0539,2024-12-11 15:41:01,2024-12-11 15:44:51,,monolith_main_bft,10023100
4,FW_Version,2023.34.110,2023.34.110,,2023.34.110,4.030593,PASS,PASS,0,5B36C8F9-EA1C-44C7-9D50-1D80C2EBF836,FK2422MMCP3CC0539,2024-12-11 15:41:01,2024-12-11 15:44:51,,monolith_main_bft,10023100
5,Hw_Version,Solar,Solar,,Solar,2.654201,PASS,PASS,0,5B36C8F9-EA1C-44C7-9D50-1D80C2EBF836,FK2422MMCP3CC0539,2024-12-11 15:41:01,2024-12-11 15:44:51,,monolith_main_bft,10023100
6,Vbat,PASS,PASS,,PASS,2.911132,PASS,PASS,0,5B36C8F9-EA1C-44C7-9D50-1D80C2EBF836,FK2422MMCP3CC0539,2024-12-11 15:41:01,2024-12-11 15:44:51,,monolith_main_bft,10023100
7,lte_modem_status,PASS,PASS,,PASS,3.126336,PASS,PASS,0,5B36C8F9-EA1C-44C7-9D50-1D80C2EBF836,FK2422MMCP3CC0539,2024-12-11 15:41:01,2024-12-11 15:44:51,,monolith_main_bft,10023100
8,temp_by_mcu_sensor_Vbatt,10,40,C,23.000,2.793902,PASS,PASS,0,5B36C8F9-EA1C-44C7-9D50-1D80C2EBF836,FK2422MMCP3CC0539,2024-12-11 15:41:01,2024-12-11 15:44:51,,monolith_main_bft,10023100
9,Power_Rail_Enable,PASS,PASS,,PASS,2.616861,PASS,PASS,0,5B36C8F9-EA1C-44C7-9D50-1D80C2EBF836,FK2422MMCP3CC0539,2024-12-11 15:41:01,2024-12-11 15:44:51,,monolith_main_bft,10023100
10,Voltage_PP4V2_SYS,3.6,3.8,V,3.721650,0.249467,PASS,PASS,0,5B36C8F9-EA1C-44C7-9D50-1D80C2EBF836,FK2422MMCP3CC0539,2024-12-11 15:41:01,2024-12-11 15:44:51,,monolith_main_bft,10023100
11,Voltage_PP1V8_LDO,1.75,1.85,V,1.813260,0.259945,PASS,PASS,0,5B36C8F9-EA1C-44C7-9D50-1D80C2EBF836,FK2422MMCP3CC0539,2024-12-11 15:41:01,2024-12-11 15:44:51,,monolith_main_bft,10023100
12,Voltage_PP5V0,4.85,5.15,V,5.022440,0.255186,PASS,PASS,0,5B36C8F9-EA1C-44C7-9D50-1D80C2EBF836,FK2422MMCP3CC0539,2024-12-11 15:41:01,2024-12-11 15:44:51,,monolith_main_bft,10023100
13,Voltage_DUT_PP12V0_BOOST,11.493,12.395,V,12.104837,0.246589,PASS,PASS,0,5B36C8F9-EA1C-44C7-9D50-1D80C2EBF836,FK2422MMCP3CC0539,2024-12-11 15:41:01,2024-12-11 15:44:51,,monolith_main_bft,10023100
14,Voltage_DUT_PP12V0,11.3,12.3,V,11.698788,0.246384,PASS,PASS,0,5B36C8F9-EA1C-44C7-9D50-1D80C2EBF836,FK2422MMCP3CC0539,2024-12-11 15:41:01,2024-12-11 15:44:51,,monolith_main_bft,10023100
15,nor_flash,PASS,PASS,,PASS,4.214079,PASS,PASS,0,5B36C8F9-EA1C-44C7-9D50-1D80C2EBF836,FK2422MMCP3CC0539,2024-12-11 15:41:01,2024-12-11 15:44:51,,monolith_main_bft,10023100
16,motor,PASS,PASS,,PASS,4.741465,PASS,PASS,0,5B36C8F9-EA1C-44C7-9D50-1D80C2EBF836,FK2422MMCP3CC0539,2024-12-11 15:41:01,2024-12-11 15:44:51,,monolith_main_bft,10023100
17,TEST_Motor_UART_Rx,PASS,PASS,,PASS,0.316833,PASS,PASS,0,5B36C8F9-EA1C-44C7-9D50-1D80C2EBF836,FK2422MMCP3CC0539,2024-12-11 15:41:01,2024-12-11 15:44:51,,monolith_main_bft,10023100
18,hook,PASS,PASS,,PASS,4.500693,PASS,PASS,0,5B36C8F9-EA1C-44C7-9D50-1D80C2EBF836,FK2422MMCP3CC0539,2024-12-11 15:41:01,2024-12-11 15:44:51,,monolith_main_bft,10023100
19,TEST_Hook_UART_Rx,PASS,PASS,,PASS,0.327325,PASS,PASS,0,5B36C8F9-EA1C-44C7-9D50-1D80C2EBF836,FK2422MMCP3CC0539,2024-12-11 15:41:01,2024-12-11 15:44:51,,monolith_main_bft,10023100
20,latch,PASS,PASS,,PASS,4.543271,PASS,PASS,0,5B36C8F9-EA1C-44C7-9D50-1D80C2EBF836,FK2422MMCP3CC0539,2024-12-11 15:41:01,2024-12-11 15:44:51,,monolith_main_bft,10023100
21,TEST_Latch_UART_Rx,PASS,PASS,,PASS,0.325481,PASS,PASS,0,5B36C8F9-EA1C-44C7-9D50-1D80C2EBF836,FK2422MMCP3CC0539,2024-12-11 15:41:01,2024-12-11 15:44:51,,monolith_main_bft,10023100
22,triangle_nfc,PASS,PASS,,PASS,2.619528,PASS,PASS,0,5B36C8F9-EA1C-44C7-9D50-1D80C2EBF836,FK2422MMCP3CC0539,2024-12-11 15:41:01,2024-12-11 15:44:51,,monolith_main_bft,10023100
23,ui_nfc,PASS,PASS,,PASS,2.634935,PASS,PASS,0,5B36C8F9-EA1C-44C7-9D50-1D80C2EBF836,FK2422MMCP3CC0539,2024-12-11 15:41:01,2024-12-11 15:44:51,,monolith_main_bft,10023100
24,speaker,PASS,PASS,,PASS,2.902652,PASS,PASS,0,5B36C8F9-EA1C-44C7-9D50-1D80C2EBF836,FK2422MMCP3CC0539,2024-12-11 15:41:01,2024-12-11 15:44:51,,monolith_main_bft,10023100
25,speaker_timeout,PASS,PASS,,PASS,5.125842,PASS,PASS,0,5B36C8F9-EA1C-44C7-9D50-1D80C2EBF836,FK2422MMCP3CC0539,2024-12-11 15:41:01,2024-12-11 15:44:51,,monolith_main_bft,10023100
26,flip_dot,PASS,PASS,,PASS,2.144317,PASS,PASS,0,5B36C8F9-EA1C-44C7-9D50-1D80C2EBF836,FK2422MMCP3CC0539,2024-12-11 15:41:01,2024-12-11 15:44:51,,monolith_main_bft,10023100
27,flip_dot_timeout,PASS,PASS,,PASS,5.124999,PASS,PASS,0,5B36C8F9-EA1C-44C7-9D50-1D80C2EBF836,FK2422MMCP3CC0539,2024-12-11 15:41:01,2024-12-11 15:44:51,,monolith_main_bft,10023100
28,se,PASS,PASS,,PASS,2.919714,PASS,PASS,0,5B36C8F9-EA1C-44C7-9D50-1D80C2EBF836,FK2422MMCP3CC0539,2024-12-11 15:41:01,2024-12-11 15:44:51,,monolith_main_bft,10023100
29,Can_Data_Send,PASS,PASS,,PASS,2.925063,PASS,PASS,0,5B36C8F9-EA1C-44C7-9D50-1D80C2EBF836,FK2422MMCP3CC0539,2024-12-11 15:41:01,2024-12-11 15:44:51,,monolith_main_bft,10023100
30,Can_Data_Recv,PASS,PASS,,PASS,2.881345,PASS,PASS,0,5B36C8F9-EA1C-44C7-9D50-1D80C2EBF836,FK2422MMCP3CC0539,2024-12-11 15:41:01,2024-12-11 15:44:51,,monolith_main_bft,10023100
31,Charge_Can_Data_Recv,PASS,PASS,,PASS,2.600148,PASS,PASS,0,5B36C8F9-EA1C-44C7-9D50-1D80C2EBF836,FK2422MMCP3CC0539,2024-12-11 15:41:01,2024-12-11 15:44:51,,monolith_main_bft,10023100
32,TST_SM_BUS,PASS,PASS,,PASS,5.722804,PASS,PASS,0,5B36C8F9-EA1C-44C7-9D50-1D80C2EBF836,FK2422MMCP3CC0539,2024-12-11 15:41:01,2024-12-11 15:44:51,,monolith_main_bft,10023100
33,Voltage_CC_CV_EN_5V,4.85,5.15,V,5.013280,1.236202,PASS,PASS,0,5B36C8F9-EA1C-44C7-9D50-1D80C2EBF836,FK2422MMCP3CC0539,2024-12-11 15:41:01,2024-12-11 15:44:51,,monolith_main_bft,10023100
34,rp_charge,PASS,PASS,,PASS,3.70,PASS,PASS,0,5B36C8F9-EA1C-44C7-9D50-1D80C2EBF836,FK2422MMCP3CC0539,2024-12-11 15:41:01,2024-12-11 15:44:51,,monolith_main_bft,10023100
35,temp_by_mcu_sensor_Vbatt_and_RP12V,10,40,C,23.000,8.098355,PASS,PASS,0,5B36C8F9-EA1C-44C7-9D50-1D80C2EBF836,FK2422MMCP3CC0539,2024-12-11 15:41:01,2024-12-11 15:44:51,,monolith_main_bft,10023100
36,TEST_DC75V_Sense,PASS,PASS,,PASS,0,PASS,PASS,0,5B36C8F9-EA1C-44C7-9D50-1D80C2EBF836,FK2422MMCP3CC0539,2024-12-11 15:41:01,2024-12-11 15:44:51,,monolith_main_bft,10023100
37,TEST_Charge_NTC,PASS,PASS,,PASS,0,PASS,PASS,0,5B36C8F9-EA1C-44C7-9D50-1D80C2EBF836,FK2422MMCP3CC0539,2024-12-11 15:41:01,2024-12-11 15:44:51,,monolith_main_bft,10023100
38,Voltage_PP12V0_CHG,11.8,12.5,V,12.342016,0.239826,PASS,PASS,0,5B36C8F9-EA1C-44C7-9D50-1D80C2EBF836,FK2422MMCP3CC0539,2024-12-11 15:41:01,2024-12-11 15:44:51,,monolith_main_bft,10023100
39,contact_input_charge,PASS,PASS,,PASS,3.61,PASS,PASS,0,5B36C8F9-EA1C-44C7-9D50-1D80C2EBF836,FK2422MMCP3CC0539,2024-12-11 15:41:01,2024-12-11 15:44:51,,monolith_main_bft,10023100
40,Voltage_HOOK_OFF_CHGEN_OFF,0,2,V,0.396780,0.235744,PASS,PASS,0,5B36C8F9-EA1C-44C7-9D50-1D80C2EBF836,FK2422MMCP3CC0539,2024-12-11 15:41:01,2024-12-11 15:44:51,,monolith_main_bft,10023100
41,Voltage_HOOK_ON_CHGEN_OFF,0,2,V,0.389130,0.235647,PASS,PASS,0,5B36C8F9-EA1C-44C7-9D50-1D80C2EBF836,FK2422MMCP3CC0539,2024-12-11 15:41:01,2024-12-11 15:44:51,,monolith_main_bft,10023100
42,Voltage_HOOK_OFF_CHGEN_ON,0,2,V,0.399840,0.244647,PASS,PASS,0,5B36C8F9-EA1C-44C7-9D50-1D80C2EBF836,FK2422MMCP3CC0539,2024-12-11 15:41:01,2024-12-11 15:44:51,,monolith_main_bft,10023100
43,Voltage_HOOK_ON_CHGEN_ON,57,57.6,V,57.476490,0.235705,PASS,PASS,0,5B36C8F9-EA1C-44C7-9D50-1D80C2EBF836,FK2422MMCP3CC0539,2024-12-11 15:41:01,2024-12-11 15:44:51,,monolith_main_bft,10023100
44,sim_read,PASS,PASS,,PASS,11.504501,PASS,PASS,0,5B36C8F9-EA1C-44C7-9D50-1D80C2EBF836,FK2422MMCP3CC0539,2024-12-11 15:41:01,2024-12-11 15:44:51,,monolith_main_bft,10023100
45,IMEI,1.00E+14,1.00E+15,,860322066460830,0.000000,PASS,PASS,0,5B36C8F9-EA1C-44C7-9D50-1D80C2EBF836,FK2422MMCP3CC0539,2024-12-11 15:41:01,2024-12-11 15:44:51,,monolith_main_bft,10023100
