record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.012002,PASS,PASS,0,B7FCD257-EFDF-4A2C-9E39-E0EE119CCAF9,FK2448MMBP1CC0008,2024-12-11 16:32:10,2024-12-11 16:35:48,,monolith_main_bft,10023100
2,Unlock_MCU_Write_Protect,PASS,PASS,,PASS,0.23,PASS,PASS,0,B7FCD257-EFDF-4A2C-9E39-E0EE119CCAF9,FK2448MMBP1CC0008,2024-12-11 16:32:10,2024-12-11 16:35:48,,monolith_main_bft,10023100
3,Flash_STLink,PASS,PASS,,PASS,9.51,PASS,PASS,0,B7FCD257-EFDF-4A2C-9E39-E0EE119CCAF9,FK2448MMBP1CC0008,2024-12-11 16:32:10,2024-12-11 16:35:48,,monolith_main_bft,10023100
4,FW_Version,2024.45.101,2024.45.101,,2024.45.101,2.540951,PASS,PASS,0,B7FCD257-EFDF-4A2C-9E39-E0EE119CCAF9,FK2448MMBP1CC0008,2024-12-11 16:32:10,2024-12-11 16:35:48,,monolith_main_bft,10023100
5,Board_Rev_Indp,evt_v2_indp,evt_v2_indp,,evt_v2_indp,2.672285,PASS,PASS,0,B7FCD257-EFDF-4A2C-9E39-E0EE119CCAF9,FK2448MMBP1CC0008,2024-12-11 16:32:10,2024-12-11 16:35:48,,monolith_main_bft,10023100
6,Nor_Flash_Hw_Version_Manufacturing_Id,0xef,0xef,,0xef,2.798173,PASS,PASS,0,B7FCD257-EFDF-4A2C-9E39-E0EE119CCAF9,FK2448MMBP1CC0008,2024-12-11 16:32:10,2024-12-11 16:35:48,,monolith_main_bft,10023100
7,Nor_Flash_Hw_Version_Memory_Type,0x60,0x60,,0x60,2.705927,PASS,PASS,0,B7FCD257-EFDF-4A2C-9E39-E0EE119CCAF9,FK2448MMBP1CC0008,2024-12-11 16:32:10,2024-12-11 16:35:48,,monolith_main_bft,10023100
8,Nor_Flash_Hw_Version_Memory_Density,0x18,0x18,,0x18,2.644803,PASS,PASS,0,B7FCD257-EFDF-4A2C-9E39-E0EE119CCAF9,FK2448MMBP1CC0008,2024-12-11 16:32:10,2024-12-11 16:35:48,,monolith_main_bft,10023100
9,Hw_Version,Solar,Solar,,Solar,2.595904,PASS,PASS,0,B7FCD257-EFDF-4A2C-9E39-E0EE119CCAF9,FK2448MMBP1CC0008,2024-12-11 16:32:10,2024-12-11 16:35:48,,monolith_main_bft,10023100
10,Vbat,PASS,PASS,,PASS,2.878627,PASS,PASS,0,B7FCD257-EFDF-4A2C-9E39-E0EE119CCAF9,FK2448MMBP1CC0008,2024-12-11 16:32:10,2024-12-11 16:35:48,,monolith_main_bft,10023100
